x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	0.12612	1.4263
-0.99167	10.125	0.18826	2.214
-0.99167	10.458	0.11551	3.5642
-0.99167	10.792	0.097651	4.6096
-0.99167	11.125	-0.36035	5.3507
-0.99167	11.458	-0.54971	5.1459
-0.99167	11.792	-0.62039	5.4664
-0.99167	12.125	-0.41017	5.6686
-0.99167	12.458	-0.51884	5.5178
-0.99167	12.792	-0.79564	5.5125
-0.99167	13.125	-1.2871	5.5616
-0.99167	13.458	-1.6127	5.3134
-0.99167	13.792	-1.6584	5.3766
-0.99167	14.125	-1.4748	5.2742
-0.99167	14.458	-1.2184	4.8218
-0.99167	14.792	-0.92371	4.2995
-0.99167	15.125	-0.64926	3.8375
-0.99167	15.458	-0.32906	3.3892
-0.99167	15.792	-0.18156	3.1577
-0.99167	16.125	0.052798	3.0137
-0.99167	16.458	0.25164	3.0112
-0.99167	16.792	0.38385	3.0608
-0.99167	17.125	0.67293	2.9397
-0.99167	17.458	1.1077	2.7154
-0.99167	17.792	1.419	2.7366
-0.99167	18.125	1.7668	2.7715
-0.99167	18.458	2.0157	2.8818
-0.99167	18.792	2.1564	2.8494
-0.99167	19.125	2.1464	2.8444
-0.99167	19.458	2.0137	2.9133
-0.99167	19.792	1.8036	3.2858
-0.99167	20.125	1.381	3.7954
-0.99167	20.458	0.7189	4.4236
-0.99167	20.792	-0.13711	4.9083
-0.99167	21.125	-0.83383	5.4568
-0.99167	21.458	-1.3551	5.9131
-0.99167	21.792	-1.7623	6.1494
-0.99167	22.125	-1.9769	6.3377
-0.99167	22.458	-1.8631	6.5181
-0.99167	22.792	-1.7697	6.4332
-0.99167	23.125	-1.7961	6.1049
-0.99167	23.458	-1.6661	5.6975
-0.99167	23.792	-1.3965	5.0067
-0.99167	24.125	-1.1888	4.2667
-0.99167	24.458	-0.85003	3.6478
-0.99167	24.792	-0.51542	3.1992
-0.99167	25.125	-0.35409	2.7589
-0.99167	25.458	-0.28975	2.3703
-0.99167	25.792	-0.19583	1.832
-0.99167	26.125	-0.12708	1.3301
-0.99167	26.458	-0.33147	1.2109
-0.99167	26.792	-0.61125	1.003
-0.99167	27.125	-0.82865	0.73741
-0.99167	27.458	-1.1365	0.55996
-0.99167	27.792	-1.3048	0.44244
-0.99167	28.125	-1.6185	0.51325
-0.99167	28.458	-1.6051	0.56407
-0.99167	28.792	-1.4303	0.88609
-0.99167	29.125	-1.1418	0.35037
-0.99167	29.458	-0.4276	-0.37146
-0.65833	9.7917	0.7037	3.647
-0.65833	10.125	0.16927	4.5715
-0.65833	10.458	-0.10421	5.9005
-0.65833	10.792	-0.36507	6.955
-0.65833	11.125	-0.49435	7.2424
-0.65833	11.458	-0.53415	6.4812
-0.65833	11.792	-0.51845	6.7397
-0.65833	12.125	-0.53538	7.0975
-0.65833	12.458	-0.60234	6.9682
-0.65833	12.792	-0.74338	6.815
-0.65833	13.125	-1.0499	6.6038
-0.65833	13.458	-1.32	6.3502
-0.65833	13.792	-1.4225	6.059
-0.65833	14.125	-1.2516	5.7427
-0.65833	14.458	-0.99245	5.2941
-0.65833	14.792	-0.62888	4.9595
-0.65833	15.125	-0.21701	4.4688
-0.65833	15.458	0.093748	4.0012
-0.65833	15.792	0.11252	3.6663
-0.65833	16.125	0.26403	3.5072
-0.65833	16.458	0.42273	3.5339
-0.65833	16.792	0.56441	3.474
-0.65833	17.125	0.7574	3.3648
-0.65833	17.458	1.181	3.2624
-0.65833	17.792	1.5798	3.1553
-0.65833	18.125	1.8127	3.2179
-0.65833	18.458	1.9498	3.5346
-0.65833	18.792	2.0188	3.683
-0.65833	19.125	1.9607	3.7372
-0.65833	19.458	1.8153	3.9216
-0.65833	19.792	1.4704	4.2254
-0.65833	20.125	1.0829	4.711
-0.65833	20.458	0.48416	5.4694
-0.65833	20.792	-0.26373	5.9527
-0.65833	21.125	-0.84638	6.4527
-0.65833	21.458	-1.385	6.9459
-0.65833	21.792	-1.9303	7.2704
-0.65833	22.125	-2.0289	7.2481
-0.65833	22.458	-1.6729	7.1586
-0.65833	22.792	-1.4239	6.9778
-0.65833	23.125	-1.3352	6.6856
-0.65833	23.458	-1.2359	6.4077
-0.65833	23.792	-1.0305	5.6809
-0.65833	24.125	-0.7835	4.9202
-0.65833	24.458	-0.4774	4.159
-0.65833	24.792	-0.092799	3.5976
-0.65833	25.125	0.021265	3.0946
-0.65833	25.458	-0.053763	2.579
-0.65833	25.792	-0.06351	2.1631
-0.65833	26.125	-0.09045	1.6811
-0.65833	26.458	-0.20665	1.4125
-0.65833	26.792	-0.39481	1.1726
-0.65833	27.125	-0.60672	0.82593
-0.65833	27.458	-0.88061	0.54173
-0.65833	27.792	-1.0949	0.36797
-0.65833	28.125	-1.346	0.42629
-0.65833	28.458	-1.4974	0.5691
-0.65833	28.792	-1.3365	1.0333
-0.65833	29.125	-1.0316	0.59231
-0.65833	29.458	-0.36899	-0.23201
-0.325	9.7917	0.88323	5.2548
-0.325	10.125	0.097376	5.8926
-0.325	10.458	-0.35936	6.9087
-0.325	10.792	-0.45526	7.3591
-0.325	11.125	-0.48539	7.3873
-0.325	11.458	-0.31002	6.777
-0.325	11.792	-0.43179	7.1809
-0.325	12.125	-0.64989	7.3856
-0.325	12.458	-0.6389	7.364
-0.325	12.792	-0.55573	7.2428
-0.325	13.125	-0.68435	6.9259
-0.325	13.458	-0.85088	6.6586
-0.325	13.792	-0.99351	6.2763
-0.325	14.125	-0.8413	5.8149
-0.325	14.458	-0.59978	5.4777
-0.325	14.792	-0.29899	5.3075
-0.325	15.125	0.090178	4.9799
-0.325	15.458	0.33171	4.695
-0.325	15.792	0.42307	4.3136
-0.325	16.125	0.52884	4.0975
-0.325	16.458	0.64668	3.8686
-0.325	16.792	0.84222	3.6481
-0.325	17.125	1.0702	3.5757
-0.325	17.458	1.4835	3.5619
-0.325	17.792	1.7398	3.5432
-0.325	18.125	1.9115	3.7381
-0.325	18.458	1.8799	4.084
-0.325	18.792	1.8173	4.4365
-0.325	19.125	1.7083	4.6486
-0.325	19.458	1.4349	4.8416
-0.325	19.792	1.0907	5.083
-0.325	20.125	0.72841	5.5824
-0.325	20.458	0.3135	6.2131
-0.325	20.792	-0.43576	6.7313
-0.325	21.125	-0.98212	7.2374
-0.325	21.458	-1.4948	7.5892
-0.325	21.792	-1.8239	7.8528
-0.325	22.125	-1.7845	7.7666
-0.325	22.458	-1.1834	7.5764
-0.325	22.792	-0.84958	7.3697
-0.325	23.125	-0.88607	7.2675
-0.325	23.458	-0.7858	7.1396
-0.325	23.792	-0.64676	6.5779
-0.325	24.125	-0.43347	5.8728
-0.325	24.458	-0.11822	5.1665
