x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	1.1251	0.076608
-0.99167	10.125	0.34338	2.764
-0.99167	10.458	-0.38385	4.0494
-0.99167	10.792	-0.96195	3.8338
-0.99167	11.125	-0.8504	3.5853
-0.99167	11.458	-0.26838	3.3819
-0.99167	11.792	-0.18813	3.8401
-0.99167	12.125	0.41242	4.2143
-0.99167	12.458	0.60729	3.7167
-0.99167	12.792	0.59278	3.4234
-0.99167	13.125	0.15604	3.1258
-0.99167	13.458	-0.33444	2.5221
-0.99167	13.792	-0.43396	2.4155
-0.99167	14.125	-0.5009	2.9954
-0.99167	14.458	-0.95471	3.4193
-0.99167	14.792	-1.1772	3.7611
-0.99167	15.125	-1.2511	4.015
-0.99167	15.458	-1.2093	4.2289
-0.99167	15.792	-1.1166	4.3473
-0.99167	16.125	-0.75634	4.081
-0.99167	16.458	-0.13528	3.7558
-0.99167	16.792	0.45932	3.1103
-0.99167	17.125	0.9809	2.6861
-0.99167	17.458	1.0111	2.4743
-0.99167	17.792	1.416	2.3483
-0.99167	18.125	1.5971	2.195
-0.99167	18.458	1.3263	1.8937
-0.99167	18.792	0.95199	1.7788
-0.99167	19.125	0.76127	1.5784
-0.99167	19.458	0.57451	1.5056
-0.99167	19.792	0.55218	1.3877
-0.99167	20.125	0.65745	1.1872
-0.99167	20.458	0.65237	0.9828
-0.99167	20.792	0.50043	1.5885
-0.99167	21.125	0.56521	2.0742
-0.99167	21.458	0.12405	2.4605
-0.99167	21.792	-0.080343	3.0442
-0.99167	22.125	-0.34316	3.8546
-0.99167	22.458	-0.43437	4.2687
-0.99167	22.792	-0.2985	4.1526
-0.99167	23.125	0.044815	3.9609
-0.99167	23.458	0.53881	3.7485
-0.99167	23.792	0.63409	3.7577
-0.99167	24.125	0.44137	3.7756
-0.99167	24.458	0.0025814	3.4448
-0.99167	24.792	-0.37347	3.1666
-0.99167	25.125	-0.68442	2.908
-0.99167	25.458	-1.0992	2.8137
-0.99167	25.792	-1.5797	2.4642
-0.99167	26.125	-1.9774	2.3454
-0.99167	26.458	-2.0827	2.4997
-0.99167	26.792	-1.8992	2.4633
-0.99167	27.125	-1.7194	2.2741
-0.99167	27.458	-1.3898	2.3603
-0.99167	27.792	-1.2232	2.5405
-0.99167	28.125	-1.1523	2.4551
-0.99167	28.458	-1.3661	2.4437
-0.99167	28.792	-1.4951	1.8365
-0.99167	29.125	-1.4567	1.0064
-0.99167	29.458	-0.63026	-0.13864
-0.65833	9.7917	-0.11172	0.46218
-0.65833	10.125	0.053607	3.7994
-0.65833	10.458	-0.2135	4.8114
-0.65833	10.792	-0.7407	4.3622
-0.65833	11.125	-0.55303	3.894
-0.65833	11.458	-0.22971	3.842
-0.65833	11.792	0.037955	4.8079
-0.65833	12.125	0.5279	5.6992
-0.65833	12.458	0.5032	5.265
-0.65833	12.792	0.48212	4.8287
-0.65833	13.125	0.20055	4.3425
-0.65833	13.458	-0.43418	3.9531
-0.65833	13.792	-0.71427	3.7582
-0.65833	14.125	-0.77072	4.4118
-0.65833	14.458	-1.0613	4.9005
-0.65833	14.792	-1.2499	5.0137
-0.65833	15.125	-1.2007	4.9881
-0.65833	15.458	-1.0588	4.9023
-0.65833	15.792	-0.9602	4.8034
-0.65833	16.125	-0.59889	4.4226
-0.65833	16.458	-0.044082	4.0489
-0.65833	16.792	0.49592	3.5712
-0.65833	17.125	0.94198	3.1335
-0.65833	17.458	1.19	2.9988
-0.65833	17.792	1.3762	3.0058
-0.65833	18.125	1.347	3.028
-0.65833	18.458	1.2209	2.7287
-0.65833	18.792	0.97925	2.5823
-0.65833	19.125	0.77832	2.4813
-0.65833	19.458	0.55176	2.31
-0.65833	19.792	0.4492	2.0849
-0.65833	20.125	0.49675	1.601
-0.65833	20.458	0.35982	1.3939
-0.65833	20.792	0.14626	1.6897
-0.65833	21.125	0.082094	2.0881
-0.65833	21.458	-0.27003	2.6505
-0.65833	21.792	-0.47035	3.3554
-0.65833	22.125	-0.72893	4.2732
-0.65833	22.458	-0.68841	4.8582
-0.65833	22.792	-0.38711	4.8905
-0.65833	23.125	0.010718	4.6816
-0.65833	23.458	0.49136	4.4806
-0.65833	23.792	0.68608	4.3266
-0.65833	24.125	0.52824	4.2577
-0.65833	24.458	0.14806	4.0968
-0.65833	24.792	-0.17495	3.8787
-0.65833	25.125	-0.52025	3.5537
-0.65833	25.458	-1.0194	3.3544
-0.65833	25.792	-1.359	2.9922
-0.65833	26.125	-1.6458	2.7713
-0.65833	26.458	-1.708	2.6242
-0.65833	26.792	-1.6563	2.3385
-0.65833	27.125	-1.5605	2.2558
-0.65833	27.458	-1.3476	2.2069
-0.65833	27.792	-1.1104	2.4024
-0.65833	28.125	-1.0359	2.4671
-0.65833	28.458	-1.2911	2.6159
-0.65833	28.792	-1.5015	1.908
-0.65833	29.125	-1.2823	0.56327
-0.65833	29.458	-0.49883	-0.28387
-0.325	9.7917	-0.37259	3.4207
-0.325	10.125	0.62962	5.4945
-0.325	10.458	0.926	5.94
-0.325	10.792	0.44616	5.0512
-0.325	11.125	0.066562	4.4967
-0.325	11.458	-0.037455	4.7432
-0.325	11.792	0.14115	5.5752
-0.325	12.125	0.36855	6.2996
-0.325	12.458	0.29175	6.2925
-0.325	12.792	0.31489	5.966
-0.325	13.125	0.18588	5.7902
-0.325	13.458	-0.39717	5.4621
-0.325	13.792	-0.72096	5.2671
-0.325	14.125	-0.79846	5.5651
-0.325	14.458	-0.88902	6.0146
-0.325	14.792	-0.93066	6.1153
-0.325	15.125	-0.80887	5.8376
-0.325	15.458	-0.50929	5.3948
-0.325	15.792	-0.49084	5.0627
-0.325	16.125	-0.21765	4.7155
-0.325	16.458	0.23884	4.4233
-0.325	16.792	0.6447	4.1004
-0.325	17.125	1.0173	3.8484
-0.325	17.458	1.221	3.773
-0.325	17.792	1.3132	3.8851
-0.325	18.125	1.0845	4.0272
-0.325	18.458	0.90621	3.7839
-0.325	18.792	0.69533	3.6466
-0.325	19.125	0.38552	3.8084
-0.325	19.458	0.19273	3.5636
-0.325	19.792	0.086221	3.1385
-0.325	20.125	0.15972	2.4013
-0.325	20.458	0.063071	2.3601
-0.325	20.792	-0.17638	2.5789
-0.325	21.125	-0.24608	2.703
-0.325	21.458	-0.58624	3.1095
-0.325	21.792	-0.9243	3.6301
-0.325	22.125	-0.934	4.6403
-0.325	22.458	-0.67363	5.204
-0.325	22.792	-0.42277	5.358
-0.325	23.125	-0.12893	5.2677
-0.325	23.458	0.28972	5.0807
-0.325	23.792	0.49308	4.9715
-0.325	24.125	0.46262	4.7626
-0.325	24.458	0.33408	4.4815
-0.325	24.792	0.1014	4.336
-0.325	25.125	-0.25334	4.1458
-0.325	25.458	-0.79692	3.8323
-0.325	25.792	-1.0702	3.4649
-0.325	26.125	-1.3305	3.2065
-0.325	26.458	-1.4541	2.9009
-0.325	26.792	-1.4455	2.5346
-0.325	27.125	-1.3034	2.4157
-0.325	27.458	-1.0507	2.4971
-0.325	27.792	-0.9996	2.7052
-0.325	28.125	-0.89845	2.7113
-0.325	28.458	-1.1845	2.8194
-0.325	28.792	-1.3402	2.2571
-0.325	29.125	-1.2654	0.85813
-0.325	29.458	-0.65611	-0.25224
0.0083333	9.7917	-0.37434	5.2413
0.0083333	10.125	0.35797	5.8681
0.0083333	10.458	0.97115	6.2437
0.0083333	10.792	0.63446	5.7714
0.0083333	11.125	0.2689	5.5698
0.0083333	11.458	0.021319	5.8116
0.0083333	11.792	-0.12948	6.2199
0.0083333	12.125	-0.09987	6.7278
0.0083333	12.458	-0.034366	6.7258
0.0083333	12.792	0.073164	6.662
0.0083333	13.125	-0.0213	6.6094
0.0083333	13.458	-0.32514	6.7825
0.0083333	13.792	-0.49103	6.5854
0.0083333	14.125	-0.6705	6.3491
0.0083333	14.458	-0.64578	6.4311
0.0083333	14.792	-0.55208	6.3948
0.0083333	15.125	-0.30267	6.0725
0.0083333	15.458	-0.072461	5.7004
0.0083333	15.792	0.067954	5.2654
0.0083333	16.125	0.35025	4.913
0.0083333	16.458	0.74454	4.6569
0.0083333	16.792	0.97461	4.5604
0.0083333	17.125	1.0806	4.5657
0.0083333	17.458	1.12	4.4419
0.0083333	17.792	1.0656	4.6262
0.0083333	18.125	0.74066	4.8608
0.0083333	18.458	0.40644	4.7994
0.0083333	18.792	0.18751	4.7935
0.0083333	19.125	-0.045755	5.046
0.0083333	19.458	-0.29384	4.8503
0.0083333	19.792	-0.4418	4.3409
0.0083333	20.125	-0.36115	3.8389
0.0083333	20.458	-0.19985	3.4231
0.0083333	20.792	-0.509	3.212
0.0083333	21.125	-0.62203	3.1244
0.0083333	21.458	-0.92755	3.3483
0.0083333	21.792	-0.9983	3.7424
0.0083333	22.125	-0.94088	4.6895
0.0083333	22.458	-0.62162	5.292
0.0083333	22.792	-0.34286	5.4992
0.0083333	23.125	-0.063046	5.5121
0.0083333	23.458	0.34011	5.4989
0.0083333	23.792	0.57011	5.4525
0.0083333	24.125	0.52216	5.1502
0.0083333	24.458	0.46818	4.9908
0.0083333	24.792	0.3969	4.8713
0.0083333	25.125	0.14996	4.7472
0.0083333	25.458	-0.38687	4.2254
0.0083333	25.792	-0.70077	3.8321
0.0083333	26.125	-1.0025	3.5306
0.0083333	26.458	-1.1402	3.1714
0.0083333	26.792	-1.0716	2.8813
0.0083333	27.125	-0.93798	2.7436
0.0083333	27.458	-0.82225	2.9372
0.0083333	27.792	-0.96748	3.1012
0.0083333	28.125	-0.82591	3.2022
0.0083333	28.458	-0.91437	3.2516
0.0083333	28.792	-0.85544	2.6526
0.0083333	29.125	-0.99275	1.2013
0.0083333	29.458	-0.7714	-0.22879
0.34167	9.7917	-0.057919	5.0915
0.34167	10.125	0.25037	5.6102
0.34167	10.458	0.49514	5.7224
0.34167	10.792	0.3941	5.8167
0.34167	11.125	0.061411	5.8229
0.34167	11.458	-0.098813	6.1927
0.34167	11.792	-0.33932	6.5383
0.34167	12.125	-0.40874	6.9805
0.34167	12.458	-0.30859	7.0313
0.34167	12.792	-0.24335	6.8972
0.34167	13.125	-0.26449	7.0379
0.34167	13.458	-0.46773	7.1912
0.34167	13.792	-0.53673	6.9734
0.34167	14.125	-0.55181	6.698
0.34167	14.458	-0.43648	6.5484
0.34167	14.792	-0.27581	6.4287
0.34167	15.125	0.069642	6.0797
0.34167	15.458	0.42061	5.801
0.34167	15.792	0.5225	5.4139
0.34167	16.125	0.62054	5.1116
0.34167	16.458	0.84022	5.1253
0.34167	16.792	0.97363	5.1097
0.34167	17.125	0.84681	4.9644
0.34167	17.458	0.82421	4.8924
0.34167	17.792	0.72715	4.9493
0.34167	18.125	0.34792	5.184
0.34167	18.458	-0.15969	5.5147
0.34167	18.792	-0.3758	5.6574
0.34167	19.125	-0.55553	5.8296
0.34167	19.458	-0.73988	5.698
0.34167	19.792	-1.0029	5.4131
