x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	0.37977	-2.392
-0.99167	10.125	0.76893	-1.8367
-0.99167	10.458	0.064851	0.86777
-0.99167	10.792	-0.51383	4.03
-0.99167	11.125	-1.2031	5.2293
-0.99167	11.458	-1.3218	4.5029
-0.99167	11.792	-0.7486	3.3386
-0.99167	12.125	-0.15335	2.9999
-0.99167	12.458	0.38871	3.213
-0.99167	12.792	0.75386	3.7224
-0.99167	13.125	0.9864	3.9541
-0.99167	13.458	0.74512	4.2003
-0.99167	13.792	0.43764	4.514
-0.99167	14.125	0.10772	4.9369
-0.99167	14.458	-0.24331	4.9118
-0.99167	14.792	-0.59806	4.9878
-0.99167	15.125	-0.80537	4.6707
-0.99167	15.458	-0.84643	4.2869
-0.99167	15.792	-0.86792	3.9495
-0.99167	16.125	-0.86639	3.5909
-0.99167	16.458	-0.625	3.4081
-0.99167	16.792	-0.36846	3.3491
-0.99167	17.125	0.090653	3.2479
-0.99167	17.458	0.59284	3.1785
-0.99167	17.792	0.97417	3.1363
-0.99167	18.125	1.3564	3.3485
-0.99167	18.458	1.3648	3.4556
-0.99167	18.792	1.4091	3.5224
-0.99167	19.125	1.3935	3.6885
-0.99167	19.458	1.3361	3.6802
-0.99167	19.792	1.2164	3.6397
-0.99167	20.125	1.2518	3.5391
-0.99167	20.458	1.1136	3.4828
-0.99167	20.792	0.88729	3.6606
-0.99167	21.125	0.55314	3.7444
-0.99167	21.458	0.24113	3.9449
-0.99167	21.792	-0.088489	4.3798
-0.99167	22.125	-0.5307	4.7253
-0.99167	22.458	-0.67822	4.7965
-0.99167	22.792	-0.81783	4.8455
-0.99167	23.125	-1.1851	4.8711
-0.99167	23.458	-1.291	4.6952
-0.99167	23.792	-1.1731	4.7504
-0.99167	24.125	-1.2891	4.5055
-0.99167	24.458	-1.3741	4.4329
-0.99167	24.792	-1.3812	4.2994
-0.99167	25.125	-1.5064	4.0121
-0.99167	25.458	-1.7248	3.8591
-0.99167	25.792	-1.6682	3.8049
-0.99167	26.125	-1.5662	3.6129
-0.99167	26.458	-1.4098	3.4818
-0.99167	26.792	-1.2836	3.2121
-0.99167	27.125	-1.4602	2.9035
-0.99167	27.458	-1.5781	2.5952
-0.99167	27.792	-1.6874	2.2745
-0.99167	28.125	-1.9021	2.1382
-0.99167	28.458	-2.0737	1.894
-0.99167	28.792	-2.1042	1.4025
-0.99167	29.125	-1.6517	0.55625
-0.99167	29.458	-0.65909	-0.25519
-0.65833	9.7917	0.30169	-1.3526
-0.65833	10.125	0.27879	-1.3353
-0.65833	10.458	-0.59972	1.1674
-0.65833	10.792	-0.99328	3.8399
-0.65833	11.125	-1.5042	5.4199
-0.65833	11.458	-1.6368	5.1234
-0.65833	11.792	-0.99591	4.0601
-0.65833	12.125	-0.20635	4.0981
-0.65833	12.458	0.2625	4.413
-0.65833	12.792	0.69578	4.5734
-0.65833	13.125	1.0077	5.0825
-0.65833	13.458	0.83296	5.472
-0.65833	13.792	0.46027	5.5504
-0.65833	14.125	0.060074	5.9226
-0.65833	14.458	-0.1584	6.2064
-0.65833	14.792	-0.46521	6.4508
-0.65833	15.125	-0.54638	6.0934
-0.65833	15.458	-0.4638	5.5205
-0.65833	15.792	-0.58702	5.003
-0.65833	16.125	-0.62675	4.4457
-0.65833	16.458	-0.42509	4.0946
-0.65833	16.792	-0.12788	3.9853
-0.65833	17.125	0.19982	3.8204
-0.65833	17.458	0.6335	3.647
-0.65833	17.792	1.0031	3.652
-0.65833	18.125	1.2149	3.7703
-0.65833	18.458	1.258	3.8009
-0.65833	18.792	1.4082	3.8668
-0.65833	19.125	1.3436	4.0599
-0.65833	19.458	1.2479	4.1474
-0.65833	19.792	1.1931	4.1529
-0.65833	20.125	1.2005	4.1016
-0.65833	20.458	0.86107	4.1603
-0.65833	20.792	0.4137	4.2826
-0.65833	21.125	0.19834	4.573
-0.65833	21.458	-0.010346	4.782
-0.65833	21.792	-0.24911	5.2829
-0.65833	22.125	-0.64151	5.8201
-0.65833	22.458	-0.71772	5.8237
-0.65833	22.792	-0.93432	5.8057
-0.65833	23.125	-1.1841	5.8875
-0.65833	23.458	-1.3148	5.6917
-0.65833	23.792	-1.2383	5.6684
-0.65833	24.125	-1.3187	5.3706
-0.65833	24.458	-1.2548	5.0411
-0.65833	24.792	-1.1064	4.7314
-0.65833	25.125	-1.1655	4.3677
-0.65833	25.458	-1.4477	4.1465
-0.65833	25.792	-1.4688	3.9944
-0.65833	26.125	-1.3886	3.7784
-0.65833	26.458	-1.2756	3.6305
-0.65833	26.792	-1.1513	3.3522
-0.65833	27.125	-1.1843	2.8911
-0.65833	27.458	-1.2208	2.4793
-0.65833	27.792	-1.3985	2.1892
-0.65833	28.125	-1.612	2.0015
-0.65833	28.458	-1.8044	1.7856
-0.65833	28.792	-1.8084	1.3908
-0.65833	29.125	-1.4713	0.61596
-0.65833	29.458	-0.63301	-0.19275
-0.325	9.7917	-0.10657	2.0719
-0.325	10.125	-0.20969	1.3576
-0.325	10.458	-1.0461	1.5194
-0.325	10.792	-1.0858	2.9706
-0.325	11.125	-1.0883	5.029
-0.325	11.458	-1.0944	5.616
-0.325	11.792	-0.61078	5.3395
-0.325	12.125	-0.16118	5.2295
-0.325	12.458	0.23498	5.398
-0.325	12.792	0.66227	5.4792
-0.325	13.125	0.78576	5.8127
-0.325	13.458	0.64205	5.8939
-0.325	13.792	0.33424	6.0522
-0.325	14.125	0.012165	6.34
-0.325	14.458	-0.14774	6.6246
-0.325	14.792	-0.27431	6.8329
-0.325	15.125	-0.19773	6.6219
-0.325	15.458	-0.10307	6.2187
-0.325	15.792	-0.2022	5.7621
-0.325	16.125	-0.20104	5.2742
-0.325	16.458	-0.039596	4.9085
-0.325	16.792	0.18399	4.576
-0.325	17.125	0.37458	4.4695
-0.325	17.458	0.7024	4.3566
-0.325	17.792	1.1382	4.3957
-0.325	18.125	1.1454	4.3573
-0.325	18.458	1.132	4.3226
-0.325	18.792	1.2844	4.2906
-0.325	19.125	1.2103	4.2858
-0.325	19.458	0.99592	4.4538
-0.325	19.792	0.91881	4.6549
-0.325	20.125	0.87388	4.8134
-0.325	20.458	0.53641	4.8064
-0.325	20.792	0.071304	4.8577
-0.325	21.125	-0.21373	5.2508
-0.325	21.458	-0.37739	5.6522
-0.325	21.792	-0.60571	6.1886
-0.325	22.125	-0.78466	6.5858
-0.325	22.458	-0.71513	6.6785
-0.325	22.792	-0.89663	6.8005
-0.325	23.125	-1.0902	6.7053
-0.325	23.458	-1.1194	6.5636
-0.325	23.792	-1.0631	6.5203
-0.325	24.125	-1.0371	6.2275
-0.325	24.458	-0.94658	5.774
-0.325	24.792	-0.85743	5.3248
-0.325	25.125	-0.95321	4.8846
-0.325	25.458	-1.2969	4.5368
-0.325	25.792	-1.3235	4.2554
-0.325	26.125	-1.2641	3.9806
-0.325	26.458	-1.1557	3.6667
-0.325	26.792	-0.97856	3.3283
-0.325	27.125	-0.94256	2.882
-0.325	27.458	-0.86696	2.4624
-0.325	27.792	-1.0701	2.073
-0.325	28.125	-1.3129	1.7227
-0.325	28.458	-1.5215	1.6877
-0.325	28.792	-1.3945	1.5332
-0.325	29.125	-1.1321	0.76456
-0.325	29.458	-0.69896	-0.17571
0.0083333	9.7917	-0.20859	4.0774
0.0083333	10.125	-0.19934	3.3293
0.0083333	10.458	-0.47609	2.6622
0.0083333	10.792	-0.44191	3.4073
0.0083333	11.125	-0.3746	5.2971
0.0083333	11.458	-0.28859	6.1588
0.0083333	11.792	-0.078029	6.3342
0.0083333	12.125	0.080341	6.3346
0.0083333	12.458	0.29752	6.1253
0.0083333	12.792	0.61227	6.0992
0.0083333	13.125	0.72119	6.284
0.0083333	13.458	0.50253	6.2704
0.0083333	13.792	0.27403	6.532
0.0083333	14.125	0.0013314	6.6463
0.0083333	14.458	-0.15666	6.7905
0.0083333	14.792	-0.19807	7.0072
0.0083333	15.125	0.003719	7.0143
0.0083333	15.458	0.11934	6.8341
0.0083333	15.792	0.021957	6.5774
0.0083333	16.125	0.08423	6.0445
0.0083333	16.458	0.28594	5.6011
0.0083333	16.792	0.46468	5.1487
0.0083333	17.125	0.5874	4.9915
0.0083333	17.458	0.819	4.9091
0.0083333	17.792	1.1756	4.798
0.0083333	18.125	1.1209	4.7269
0.0083333	18.458	1.0204	4.7955
0.0083333	18.792	1.0386	4.8003
0.0083333	19.125	0.89005	4.8209
0.0083333	19.458	0.64914	5.049
