x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	1.1573	4.1438
-0.99167	10.125	0.86536	5.789
-0.99167	10.458	0.65032	6.9834
-0.99167	10.792	-0.082013	6.6407
-0.99167	11.125	-1.0479	5.2733
-0.99167	11.458	-1.9787	5.2221
-0.99167	11.792	-1.9745	5.6342
-0.99167	12.125	-1.7807	5.548
-0.99167	12.458	-1.853	4.9219
-0.99167	12.792	-1.529	4.9282
-0.99167	13.125	-1.5051	4.0394
-0.99167	13.458	-1.448	3.5104
-0.99167	13.792	-0.994	3.3689
-0.99167	14.125	-0.59642	3.2991
-0.99167	14.458	-0.19774	3.0803
-0.99167	14.792	0.087249	3.0298
-0.99167	15.125	0.42683	2.9806
-0.99167	15.458	0.61576	2.8897
-0.99167	15.792	0.61733	2.9923
-0.99167	16.125	0.69267	3.1714
-0.99167	16.458	0.92153	3.0299
-0.99167	16.792	1.1678	2.8849
-0.99167	17.125	1.4479	2.9081
-0.99167	17.458	1.7676	2.8253
-0.99167	17.792	2.0043	2.6837
-0.99167	18.125	2.048	2.4638
-0.99167	18.458	1.9973	2.3255
-0.99167	18.792	1.8662	2.3431
-0.99167	19.125	1.6286	2.4014
-0.99167	19.458	1.0773	2.6244
-0.99167	19.792	0.64262	2.9403
-0.99167	20.125	0.34275	3.4686
-0.99167	20.458	-0.16613	4.1325
-0.99167	20.792	-0.82123	4.9276
-0.99167	21.125	-1.1327	5.5148
-0.99167	21.458	-1.38	5.834
-0.99167	21.792	-1.5	6.0305
-0.99167	22.125	-1.5979	6.1855
-0.99167	22.458	-1.5451	6.1186
-0.99167	22.792	-1.8539	6.2307
-0.99167	23.125	-2.0057	6.2659
-0.99167	23.458	-1.99	6.232
-0.99167	23.792	-1.7283	6.2754
-0.99167	24.125	-1.5255	6.2142
-0.99167	24.458	-1.3167	5.9177
-0.99167	24.792	-1.0456	5.6026
-0.99167	25.125	-0.92574	5.0478
-0.99167	25.458	-1.1341	4.6208
-0.99167	25.792	-1.3042	4.2324
-0.99167	26.125	-1.3734	3.7759
-0.99167	26.458	-1.238	3.3517
-0.99167	26.792	-1.036	2.9319
-0.99167	27.125	-0.78798	2.555
-0.99167	27.458	-0.84048	2.1235
-0.99167	27.792	-0.86963	2.0311
-0.99167	28.125	-0.99543	1.8205
-0.99167	28.458	-1.1646	1.34
-0.99167	28.792	-1.2578	0.98053
-0.99167	29.125	-1.1944	0.19042
-0.99167	29.458	-0.40309	-0.36691
-0.65833	9.7917	0.49354	5.0213
-0.65833	10.125	0.66445	6.6863
-0.65833	10.458	0.59672	7.8417
-0.65833	10.792	-0.0040561	8.1608
-0.65833	11.125	-0.99053	7.2334
-0.65833	11.458	-1.6114	6.3843
-0.65833	11.792	-1.5635	6.3403
-0.65833	12.125	-1.4217	6.2107
-0.65833	12.458	-1.3633	5.7756
-0.65833	12.792	-1.1366	5.3392
-0.65833	13.125	-1.2232	4.1284
-0.65833	13.458	-1.2264	3.7257
-0.65833	13.792	-0.8925	3.633
-0.65833	14.125	-0.42496	3.6982
-0.65833	14.458	-0.081072	3.7592
-0.65833	14.792	0.15681	3.8018
-0.65833	15.125	0.40341	3.6784
-0.65833	15.458	0.64507	3.4594
-0.65833	15.792	0.75434	3.658
-0.65833	16.125	0.83355	3.9248
-0.65833	16.458	0.92404	3.9301
-0.65833	16.792	1.1416	3.8705
-0.65833	17.125	1.4144	3.9433
-0.65833	17.458	1.742	3.9958
-0.65833	17.792	2.0876	3.9881
-0.65833	18.125	2.0551	3.8573
-0.65833	18.458	1.9159	3.6977
-0.65833	18.792	1.6726	3.6895
-0.65833	19.125	1.2573	3.8185
-0.65833	19.458	0.64919	3.9144
-0.65833	19.792	0.24089	4.1121
-0.65833	20.125	-0.044796	4.5492
-0.65833	20.458	-0.6493	4.9697
-0.65833	20.792	-1.2347	5.6003
-0.65833	21.125	-1.3839	6.304
-0.65833	21.458	-1.5486	6.663
-0.65833	21.792	-1.678	6.7598
-0.65833	22.125	-1.7116	6.8373
-0.65833	22.458	-1.6	6.794
-0.65833	22.792	-1.7665	6.746
-0.65833	23.125	-1.856	6.605
-0.65833	23.458	-1.8454	6.6365
-0.65833	23.792	-1.6324	6.5183
-0.65833	24.125	-1.4432	6.4277
-0.65833	24.458	-1.1176	6.1879
-0.65833	24.792	-0.77869	5.8964
-0.65833	25.125	-0.64952	5.3975
-0.65833	25.458	-0.82728	4.8922
-0.65833	25.792	-0.92573	4.3739
-0.65833	26.125	-0.9385	3.7588
-0.65833	26.458	-0.74269	3.2179
-0.65833	26.792	-0.61606	2.8202
-0.65833	27.125	-0.43836	2.5477
-0.65833	27.458	-0.52188	2.4539
-0.65833	27.792	-0.54558	2.4625
-0.65833	28.125	-0.80027	2.1488
-0.65833	28.458	-0.82917	1.5163
-0.65833	28.792	-0.84011	0.97849
-0.65833	29.125	-0.85279	0.18092
-0.65833	29.458	-0.4047	-0.34494
-0.325	9.7917	-0.0014263	4.6563
-0.325	10.125	0.013081	6.0347
-0.325	10.458	0.25262	7.1862
-0.325	10.792	-0.056984	7.6964
-0.325	11.125	-0.57277	7.6277
-0.325	11.458	-0.92192	6.8328
-0.325	11.792	-0.98436	6.7115
-0.325	12.125	-1.039	6.5039
-0.325	12.458	-1.0093	5.8761
-0.325	12.792	-0.78898	5.3266
-0.325	13.125	-0.84953	4.4731
-0.325	13.458	-0.69615	4.0943
-0.325	13.792	-0.55803	4.0665
-0.325	14.125	-0.24369	4.1312
-0.325	14.458	0.017492	4.3172
-0.325	14.792	0.23145	4.4093
-0.325	15.125	0.37832	4.2206
-0.325	15.458	0.55458	4.1243
-0.325	15.792	0.69998	4.2824
-0.325	16.125	0.75913	4.5733
-0.325	16.458	0.82076	4.6551
-0.325	16.792	1.0399	4.7356
-0.325	17.125	1.3168	4.874
-0.325	17.458	1.6306	5.1099
-0.325	17.792	1.9206	5.3247
-0.325	18.125	1.7569	5.4011
-0.325	18.458	1.6064	5.5183
-0.325	18.792	1.2893	5.3785
-0.325	19.125	0.76683	5.5616
-0.325	19.458	0.19863	5.6146
-0.325	19.792	-0.15457	5.8108
-0.325	20.125	-0.4416	6.1223
-0.325	20.458	-1.0065	6.2119
-0.325	20.792	-1.5366	6.4593
-0.325	21.125	-1.605	7.0407
-0.325	21.458	-1.6901	7.2606
-0.325	21.792	-1.7809	7.1565
-0.325	22.125	-1.6915	7.0462
-0.325	22.458	-1.4069	6.9676
-0.325	22.792	-1.5054	6.8193
-0.325	23.125	-1.5888	6.5987
-0.325	23.458	-1.5562	6.6849
-0.325	23.792	-1.4164	6.5945
-0.325	24.125	-1.1827	6.435
-0.325	24.458	-0.90245	6.223
