x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	1.8448	-2.9718
-0.99167	10.125	0.88753	-3.5016
-0.99167	10.458	0.3272	-4.6767
-0.99167	10.792	0.44436	-4.2286
-0.99167	11.125	0.96053	-0.98031
-0.99167	11.458	0.47145	1.3455
-0.99167	11.792	-0.50154	2.4153
-0.99167	12.125	-1.0383	2.7208
-0.99167	12.458	-1.4419	3.2305
-0.99167	12.792	-1.8428	3.5719
-0.99167	13.125	-1.9301	3.8248
-0.99167	13.458	-1.8126	3.5408
-0.99167	13.792	-1.7838	3.4514
-0.99167	14.125	-1.4901	3.3099
-0.99167	14.458	-1.0505	2.9626
-0.99167	14.792	-0.51577	2.9107
-0.99167	15.125	0.12812	2.8692
-0.99167	15.458	0.71504	2.6787
-0.99167	15.792	1.1644	2.391
-0.99167	16.125	1.5778	2.1528
-0.99167	16.458	1.9189	2.0607
-0.99167	16.792	2.0486	2.1906
-0.99167	17.125	2.1318	2.263
-0.99167	17.458	1.9608	2.0917
-0.99167	17.792	1.9796	2.017
-0.99167	18.125	1.477	2.2573
-0.99167	18.458	0.67967	2.402
-0.99167	18.792	0.13788	2.4952
-0.99167	19.125	-0.26517	2.6949
-0.99167	19.458	-0.37315	3.0192
-0.99167	19.792	-0.34439	3.0123
-0.99167	20.125	-0.14869	2.869
-0.99167	20.458	-0.17721	2.9462
-0.99167	20.792	-0.35129	3.2227
-0.99167	21.125	-0.30675	3.4037
-0.99167	21.458	-0.266	3.6394
-0.99167	21.792	-0.1334	4.0516
-0.99167	22.125	-0.11614	4.4069
-0.99167	22.458	-0.029783	4.5932
-0.99167	22.792	-0.42111	4.7752
-0.99167	23.125	-1.1355	5.0893
-0.99167	23.458	-1.5515	5.2295
-0.99167	23.792	-1.8551	5.3539
-0.99167	24.125	-2.0136	5.2163
-0.99167	24.458	-1.867	4.8975
-0.99167	24.792	-1.2463	4.4592
-0.99167	25.125	-0.84117	4.2964
-0.99167	25.458	-0.76277	4.3152
-0.99167	25.792	-0.70625	3.8975
-0.99167	26.125	-0.69865	3.6178
-0.99167	26.458	-0.73416	3.3017
-0.99167	26.792	-1.0199	3.1452
-0.99167	27.125	-1.2883	3.1256
-0.99167	27.458	-1.4808	2.8785
-0.99167	27.792	-1.8036	2.1236
-0.99167	28.125	-2.2638	1.5986
-0.99167	28.458	-2.6777	0.95488
-0.99167	28.792	-2.7912	0.50516
-0.99167	29.125	-2.5199	0.34344
-0.99167	29.458	-1.5284	-0.26836
-0.65833	9.7917	0.0089213	-4.2729
-0.65833	10.125	0.25859	-3.5016
-0.65833	10.458	0.32119	-3.1544
-0.65833	10.792	0.51318	-2.2092
-0.65833	11.125	0.87387	0.54009
-0.65833	11.458	0.29257	2.8579
-0.65833	11.792	-0.43663	3.7951
-0.65833	12.125	-1.2195	4.1451
-0.65833	12.458	-1.5707	4.7328
-0.65833	12.792	-1.7483	4.9583
-0.65833	13.125	-1.7874	5.0227
-0.65833	13.458	-1.7166	4.6347
-0.65833	13.792	-1.6818	4.514
-0.65833	14.125	-1.4932	4.283
-0.65833	14.458	-0.99135	3.8858
-0.65833	14.792	-0.50951	3.7312
-0.65833	15.125	0.14734	3.5779
-0.65833	15.458	0.71207	3.4037
-0.65833	15.792	1.2387	3.1687
-0.65833	16.125	1.6186	2.9669
-0.65833	16.458	1.8718	2.807
-0.65833	16.792	2.0232	2.9021
-0.65833	17.125	2.0456	3.1991
-0.65833	17.458	1.9514	3.1863
-0.65833	17.792	1.8247	3.0827
-0.65833	18.125	1.2384	3.4629
-0.65833	18.458	0.52479	3.8757
-0.65833	18.792	-0.10166	3.9962
-0.65833	19.125	-0.57415	4.0425
-0.65833	19.458	-0.82071	4.3909
-0.65833	19.792	-0.7568	4.2908
-0.65833	20.125	-0.41697	4.1489
-0.65833	20.458	-0.522	4.0894
-0.65833	20.792	-0.748	4.4003
-0.65833	21.125	-0.77381	4.5593
-0.65833	21.458	-0.67121	4.7387
-0.65833	21.792	-0.47149	4.8746
-0.65833	22.125	-0.36064	5.0765
-0.65833	22.458	-0.20069	5.309
-0.65833	22.792	-0.54691	5.4378
-0.65833	23.125	-1.2309	5.4185
-0.65833	23.458	-1.5226	5.4264
-0.65833	23.792	-1.8003	5.4161
-0.65833	24.125	-1.9126	5.1195
-0.65833	24.458	-1.7252	4.7433
-0.65833	24.792	-1.2201	4.4049
-0.65833	25.125	-0.79282	4.4029
-0.65833	25.458	-0.67051	4.3291
-0.65833	25.792	-0.54942	4.1775
-0.65833	26.125	-0.53819	3.9796
-0.65833	26.458	-0.58776	3.7667
-0.65833	26.792	-0.73206	3.6338
-0.65833	27.125	-1.0637	3.5814
-0.65833	27.458	-1.1577	3.5031
-0.65833	27.792	-1.5107	2.855
-0.65833	28.125	-1.9953	2.1932
-0.65833	28.458	-2.3386	1.143
-0.65833	28.792	-2.4196	0.50895
-0.65833	29.125	-2.0921	0.28501
-0.65833	29.458	-1.5035	-0.2798
-0.325	9.7917	0.12946	-1.1154
-0.325	10.125	0.40211	1.2322
-0.325	10.458	0.27959	2.4686
-0.325	10.792	0.55185	3.0327
-0.325	11.125	0.75992	4.7105
-0.325	11.458	0.074711	5.9804
-0.325	11.792	-0.51611	6.2738
-0.325	12.125	-1.0109	5.9814
-0.325	12.458	-1.3414	5.8631
-0.325	12.792	-1.4091	5.7452
-0.325	13.125	-1.5049	5.5672
-0.325	13.458	-1.5396	5.3019
-0.325	13.792	-1.4547	5.0923
-0.325	14.125	-1.2756	4.8997
-0.325	14.458	-0.88613	4.5037
-0.325	14.792	-0.56584	4.3278
-0.325	15.125	-0.0074497	4.2491
-0.325	15.458	0.44631	4.1688
-0.325	15.792	0.85696	4.0362
-0.325	16.125	1.2275	3.9699
-0.325	16.458	1.4538	4.0552
-0.325	16.792	1.7002	4.2409
-0.325	17.125	1.7962	4.6258
-0.325	17.458	1.8123	4.6736
-0.325	17.792	1.6961	4.6459
-0.325	18.125	1.0824	4.9318
-0.325	18.458	0.30496	5.3312
-0.325	18.792	-0.30985	5.5859
-0.325	19.125	-0.78405	5.852
-0.325	19.458	-1.0645	6.0728
-0.325	19.792	-1.0445	5.9862
-0.325	20.125	-0.80704	5.7757
-0.325	20.458	-1.1283	5.5035
-0.325	20.792	-1.3942	5.8522
-0.325	21.125	-1.2852	6.0328
-0.325	21.458	-1.0814	5.9423
-0.325	21.792	-0.81979	5.732
-0.325	22.125	-0.63523	5.6594
-0.325	22.458	-0.38095	5.6662
-0.325	22.792	-0.62388	5.625
-0.325	23.125	-1.1348	5.5717
-0.325	23.458	-1.3957	5.3928
-0.325	23.792	-1.6529	5.1926
-0.325	24.125	-1.6649	4.8195
-0.325	24.458	-1.3617	4.454
-0.325	24.792	-1.0021	4.3454
-0.325	25.125	-0.71659	4.5072
-0.325	25.458	-0.62716	4.357
-0.325	25.792	-0.45291	4.2535
-0.325	26.125	-0.41798	4.1348
-0.325	26.458	-0.44368	4.0855
-0.325	26.792	-0.52088	4.017
-0.325	27.125	-0.76695	3.9567
-0.325	27.458	-0.82653	3.8512
-0.325	27.792	-1.1135	3.5043
-0.325	28.125	-1.5815	2.937
-0.325	28.458	-1.87	2.0816
-0.325	28.792	-2.0568	1.2514
-0.325	29.125	-1.8048	0.701
-0.325	29.458	-1.4355	-0.24011
0.0083333	9.7917	0.63488	3.6193
0.0083333	10.125	0.72167	6.4266
0.0083333	10.458	0.70494	7.6197
0.0083333	10.792	0.57895	7.5593
0.0083333	11.125	0.37084	7.5937
0.0083333	11.458	-0.16254	7.7289
0.0083333	11.792	-0.47422	7.5244
0.0083333	12.125	-0.65851	7.0086
0.0083333	12.458	-0.80384	6.3229
0.0083333	12.792	-0.8177	6.0536
0.0083333	13.125	-0.84768	5.8224
0.0083333	13.458	-0.96045	5.587
0.0083333	13.792	-0.95799	5.1247
0.0083333	14.125	-0.90481	4.7813
0.0083333	14.458	-0.74473	4.5212
0.0083333	14.792	-0.58917	4.6053
0.0083333	15.125	-0.17352	4.6805
0.0083333	15.458	0.20752	4.6666
0.0083333	15.792	0.43763	4.6829
0.0083333	16.125	0.67506	4.9181
0.0083333	16.458	0.92494	5.2479
0.0083333	16.792	1.14	5.6184
0.0083333	17.125	1.2839	6.0532
0.0083333	17.458	1.4206	6.1366
0.0083333	17.792	1.4302	6.2327
0.0083333	18.125	0.8231	6.2822
0.0083333	18.458	0.14226	6.5865
0.0083333	18.792	-0.39149	6.9245
0.0083333	19.125	-0.75174	7.1414
0.0083333	19.458	-1.01	7.2268
0.0083333	19.792	-0.97996	7.3116
0.0083333	20.125	-0.8756	7.0138
0.0083333	20.458	-1.1339	6.7381
0.0083333	20.792	-1.3572	6.9221
0.0083333	21.125	-1.2963	6.9377
0.0083333	21.458	-1.1614	6.7854
0.0083333	21.792	-0.9581	6.4914
0.0083333	22.125	-0.67835	6.1855
0.0083333	22.458	-0.43506	5.9147
0.0083333	22.792	-0.5651	5.7263
0.0083333	23.125	-0.98863	5.6095
0.0083333	23.458	-1.2351	5.3032
0.0083333	23.792	-1.4053	4.9881
