x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-0.83268	-0.19004
-0.99167	10.125	-1.1426	-1.1344
-0.99167	10.458	-1.0751	-1.2374
-0.99167	10.792	-0.60436	0.79802
-0.99167	11.125	-0.091924	3.9338
-0.99167	11.458	0.64366	4.9038
-0.99167	11.792	0.79891	4.4024
-0.99167	12.125	0.69655	4.2631
-0.99167	12.458	0.43023	4.5932
-0.99167	12.792	-0.18729	4.7304
-0.99167	13.125	-0.49128	5.183
-0.99167	13.458	-0.99601	5.6371
-0.99167	13.792	-1.398	5.7639
-0.99167	14.125	-1.7003	5.7999
-0.99167	14.458	-1.6136	5.4891
-0.99167	14.792	-1.3066	4.9213
-0.99167	15.125	-1.0061	4.6866
-0.99167	15.458	-0.69033	4.4278
-0.99167	15.792	-0.56962	4.1151
-0.99167	16.125	-0.42439	4.1286
-0.99167	16.458	-0.16385	3.8088
-0.99167	16.792	0.22664	3.4842
-0.99167	17.125	0.45078	3.2553
-0.99167	17.458	0.5826	3.2524
-0.99167	17.792	0.9584	3.1092
-0.99167	18.125	1.3082	3.1697
-0.99167	18.458	1.3523	3.1797
-0.99167	18.792	1.4166	3.0984
-0.99167	19.125	1.1439	3.4003
-0.99167	19.458	0.88661	3.5916
-0.99167	19.792	0.91797	3.8757
-0.99167	20.125	0.9379	4.0679
-0.99167	20.458	0.42456	4.402
-0.99167	20.792	-0.038424	4.8785
-0.99167	21.125	-0.34502	5.284
-0.99167	21.458	-0.38754	5.3544
-0.99167	21.792	-0.32686	5.6943
-0.99167	22.125	-0.34209	5.9017
-0.99167	22.458	0.029187	6.0183
-0.99167	22.792	0.10342	6.2815
-0.99167	23.125	-0.25117	6.2426
-0.99167	23.458	-0.78267	6.5997
-0.99167	23.792	-1.2257	6.4924
-0.99167	24.125	-1.7887	6.2703
-0.99167	24.458	-2.1096	5.7767
-0.99167	24.792	-1.858	5.5899
-0.99167	25.125	-1.8346	5.2028
-0.99167	25.458	-1.8398	4.8688
-0.99167	25.792	-1.7583	4.6041
-0.99167	26.125	-1.7173	4.4765
-0.99167	26.458	-1.6095	3.8305
-0.99167	26.792	-1.5719	3.1046
-0.99167	27.125	-1.7232	2.5755
-0.99167	27.458	-1.8192	2.3585
-0.99167	27.792	-2.0522	2.279
-0.99167	28.125	-2.2128	2.0472
-0.99167	28.458	-2.3184	1.6065
-0.99167	28.792	-2.4262	1.1364
-0.99167	29.125	-2.2288	0.57868
-0.99167	29.458	-1.2918	-0.17289
-0.65833	9.7917	-1.4145	2.6977
-0.65833	10.125	-1.6365	1.4671
-0.65833	10.458	-1.3714	0.72302
-0.65833	10.792	-0.76155	2.2721
-0.65833	11.125	-0.44916	5.0175
-0.65833	11.458	0.083264	6.4132
-0.65833	11.792	0.17908	6.1925
-0.65833	12.125	0.25359	6.0595
-0.65833	12.458	0.11377	6.5573
-0.65833	12.792	0.050012	6.7656
-0.65833	13.125	-0.094895	6.9087
-0.65833	13.458	-0.65868	6.9345
-0.65833	13.792	-1.1655	7.045
-0.65833	14.125	-1.3235	6.7335
-0.65833	14.458	-1.1626	6.2337
-0.65833	14.792	-1.0822	5.7975
-0.65833	15.125	-0.72343	5.4093
-0.65833	15.458	-0.39455	5.11
-0.65833	15.792	-0.36437	4.7758
-0.65833	16.125	-0.18552	4.5184
-0.65833	16.458	0.019613	4.205
-0.65833	16.792	0.38767	3.9845
-0.65833	17.125	0.56475	3.8797
-0.65833	17.458	0.6851	3.9099
-0.65833	17.792	0.99753	3.8727
-0.65833	18.125	1.1802	3.9173
-0.65833	18.458	1.2299	3.9238
-0.65833	18.792	1.2006	4.1457
-0.65833	19.125	0.90077	4.4825
-0.65833	19.458	0.60979	4.6119
-0.65833	19.792	0.70337	4.7606
-0.65833	20.125	0.61867	5.1002
-0.65833	20.458	-0.02892	5.5689
-0.65833	20.792	-0.49434	6.0714
-0.65833	21.125	-0.6199	6.2027
-0.65833	21.458	-0.80996	6.0853
-0.65833	21.792	-0.45942	6.3615
-0.65833	22.125	-0.16297	6.8338
-0.65833	22.458	0.18007	6.9232
-0.65833	22.792	0.27378	7.0896
-0.65833	23.125	-0.0021728	7.1162
-0.65833	23.458	-0.45384	7.2441
-0.65833	23.792	-0.9078	7.019
-0.65833	24.125	-1.3705	6.6932
-0.65833	24.458	-1.6482	6.3692
-0.65833	24.792	-1.5729	6.0355
-0.65833	25.125	-1.7596	5.7241
-0.65833	25.458	-1.8422	5.4108
-0.65833	25.792	-1.817	5.0654
-0.65833	26.125	-1.7266	4.8723
-0.65833	26.458	-1.5438	4.4422
-0.65833	26.792	-1.441	3.6696
-0.65833	27.125	-1.4472	2.8872
-0.65833	27.458	-1.4413	2.3752
-0.65833	27.792	-1.7646	2.2001
-0.65833	28.125	-1.8348	1.8808
-0.65833	28.458	-1.9319	1.6124
-0.65833	28.792	-2.0208	1.2782
-0.65833	29.125	-1.8951	0.44983
-0.65833	29.458	-1.493	-0.24026
-0.325	9.7917	-0.68527	6.0854
