x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-2.084	2.0347
-0.99167	10.125	-2.3072	-1.2513
-0.99167	10.458	-2.4239	-3.578
-0.99167	10.792	-2.5934	-1.7278
-0.99167	11.125	-1.417	2.3455
-0.99167	11.458	-0.42568	5.2986
-0.99167	11.792	-0.46327	5.6496
-0.99167	12.125	-0.23528	4.8599
-0.99167	12.458	0.050365	4.6518
-0.99167	12.792	0.25719	4.5342
-0.99167	13.125	0.21943	4.1219
-0.99167	13.458	0.43181	4.339
-0.99167	13.792	0.47796	4.7426
-0.99167	14.125	0.53836	4.9566
-0.99167	14.458	0.34645	4.8786
-0.99167	14.792	0.11568	5.0953
-0.99167	15.125	-0.12987	5.0179
-0.99167	15.458	-0.54223	5.0329
-0.99167	15.792	-1.1703	4.9464
-0.99167	16.125	-1.4417	4.6493
-0.99167	16.458	-1.3808	4.7408
-0.99167	16.792	-1.5097	4.3738
-0.99167	17.125	-1.1726	4.0992
-0.99167	17.458	-0.7305	3.6416
-0.99167	17.792	-0.19398	3.3169
-0.99167	18.125	0.48343	3.0618
-0.99167	18.458	0.98328	2.5186
-0.99167	18.792	1.3897	2.0519
-0.99167	19.125	1.6712	1.739
-0.99167	19.458	1.8153	1.5643
-0.99167	19.792	1.913	1.5579
-0.99167	20.125	2.0024	1.6638
-0.99167	20.458	1.7368	1.7943
-0.99167	20.792	1.3044	1.7805
-0.99167	21.125	0.93602	1.9282
-0.99167	21.458	0.6701	2.3462
-0.99167	21.792	0.40705	2.7234
-0.99167	22.125	0.14085	3.1439
-0.99167	22.458	-0.054052	3.4097
-0.99167	22.792	-0.55703	4.0742
-0.99167	23.125	-1.0959	4.5945
-0.99167	23.458	-1.3997	4.8333
-0.99167	23.792	-1.4019	4.9369
-0.99167	24.125	-1.6098	4.8971
-0.99167	24.458	-1.525	4.8375
-0.99167	24.792	-1.0195	4.7418
-0.99167	25.125	-0.73201	4.6247
-0.99167	25.458	-0.68335	4.6165
-0.99167	25.792	-0.77469	4.6875
-0.99167	26.125	-1.1146	4.7742
-0.99167	26.458	-1.3164	4.8375
-0.99167	26.792	-1.4636	4.8368
-0.99167	27.125	-1.5031	4.5301
-0.99167	27.458	-1.59	4.2238
-0.99167	27.792	-1.675	3.6219
-0.99167	28.125	-1.6263	2.6836
-0.99167	28.458	-1.5042	1.5554
-0.99167	28.792	-1.3108	0.85835
-0.99167	29.125	-0.88048	0.2512
-0.99167	29.458	-0.11192	-0.33762
-0.65833	9.7917	-1.6594	0.50743
-0.65833	10.125	-2.4543	-3.8417
-0.65833	10.458	-2.7626	-5.4216
-0.65833	10.792	-2.8823	-2.9907
-0.65833	11.125	-2.1414	2.3332
-0.65833	11.458	-1.3858	6.4272
-0.65833	11.792	-1.0138	7.08
-0.65833	12.125	-0.55816	6.2882
-0.65833	12.458	-0.20213	5.821
-0.65833	12.792	0.040513	5.3715
