x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-1.5545	3.7298
-0.99167	10.125	-2.0448	3.197
-0.99167	10.458	-2.2319	2.3818
-0.99167	10.792	-2.2369	3.3726
-0.99167	11.125	-1.9972	4.9789
-0.99167	11.458	-1.8631	5.9786
-0.99167	11.792	-1.8598	6.3818
-0.99167	12.125	-1.8864	5.6622
-0.99167	12.458	-1.581	5.5392
-0.99167	12.792	-1.2268	4.8698
-0.99167	13.125	-0.9308	4.0341
-0.99167	13.458	-0.91291	3.5032
-0.99167	13.792	-0.48601	3.4041
-0.99167	14.125	-0.20267	3.5527
-0.99167	14.458	-0.039463	3.6344
-0.99167	14.792	0.10978	3.7511
-0.99167	15.125	0.21426	3.8545
-0.99167	15.458	0.21876	4.0343
-0.99167	15.792	-0.12961	4.1144
-0.99167	16.125	-0.36968	4.0001
-0.99167	16.458	-0.31823	3.7435
-0.99167	16.792	-0.066371	3.3692
-0.99167	17.125	0.021452	3.3473
-0.99167	17.458	0.33154	3.3919
-0.99167	17.792	0.69059	3.2422
-0.99167	18.125	0.94509	3.2599
-0.99167	18.458	1.1487	3.3985
-0.99167	18.792	1.3071	3.3974
-0.99167	19.125	1.2578	3.5493
-0.99167	19.458	1.0481	3.7432
-0.99167	19.792	0.79703	3.927
-0.99167	20.125	0.69216	4.1551
-0.99167	20.458	0.60549	4.2275
-0.99167	20.792	0.60264	4.2612
-0.99167	21.125	0.46664	3.9531
-0.99167	21.458	0.33026	3.7143
-0.99167	21.792	0.15754	3.5818
-0.99167	22.125	-0.10871	3.8077
-0.99167	22.458	-0.21313	3.9608
-0.99167	22.792	-0.66321	4.3894
-0.99167	23.125	-1.3282	4.8938
-0.99167	23.458	-1.5836	5.1222
-0.99167	23.792	-1.6285	5.249
-0.99167	24.125	-1.5835	5.3437
-0.99167	24.458	-1.3849	5.4175
-0.99167	24.792	-0.98189	5.1952
-0.99167	25.125	-0.86515	4.8284
-0.99167	25.458	-0.97314	4.4737
-0.99167	25.792	-0.97871	4.3898
-0.99167	26.125	-1.1005	4.3267
-0.99167	26.458	-1.1448	3.8321
-0.99167	26.792	-1.1323	3.3393
-0.99167	27.125	-1.1045	2.621
-0.99167	27.458	-1.2023	1.8829
-0.99167	27.792	-1.3867	1.38
-0.99167	28.125	-1.4218	1.4374
-0.99167	28.458	-1.5203	1.3471
-0.99167	28.792	-1.5598	1.3573
-0.99167	29.125	-1.4257	0.58045
-0.99167	29.458	-0.4725	-0.33041
-0.65833	9.7917	-0.71801	3.9594
-0.65833	10.125	-1.0121	3.0969
-0.65833	10.458	-1.0567	2.6662
-0.65833	10.792	-1.4895	4.1963
-0.65833	11.125	-1.8584	5.7469
-0.65833	11.458	-1.9988	6.7841
-0.65833	11.792	-1.9764	6.8994
-0.65833	12.125	-1.8196	6.4927
-0.65833	12.458	-1.4736	6.342
-0.65833	12.792	-1.0564	5.8237
-0.65833	13.125	-0.61845	4.9614
-0.65833	13.458	-0.45155	4.2807
-0.65833	13.792	-0.22654	4.1328
-0.65833	14.125	0.050435	4.2091
-0.65833	14.458	0.23567	4.302
-0.65833	14.792	0.3259	4.3581
-0.65833	15.125	0.43491	4.4147
-0.65833	15.458	0.45209	4.5204
-0.65833	15.792	0.13974	4.5254
-0.65833	16.125	-0.15273	4.4066
-0.65833	16.458	-0.19834	4.3398
-0.65833	16.792	-0.15585	4.18
-0.65833	17.125	-0.016872	4.2448
-0.65833	17.458	0.30975	4.2755
-0.65833	17.792	0.70008	4.2003
-0.65833	18.125	0.86393	4.312
-0.65833	18.458	0.96186	4.5669
-0.65833	18.792	1.0158	4.7133
-0.65833	19.125	0.8173	4.9744
-0.65833	19.458	0.53467	5.1397
-0.65833	19.792	0.40519	5.3784
-0.65833	20.125	0.56347	5.6299
