x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	0.97207	2.3502
-0.99167	10.125	-0.93815	3.8034
-0.99167	10.458	-1.0072	5.0457
-0.99167	10.792	-0.079731	5.1496
-0.99167	11.125	0.27243	4.6334
-0.99167	11.458	0.076094	4.5678
-0.99167	11.792	-0.041954	4.7301
-0.99167	12.125	-0.41143	4.6758
-0.99167	12.458	-0.73552	4.3316
-0.99167	12.792	-0.65866	4.4213
-0.99167	13.125	-0.47821	4.4542
-0.99167	13.458	-0.6002	4.3857
-0.99167	13.792	-0.49756	4.207
-0.99167	14.125	-0.22224	3.6793
-0.99167	14.458	0.15207	3.4791
-0.99167	14.792	0.34627	3.4183
-0.99167	15.125	0.56954	3.3696
-0.99167	15.458	0.89582	3.1209
-0.99167	15.792	1.028	3.244
-0.99167	16.125	0.82361	3.3739
-0.99167	16.458	0.53468	3.4198
-0.99167	16.792	0.30555	3.5719
-0.99167	17.125	0.25865	3.7685
-0.99167	17.458	0.0080415	3.6782
-0.99167	17.792	0.078964	3.5588
-0.99167	18.125	-0.13434	3.8088
-0.99167	18.458	-0.378	4.1753
-0.99167	18.792	-0.56693	4.6074
-0.99167	19.125	-0.55172	4.819
-0.99167	19.458	-0.4565	5.1181
-0.99167	19.792	-0.49033	5.4036
-0.99167	20.125	-0.32895	5.4536
-0.99167	20.458	-0.57603	5.7178
-0.99167	20.792	-0.89731	6.1882
-0.99167	21.125	-0.93708	6.4026
-0.99167	21.458	-1.2137	6.3988
-0.99167	21.792	-1.2949	6.2062
-0.99167	22.125	-1.0989	6.0019
-0.99167	22.458	-0.74805	5.601
-0.99167	22.792	-0.55026	5.1491
-0.99167	23.125	-0.4193	4.5091
-0.99167	23.458	-0.093565	3.899
-0.99167	23.792	0.17969	3.2911
-0.99167	24.125	0.34195	2.7933
-0.99167	24.458	0.46434	2.1603
-0.99167	24.792	0.14263	1.7762
-0.99167	25.125	-0.19677	1.3115
-0.99167	25.458	-0.54827	1.0163
-0.99167	25.792	-0.87241	0.92776
-0.99167	26.125	-1.1584	0.57828
-0.99167	26.458	-1.4924	0.29756
-0.99167	26.792	-1.9006	0.085927
-0.99167	27.125	-1.8688	-0.075794
-0.99167	27.458	-1.8388	-0.42403
-0.99167	27.792	-1.9203	-0.92798
-0.99167	28.125	-1.8931	-1.4399
-0.99167	28.458	-1.9801	-1.6474
-0.99167	28.792	-2.1558	-1.2029
-0.99167	29.125	-1.7311	-0.73873
-0.99167	29.458	-1.4314	-0.49225
-0.65833	9.7917	-1.2867	3.0817
-0.65833	10.125	-1.7962	5.0175
-0.65833	10.458	-1.0644	6.426
-0.65833	10.792	0.28317	6.1084
-0.65833	11.125	0.54014	5.4623
-0.65833	11.458	0.059719	5.3549
-0.65833	11.792	-0.15727	5.4793
-0.65833	12.125	-0.26013	5.4955
-0.65833	12.458	-0.55226	5.7105
-0.65833	12.792	-0.52259	5.926
-0.65833	13.125	-0.37084	5.6684
-0.65833	13.458	-0.47899	5.6468
-0.65833	13.792	-0.36739	5.3258
-0.65833	14.125	-0.15823	4.8667
-0.65833	14.458	0.17573	4.5414
-0.65833	14.792	0.51141	4.4673
-0.65833	15.125	0.7811	4.5668
-0.65833	15.458	1.0429	4.4689
-0.65833	15.792	0.9612	4.4221
-0.65833	16.125	0.78685	4.511
-0.65833	16.458	0.60674	4.5749
-0.65833	16.792	0.30159	4.7276
-0.65833	17.125	0.16124	4.8522
