x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-2.2983	4.8378
-0.99167	10.125	-1.6553	5.0475
-0.99167	10.458	-1.5263	3.8474
-0.99167	10.792	-1.1564	3.1716
-0.99167	11.125	-0.8121	3.7311
-0.99167	11.458	-0.33627	4.1513
-0.99167	11.792	0.39534	3.838
-0.99167	12.125	0.82417	3.8618
-0.99167	12.458	1.1771	3.7846
-0.99167	12.792	1.4448	3.878
-0.99167	13.125	1.8831	3.8061
-0.99167	13.458	1.6316	3.6736
-0.99167	13.792	1.1545	3.8688
-0.99167	14.125	0.69281	4.1189
-0.99167	14.458	0.43005	4.2506
-0.99167	14.792	-0.27918	4.5097
-0.99167	15.125	-0.77913	4.802
-0.99167	15.458	-0.81133	4.7684
-0.99167	15.792	-0.97763	4.6677
-0.99167	16.125	-1.0786	4.6267
-0.99167	16.458	-0.8832	4.63
-0.99167	16.792	-0.52593	4.7205
-0.99167	17.125	-0.010348	4.6063
-0.99167	17.458	0.65809	4.7518
-0.99167	17.792	1.0874	5.0019
-0.99167	18.125	0.98919	5.1046
-0.99167	18.458	0.92062	5.3862
-0.99167	18.792	0.87571	5.7576
-0.99167	19.125	0.7739	6.1037
-0.99167	19.458	0.44877	6.4687
-0.99167	19.792	0.079138	6.726
-0.99167	20.125	-0.041042	6.7333
-0.99167	20.458	-0.31224	6.8575
-0.99167	20.792	-0.69113	6.6112
-0.99167	21.125	-0.93067	6.0984
-0.99167	21.458	-0.785	5.6913
-0.99167	21.792	-0.53271	5.2069
-0.99167	22.125	-0.31624	4.7076
-0.99167	22.458	-0.16558	4.2159
-0.99167	22.792	-0.18241	3.7714
-0.99167	23.125	-0.30483	3.5961
-0.99167	23.458	-0.35273	3.3326
-0.99167	23.792	-0.54205	3.2068
-0.99167	24.125	-0.73262	2.9827
-0.99167	24.458	-0.77189	3.0082
-0.99167	24.792	-0.53421	2.8514
-0.99167	25.125	-0.37883	2.6794
-0.99167	25.458	-0.27961	2.5436
-0.99167	25.792	-0.074987	2.4191
-0.99167	26.125	-0.070357	2.2209
-0.99167	26.458	-0.030169	2.0742
-0.99167	26.792	-0.10285	1.9098
-0.99167	27.125	-0.33081	1.436
-0.99167	27.458	-0.73917	1.3232
-0.99167	27.792	-1.2145	1.7918
-0.99167	28.125	-1.8788	2.1627
-0.99167	28.458	-2.2524	2.2141
-0.99167	28.792	-2.3507	1.7559
-0.99167	29.125	-2.0921	1.0461
-0.99167	29.458	-1.2681	-0.17645
-0.65833	9.7917	-2.0265	5.0974
-0.65833	10.125	-1.399	5.288
-0.65833	10.458	-1.1319	4.3913
-0.65833	10.792	-0.65529	3.4975
-0.65833	11.125	-0.40931	4.5767
-0.65833	11.458	-0.17538	5.1441
-0.65833	11.792	0.444	4.6425
-0.65833	12.125	0.80152	4.7927
-0.65833	12.458	1.1053	4.8927
-0.65833	12.792	1.438	5.0062
-0.65833	13.125	1.6361	5.2059
-0.65833	13.458	1.2756	5.1782
-0.65833	13.792	0.92583	5.4348
-0.65833	14.125	0.47019	5.6856
-0.65833	14.458	0.038281	5.975
-0.65833	14.792	-0.43387	6.2778
-0.65833	15.125	-0.71417	6.3119
-0.65833	15.458	-0.70355	6.1813
-0.65833	15.792	-0.96147	6.0236
-0.65833	16.125	-1.0272	5.8695
-0.65833	16.458	-0.79593	5.713
-0.65833	16.792	-0.53706	5.6104
-0.65833	17.125	-0.11605	5.4539
-0.65833	17.458	0.43198	5.3402
-0.65833	17.792	0.9048	5.4252
-0.65833	18.125	0.81633	5.6498
-0.65833	18.458	0.66932	6.0381
-0.65833	18.792	0.51061	6.3944
-0.65833	19.125	0.45594	6.6166
-0.65833	19.458	0.25485	6.9056
-0.65833	19.792	0.016097	7.1432
-0.65833	20.125	-0.028851	7.2852
