x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-2.2409	0.92426
-0.99167	10.125	-1.1261	3.2614
-0.99167	10.458	0.079189	4.5742
-0.99167	10.792	0.88506	4.0784
-0.99167	11.125	0.98073	3.302
-0.99167	11.458	0.8484	4.2312
-0.99167	11.792	0.72763	4.8979
-0.99167	12.125	0.40065	5.0131
-0.99167	12.458	-0.036415	4.9515
-0.99167	12.792	-0.25131	4.9026
-0.99167	13.125	-0.65557	5.0871
-0.99167	13.458	-1.2906	5.5063
-0.99167	13.792	-1.6346	5.7126
-0.99167	14.125	-1.7347	5.4312
-0.99167	14.458	-1.5932	5.4826
-0.99167	14.792	-1.3469	5.4951
-0.99167	15.125	-0.87032	5.0871
-0.99167	15.458	-0.25406	4.7195
-0.99167	15.792	0.22411	4.4891
-0.99167	16.125	0.39252	4.218
-0.99167	16.458	0.69025	4.1311
-0.99167	16.792	0.75195	4.2553
-0.99167	17.125	0.69729	4.3149
-0.99167	17.458	0.40392	4.6421
-0.99167	17.792	0.084259	4.8442
-0.99167	18.125	-0.40374	4.9766
-0.99167	18.458	-0.73333	4.7803
-0.99167	18.792	-0.76918	4.7715
-0.99167	19.125	-1.0091	4.8532
-0.99167	19.458	-1.0961	4.8543
-0.99167	19.792	-0.95398	4.5175
-0.99167	20.125	-0.6528	4.1303
-0.99167	20.458	-0.58815	3.7742
-0.99167	20.792	-0.48529	3.7104
-0.99167	21.125	-0.48865	3.7878
-0.99167	21.458	-0.25137	3.6846
-0.99167	21.792	-0.12345	3.8778
-0.99167	22.125	-0.069017	4.3166
-0.99167	22.458	0.30324	4.4763
-0.99167	22.792	0.45473	4.3275
-0.99167	23.125	0.4933	4.1863
-0.99167	23.458	0.69615	3.9105
-0.99167	23.792	0.78647	3.5938
-0.99167	24.125	0.83334	3.0402
-0.99167	24.458	0.77682	2.5519
-0.99167	24.792	0.73585	2.2313
-0.99167	25.125	0.65565	2.035
-0.99167	25.458	0.20117	2.2529
-0.99167	25.792	-0.35636	2.5062
-0.99167	26.125	-0.81812	2.6066
-0.99167	26.458	-1.3458	2.7776
-0.99167	26.792	-1.9254	2.6686
-0.99167	27.125	-2.1645	2.6808
-0.99167	27.458	-2.3435	2.6332
-0.99167	27.792	-2.5756	2.1604
-0.99167	28.125	-2.6104	1.7166
-0.99167	28.458	-2.3578	1.0972
-0.99167	28.792	-2.1504	0.57996
-0.99167	29.125	-1.6833	0.12675
-0.99167	29.458	-1.1616	-0.36658
-0.65833	9.7917	-0.54596	2.266
-0.65833	10.125	-0.12949	4.439
-0.65833	10.458	-0.33658	5.8239
-0.65833	10.792	-0.040117	5.4822
-0.65833	11.125	0.32593	4.9125
-0.65833	11.458	0.49144	5.7286
-0.65833	11.792	0.53549	6.3411
-0.65833	12.125	0.33304	6.133
-0.65833	12.458	-0.048182	6.1067
-0.65833	12.792	-0.30724	6.4281
-0.65833	13.125	-0.75003	6.6258
-0.65833	13.458	-1.2517	6.6662
-0.65833	13.792	-1.4852	6.8014
-0.65833	14.125	-1.593	6.5011
-0.65833	14.458	-1.5266	6.2974
-0.65833	14.792	-1.2757	6.1348
-0.65833	15.125	-0.81282	5.8962
-0.65833	15.458	-0.22424	5.6548
-0.65833	15.792	0.20451	5.2426
-0.65833	16.125	0.44092	4.9098
-0.65833	16.458	0.5958	4.7156
-0.65833	16.792	0.57187	4.7015
-0.65833	17.125	0.4671	4.9188
-0.65833	17.458	0.211	5.3175
-0.65833	17.792	-0.014656	5.4433
-0.65833	18.125	-0.25264	5.5426
-0.65833	18.458	-0.45501	5.3572
-0.65833	18.792	-0.65813	5.3081
-0.65833	19.125	-1.0104	5.3772
-0.65833	19.458	-1.1747	5.3897
-0.65833	19.792	-1.0687	5.0428
-0.65833	20.125	-0.74709	4.8854
-0.65833	20.458	-0.79309	4.7676
-0.65833	20.792	-0.76731	4.6452
-0.65833	21.125	-0.84951	4.7273
-0.65833	21.458	-0.82995	4.8307
-0.65833	21.792	-0.59046	4.9968
-0.65833	22.125	-0.20049	5.2678
-0.65833	22.458	0.40642	5.3935
-0.65833	22.792	0.62798	5.5362
-0.65833	23.125	0.64746	5.5681
-0.65833	23.458	0.8354	5.4094
-0.65833	23.792	0.93473	4.9414
-0.65833	24.125	1.0031	4.4806
-0.65833	24.458	0.94665	3.9047
-0.65833	24.792	0.86496	3.4486
-0.65833	25.125	0.55272	2.9836
-0.65833	25.458	0.036724	2.9798
-0.65833	25.792	-0.40974	3.0979
-0.65833	26.125	-0.85267	3.1963
-0.65833	26.458	-1.3622	3.3056
-0.65833	26.792	-1.7905	3.1388
-0.65833	27.125	-2.1168	2.8901
-0.65833	27.458	-2.3074	2.5598
-0.65833	27.792	-2.2278	2.0593
-0.65833	28.125	-2.2136	1.563
-0.65833	28.458	-1.947	1.0133
-0.65833	28.792	-1.6552	0.39224
-0.65833	29.125	-1.1071	-0.14296
-0.65833	29.458	-0.67237	-0.4456
-0.325	9.7917	0.67248	4.4065
-0.325	10.125	0.95196	5.589
-0.325	10.458	0.19077	6.4034
-0.325	10.792	0.09834	6.3479
-0.325	11.125	0.062348	5.8286
-0.325	11.458	0.27999	6.2032
-0.325	11.792	0.37676	6.7473
-0.325	12.125	0.18287	6.8781
-0.325	12.458	-0.047216	6.8518
-0.325	12.792	-0.089587	7.0151
-0.325	13.125	-0.50441	6.9842
-0.325	13.458	-1.0526	7.1146
-0.325	13.792	-1.2727	7.1825
-0.325	14.125	-1.3081	6.9207
-0.325	14.458	-1.1861	6.5983
-0.325	14.792	-1.0206	6.3717
-0.325	15.125	-0.61334	6.2182
-0.325	15.458	-0.14825	6.1485
-0.325	15.792	0.19309	5.8759
-0.325	16.125	0.41787	5.6803
-0.325	16.458	0.56624	5.4841
-0.325	16.792	0.53619	5.3797
-0.325	17.125	0.4302	5.3566
-0.325	17.458	0.30888	5.494
-0.325	17.792	0.15928	5.5641
-0.325	18.125	-0.15769	5.6532
-0.325	18.458	-0.37486	5.5607
-0.325	18.792	-0.6076	5.5042
-0.325	19.125	-0.92131	5.5358
