x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-2.2221	3.973
-0.99167	10.125	-0.67782	2.7675
-0.99167	10.458	0.82105	-0.0081088
-0.99167	10.792	1.0669	-1.8301
-0.99167	11.125	0.92749	1.1666
-0.99167	11.458	0.50625	3.9934
-0.99167	11.792	0.32452	5.2773
-0.99167	12.125	0.12298	5.5535
-0.99167	12.458	-0.050192	5.341
-0.99167	12.792	-0.16145	5.3527
-0.99167	13.125	-0.40628	5.5752
-0.99167	13.458	-0.83591	5.8215
-0.99167	13.792	-0.89087	5.5786
-0.99167	14.125	-0.73888	5.4345
-0.99167	14.458	-0.55196	5.2756
-0.99167	14.792	-0.60869	5.3691
-0.99167	15.125	-0.63528	5.2658
-0.99167	15.458	-0.38614	4.9688
-0.99167	15.792	-0.48869	4.7859
-0.99167	16.125	-0.42546	4.6717
-0.99167	16.458	-0.31322	4.7318
-0.99167	16.792	-0.20055	4.6055
-0.99167	17.125	-0.14155	4.4526
-0.99167	17.458	-0.082908	4.4217
-0.99167	17.792	0.00067666	4.5519
-0.99167	18.125	-0.13309	4.9356
-0.99167	18.458	-0.11642	5.0109
-0.99167	18.792	-0.27917	5.105
-0.99167	19.125	-0.62832	5.0604
-0.99167	19.458	-0.85822	5.1063
-0.99167	19.792	-0.81233	5.2099
-0.99167	20.125	-0.83686	5.3971
-0.99167	20.458	-1.0811	5.6014
-0.99167	20.792	-1.3861	5.6938
-0.99167	21.125	-1.3462	5.5104
-0.99167	21.458	-1.1301	5.3247
-0.99167	21.792	-1.1035	5.2571
-0.99167	22.125	-0.95649	5.5026
-0.99167	22.458	-0.62276	5.5424
-0.99167	22.792	-0.35373	5.7588
-0.99167	23.125	-0.53308	5.7238
-0.99167	23.458	-0.75204	5.5458
-0.99167	23.792	-0.86802	5.2466
-0.99167	24.125	-0.95432	4.9331
-0.99167	24.458	-0.96464	4.4522
-0.99167	24.792	-1.1693	3.6222
-0.99167	25.125	-1.0764	2.2273
-0.99167	25.458	-1.0189	0.66942
-0.99167	25.792	-1.1729	-0.75487
-0.99167	26.125	-1.2719	-2.0455
-0.99167	26.458	-1.2562	-2.6659
-0.99167	26.792	-1.4912	-2.6299
-0.99167	27.125	-1.6991	-1.9797
-0.99167	27.458	-1.5725	-0.62166
-0.99167	27.792	-1.7666	1.0511
-0.99167	28.125	-2.0338	2.266
-0.99167	28.458	-2.2518	2.1528
-0.99167	28.792	-2.3228	1.0602
-0.99167	29.125	-2.1927	-0.0043009
-0.99167	29.458	-1.2539	-0.49959
-0.65833	9.7917	-0.14102	5.6094
-0.65833	10.125	-0.092934	4.6978
-0.65833	10.458	0.31583	1.1941
-0.65833	10.792	0.65105	-0.69364
-0.65833	11.125	0.33083	1.7595
-0.65833	11.458	-0.055438	4.89
-0.65833	11.792	-0.18583	6.8622
-0.65833	12.125	-0.19918	7.36
-0.65833	12.458	-0.3005	7.3389
-0.65833	12.792	-0.39219	7.514
-0.65833	13.125	-0.48368	7.5445
-0.65833	13.458	-0.77868	7.499
-0.65833	13.792	-0.83057	7.2663
-0.65833	14.125	-0.61607	6.994
-0.65833	14.458	-0.43212	6.7294
-0.65833	14.792	-0.42606	6.6166
-0.65833	15.125	-0.30145	6.4098
-0.65833	15.458	-0.095271	6.1147
-0.65833	15.792	-0.34545	5.9514
-0.65833	16.125	-0.44345	5.8835
-0.65833	16.458	-0.34537	5.8308
-0.65833	16.792	-0.19718	5.8433
-0.65833	17.125	-0.20009	5.7953
-0.65833	17.458	-0.12707	5.7569
-0.65833	17.792	-0.038608	5.7421
-0.65833	18.125	-0.21881	5.9884
-0.65833	18.458	-0.23668	6.0147
-0.65833	18.792	-0.45489	5.9347
-0.65833	19.125	-0.64988	5.7955
-0.65833	19.458	-0.78005	5.8287
-0.65833	19.792	-0.76495	5.8987
-0.65833	20.125	-0.77181	6.1164
-0.65833	20.458	-0.96689	6.2851
-0.65833	20.792	-1.0778	6.0898
-0.65833	21.125	-0.92892	5.7969
-0.65833	21.458	-0.68688	5.5014
-0.65833	21.792	-0.84295	5.4856
-0.65833	22.125	-0.82704	5.7617
-0.65833	22.458	-0.54432	5.8326
-0.65833	22.792	-0.38695	6.0012
-0.65833	23.125	-0.59098	6.1289
-0.65833	23.458	-0.64989	6.006
-0.65833	23.792	-0.83185	5.8508
-0.65833	24.125	-0.9531	5.7271
-0.65833	24.458	-0.77198	5.3463
-0.65833	24.792	-0.69531	4.4615
-0.65833	25.125	-0.54373	3.1672
-0.65833	25.458	-0.55297	1.5708
-0.65833	25.792	-0.6849	-0.0024895
-0.65833	26.125	-1.0144	-1.4015
-0.65833	26.458	-1.2834	-2.0125
-0.65833	26.792	-1.668	-2.3485
-0.65833	27.125	-1.9333	-1.9684
-0.65833	27.458	-1.7841	-0.39376
-0.65833	27.792	-1.8369	1.4803
-0.65833	28.125	-1.9509	2.788
-0.65833	28.458	-2.1725	2.5874
-0.65833	28.792	-2.348	1.2968
-0.65833	29.125	-2.3349	-0.12047
-0.65833	29.458	-1.4579	-0.53776
-0.325	9.7917	0.083701	6.4166
-0.325	10.125	-0.056747	6.3476
-0.325	10.458	0.33625	3.9606
-0.325	10.792	0.50134	2.2715
-0.325	11.125	-0.019253	3.8787
-0.325	11.458	-0.21923	6.0059
-0.325	11.792	-0.43452	7.4336
-0.325	12.125	-0.30264	7.9847
-0.325	12.458	-0.22668	8.1429
-0.325	12.792	-0.12979	8.3047
-0.325	13.125	-0.22758	8.102
-0.325	13.458	-0.40334	7.8198
-0.325	13.792	-0.45777	7.7165
-0.325	14.125	-0.38771	7.6031
-0.325	14.458	-0.20399	7.3233
-0.325	14.792	-0.10088	7.1406
-0.325	15.125	0.044032	6.9427
-0.325	15.458	0.15897	6.7391
-0.325	15.792	-0.14427	6.7306
-0.325	16.125	-0.29432	6.7368
-0.325	16.458	-0.28535	6.543
-0.325	16.792	-0.32687	6.3716
-0.325	17.125	-0.34274	6.2454
-0.325	17.458	-0.077492	6.2986
-0.325	17.792	0.057869	6.3844
-0.325	18.125	0.018058	6.4157
-0.325	18.458	-0.14879	6.3889
-0.325	18.792	-0.34232	6.306
-0.325	19.125	-0.40059	6.157
-0.325	19.458	-0.51053	6.3275
-0.325	19.792	-0.60424	6.3898
-0.325	20.125	-0.59551	6.4965
-0.325	20.458	-0.53737	6.5834
-0.325	20.792	-0.55528	6.2521
-0.325	21.125	-0.59579	5.9618
-0.325	21.458	-0.58565	5.6739
-0.325	21.792	-0.59794	5.6462
-0.325	22.125	-0.49468	5.7991
-0.325	22.458	-0.30859	5.7096
-0.325	22.792	-0.2592	5.8013
-0.325	23.125	-0.41771	6.0302
-0.325	23.458	-0.54689	6.1434
-0.325	23.792	-0.67429	6.2797
-0.325	24.125	-0.77029	6.2245
-0.325	24.458	-0.60481	5.9085
-0.325	24.792	-0.24992	5.2409
-0.325	25.125	-0.014369	4.1709
-0.325	25.458	-0.048223	2.7532
-0.325	25.792	-0.27847	1.3346
-0.325	26.125	-0.72734	-0.049246
-0.325	26.458	-1.2167	-0.81645
-0.325	26.792	-1.6677	-1.4333
-0.325	27.125	-1.9684	-1.2814
-0.325	27.458	-1.8932	0.35711
-0.325	27.792	-2.0568	2.1459
-0.325	28.125	-2.0288	2.9273
