x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	0.74212	5.4285
-0.99167	10.125	0.2445	4.3458
-0.99167	10.458	0.49721	3.861
-0.99167	10.792	0.11963	3.9475
-0.99167	11.125	-0.70936	4.7359
-0.99167	11.458	-1.4544	5.2229
-0.99167	11.792	-1.6407	5.5336
-0.99167	12.125	-1.7098	5.3986
-0.99167	12.458	-1.9187	4.668
-0.99167	12.792	-1.7766	4.1875
-0.99167	13.125	-1.4949	4.2557
-0.99167	13.458	-1.2198	4.0022
-0.99167	13.792	-0.83309	3.7792
-0.99167	14.125	-0.62367	3.6633
-0.99167	14.458	-0.30812	3.3663
-0.99167	14.792	-0.080311	3.1765
-0.99167	15.125	0.20137	2.8363
-0.99167	15.458	0.53659	2.8793
-0.99167	15.792	0.77229	2.9913
-0.99167	16.125	1.1065	3.2017
-0.99167	16.458	1.4838	3.4173
-0.99167	16.792	1.7541	3.8959
-0.99167	17.125	1.9174	4.3903
-0.99167	17.458	2.1489	4.7608
-0.99167	17.792	2.3769	5.0128
-0.99167	18.125	1.9067	5.2927
-0.99167	18.458	1.4684	5.3892
-0.99167	18.792	0.98841	5.6451
-0.99167	19.125	0.40039	5.6668
-0.99167	19.458	-0.1414	5.688
-0.99167	19.792	-0.6492	5.7324
-0.99167	20.125	-0.97639	5.6511
-0.99167	20.458	-1.5251	5.7574
-0.99167	20.792	-2.0746	5.8148
-0.99167	21.125	-2.4765	5.7493
-0.99167	21.458	-2.7766	5.8334
-0.99167	21.792	-2.6273	5.8273
-0.99167	22.125	-2.148	5.51
-0.99167	22.458	-1.6943	5.157
-0.99167	22.792	-1.4404	4.8156
-0.99167	23.125	-1.2063	4.6929
-0.99167	23.458	-0.82444	4.5002
-0.99167	23.792	-0.29612	4.3474
-0.99167	24.125	-0.064228	4.2816
-0.99167	24.458	0.16367	4.1125
-0.99167	24.792	0.35317	3.9148
-0.99167	25.125	0.16886	3.846
-0.99167	25.458	-0.17389	3.7513
-0.99167	25.792	-0.43448	3.6848
-0.99167	26.125	-0.59843	3.5945
-0.99167	26.458	-0.927	3.4955
-0.99167	26.792	-1.4428	3.4321
-0.99167	27.125	-1.7446	3.4288
-0.99167	27.458	-1.9378	3.2265
-0.99167	27.792	-2.166	3.0001
-0.99167	28.125	-2.1273	2.9316
-0.99167	28.458	-1.9092	2.9344
-0.99167	28.792	-1.7333	2.9911
-0.99167	29.125	-1.3662	1.9342
-0.99167	29.458	-0.75218	-0.072249
-0.65833	9.7917	0.47718	6.9878
-0.65833	10.125	0.055304	6.0547
-0.65833	10.458	0.31459	6.1235
-0.65833	10.792	0.14444	6.3618
-0.65833	11.125	-0.61335	6.5246
-0.65833	11.458	-1.1521	6.5536
-0.65833	11.792	-1.5391	6.4815
-0.65833	12.125	-1.5915	5.9285
-0.65833	12.458	-1.6263	5.2696
-0.65833	12.792	-1.4667	4.8649
-0.65833	13.125	-1.189	4.6733
-0.65833	13.458	-0.84464	4.5429
-0.65833	13.792	-0.56547	4.3534
-0.65833	14.125	-0.50287	4.1341
-0.65833	14.458	-0.32819	3.8456
-0.65833	14.792	-0.11297	3.6278
-0.65833	15.125	0.21181	3.3979
-0.65833	15.458	0.48691	3.4043
-0.65833	15.792	0.66468	3.5404
-0.65833	16.125	0.90802	3.9815
-0.65833	16.458	1.1778	4.2098
-0.65833	16.792	1.4252	4.7335
-0.65833	17.125	1.6007	5.2549
-0.65833	17.458	1.8602	5.905
-0.65833	17.792	2.0503	6.0941
-0.65833	18.125	1.6666	6.3013
-0.65833	18.458	1.2923	6.5388
-0.65833	18.792	0.94299	6.9022
