x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-1.4631	4.1641
-0.99167	10.125	-0.93421	3.3538
-0.99167	10.458	0.24356	2.2705
-0.99167	10.792	-0.0048247	2.1162
-0.99167	11.125	-0.19601	2.3538
-0.99167	11.458	-0.037611	2.6008
-0.99167	11.792	-0.067153	2.49
-0.99167	12.125	0.12533	2.956
-0.99167	12.458	0.04091	3.793
-0.99167	12.792	-0.014637	4.3412
-0.99167	13.125	-0.1671	4.6063
-0.99167	13.458	-0.57379	4.832
-0.99167	13.792	-0.82509	5.0664
-0.99167	14.125	-0.64347	5.0562
-0.99167	14.458	-0.19736	4.9422
-0.99167	14.792	0.17425	4.8839
-0.99167	15.125	0.45766	4.8512
-0.99167	15.458	0.59436	5.093
-0.99167	15.792	0.33794	5.4441
-0.99167	16.125	0.17724	5.5462
-0.99167	16.458	0.072632	5.7183
-0.99167	16.792	-0.19836	5.8755
-0.99167	17.125	-0.18786	5.8343
-0.99167	17.458	-0.37757	5.6974
-0.99167	17.792	-0.02032	5.2864
-0.99167	18.125	0.052849	4.9546
-0.99167	18.458	-0.098751	4.9703
-0.99167	18.792	-0.17627	4.823
-0.99167	19.125	-0.10597	4.5636
-0.99167	19.458	-0.13171	4.2968
-0.99167	19.792	-0.05538	4.0516
-0.99167	20.125	0.029267	3.8444
-0.99167	20.458	-0.095619	3.9045
-0.99167	20.792	-0.23107	3.8113
-0.99167	21.125	-0.036559	3.5659
-0.99167	21.458	0.12117	3.4752
-0.99167	21.792	0.17642	3.4625
-0.99167	22.125	0.29166	3.6026
-0.99167	22.458	0.30456	3.8392
-0.99167	22.792	0.32538	3.9361
-0.99167	23.125	0.10665	4.027
-0.99167	23.458	-0.35163	4.2171
-0.99167	23.792	-0.72275	4.4415
-0.99167	24.125	-1.1131	4.7402
-0.99167	24.458	-1.1747	5.0163
-0.99167	24.792	-1.1843	5.2766
-0.99167	25.125	-1.3941	5.41
-0.99167	25.458	-1.5716	5.323
-0.99167	25.792	-1.5221	5.0611
-0.99167	26.125	-1.355	4.8256
-0.99167	26.458	-0.89329	4.712
-0.99167	26.792	-0.38222	4.5876
-0.99167	27.125	-0.090077	4.1332
-0.99167	27.458	0.21148	3.6018
-0.99167	27.792	-0.023688	3.1448
-0.99167	28.125	-0.49977	2.7301
-0.99167	28.458	-0.83608	1.9215
-0.99167	28.792	-0.8695	1.1521
-0.99167	29.125	-0.92491	-0.079543
-0.99167	29.458	-0.34423	-0.51801
-0.65833	9.7917	-0.56016	6.0584
-0.65833	10.125	-0.64137	4.9818
-0.65833	10.458	-0.52005	3.4944
-0.65833	10.792	-0.60174	2.9988
-0.65833	11.125	-0.16951	3.2709
-0.65833	11.458	0.23661	3.4332
-0.65833	11.792	0.12869	3.592
-0.65833	12.125	0.23859	4.295
-0.65833	12.458	-0.11321	5.3257
-0.65833	12.792	-0.16679	5.8732
-0.65833	13.125	-0.25669	6.0377
-0.65833	13.458	-0.65577	6.0209
-0.65833	13.792	-0.74745	6.0199
-0.65833	14.125	-0.63295	6.0083
-0.65833	14.458	-0.316	5.8303
-0.65833	14.792	-0.015842	5.7023
-0.65833	15.125	0.36127	5.6949
-0.65833	15.458	0.50425	5.8253
-0.65833	15.792	0.27562	6.0986
-0.65833	16.125	0.10837	6.3001
-0.65833	16.458	0.029242	6.4462
-0.65833	16.792	-0.12719	6.4966
-0.65833	17.125	-0.019547	6.2661
-0.65833	17.458	0.029158	5.8625
-0.65833	17.792	0.20195	5.4885
-0.65833	18.125	0.25493	5.2344
-0.65833	18.458	0.14953	5.2288
-0.65833	18.792	0.016259	5.2041
-0.65833	19.125	-0.02075	4.9941
-0.65833	19.458	-0.19094	4.7942
-0.65833	19.792	-0.16133	4.589
-0.65833	20.125	-0.062947	4.4675
-0.65833	20.458	-0.090042	4.423
-0.65833	20.792	-0.21271	4.2822
-0.65833	21.125	-0.020369	4.0841
-0.65833	21.458	0.26946	3.9181
-0.65833	21.792	0.30751	3.686
-0.65833	22.125	0.45295	3.7486
-0.65833	22.458	0.53301	3.8268
-0.65833	22.792	0.45743	3.9047
-0.65833	23.125	0.13481	4.0468
-0.65833	23.458	-0.29433	4.3819
-0.65833	23.792	-0.60041	4.5331
-0.65833	24.125	-0.89556	4.7239
-0.65833	24.458	-0.94888	4.8427
-0.65833	24.792	-0.94721	5.0264
-0.65833	25.125	-1.1677	5.1754
-0.65833	25.458	-1.2897	5.1784
-0.65833	25.792	-1.1171	4.9433
-0.65833	26.125	-0.84219	4.7367
-0.65833	26.458	-0.34873	4.6595
-0.65833	26.792	0.12445	4.5335
-0.65833	27.125	0.50076	4.2437
-0.65833	27.458	0.87864	3.9576
-0.65833	27.792	0.73042	3.4742
-0.65833	28.125	0.20425	3.078
-0.65833	28.458	-0.26186	2.4337
-0.65833	28.792	-0.52858	1.6535
-0.65833	29.125	-0.76476	0.33274
-0.65833	29.458	0.011263	-0.43378
-0.325	9.7917	0.62786	5.5341
-0.325	10.125	0.21353	4.9316
-0.325	10.458	0.24557	4.3773
-0.325	10.792	0.046191	4.2979
-0.325	11.125	-0.087149	4.5954
-0.325	11.458	0.12553	4.6811
