x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	4.3995	5.8679
-0.99167	10.125	4.2362	5.1812
-0.99167	10.458	2.4043	3.707
-0.99167	10.792	0.57555	2.8953
-0.99167	11.125	-0.73994	4.5516
-0.99167	11.458	-1.022	5.0838
-0.99167	11.792	-0.73815	4.6351
-0.99167	12.125	-0.38748	4.2484
-0.99167	12.458	0.25081	4.0666
-0.99167	12.792	0.82509	4.0667
-0.99167	13.125	1.2917	4.1823
-0.99167	13.458	1.2593	3.9521
-0.99167	13.792	1.0705	3.8407
-0.99167	14.125	0.97165	3.6148
-0.99167	14.458	0.66549	3.3724
-0.99167	14.792	0.069795	3.3879
-0.99167	15.125	-0.53005	3.7437
-0.99167	15.458	-0.99478	4.0603
-0.99167	15.792	-1.3753	4.1576
-0.99167	16.125	-1.6464	4.2389
-0.99167	16.458	-1.6771	4.5306
-0.99167	16.792	-1.6962	4.7312
-0.99167	17.125	-1.5369	5.005
-0.99167	17.458	-1.2437	5.5028
-0.99167	17.792	-0.78042	5.6617
-0.99167	18.125	-0.66303	5.8129
-0.99167	18.458	-0.55357	5.6619
-0.99167	18.792	-0.4633	6.0544
-0.99167	19.125	-0.44293	6.0872
-0.99167	19.458	-0.38428	6.0483
-0.99167	19.792	-0.29589	6.2001
-0.99167	20.125	-0.1333	6.2263
-0.99167	20.458	-0.11822	6.2207
-0.99167	20.792	-0.25961	6.2752
-0.99167	21.125	-0.13187	6.3304
-0.99167	21.458	0.2865	6.2174
-0.99167	21.792	0.63336	5.6742
-0.99167	22.125	0.93726	5.4054
-0.99167	22.458	1.2011	5.1386
-0.99167	22.792	1.0653	4.5305
-0.99167	23.125	0.7076	4.3399
-0.99167	23.458	0.2959	4.2527
-0.99167	23.792	-0.20581	4.0684
-0.99167	24.125	-0.86365	4.1604
-0.99167	24.458	-1.4067	4.4552
-0.99167	24.792	-1.8864	4.9075
-0.99167	25.125	-2.1481	5.1292
-0.99167	25.458	-2.3976	5.1844
-0.99167	25.792	-2.424	5.2013
-0.99167	26.125	-2.3389	5.2118
-0.99167	26.458	-2.0384	4.9637
-0.99167	26.792	-1.5659	4.6749
-0.99167	27.125	-1.1527	4.1254
-0.99167	27.458	-1.1393	3.503
-0.99167	27.792	-1.5484	3.051
-0.99167	28.125	-1.7218	2.2337
-0.99167	28.458	-1.8066	1.7627
-0.99167	28.792	-1.8857	0.96055
-0.99167	29.125	-1.6314	0.10201
-0.99167	29.458	-1.0113	-0.39411
-0.65833	9.7917	2.5084	6.2296
-0.65833	10.125	3.1675	6.1803
-0.65833	10.458	1.7049	4.8492
-0.65833	10.792	0.16451	4.5489
-0.65833	11.125	-0.69819	5.6206
-0.65833	11.458	-0.72059	5.7399
-0.65833	11.792	-0.3754	5.6889
-0.65833	12.125	-0.1083	5.3857
-0.65833	12.458	0.31022	5.3179
-0.65833	12.792	0.72289	5.1087
-0.65833	13.125	1.1693	5.1424
-0.65833	13.458	1.035	4.9681
-0.65833	13.792	0.8899	5.0124
-0.65833	14.125	0.82896	5.0587
-0.65833	14.458	0.49979	4.91
-0.65833	14.792	-0.063081	4.8095
-0.65833	15.125	-0.57512	4.9947
-0.65833	15.458	-1.0209	5.1934
-0.65833	15.792	-1.5118	5.2006
-0.65833	16.125	-1.7666	5.1981
-0.65833	16.458	-1.7112	5.1343
-0.65833	16.792	-1.6729	5.1183
-0.65833	17.125	-1.5643	5.2922
-0.65833	17.458	-1.3803	5.7093
-0.65833	17.792	-0.91201	6.0098
-0.65833	18.125	-0.79787	6.3465
-0.65833	18.458	-0.75671	6.3303
-0.65833	18.792	-0.68529	6.6619
-0.65833	19.125	-0.56925	6.7415
-0.65833	19.458	-0.50921	6.6276
-0.65833	19.792	-0.37827	6.691
-0.65833	20.125	-0.18296	6.9043
-0.65833	20.458	-0.16809	7.058
-0.65833	20.792	-0.22704	7.0175
-0.65833	21.125	-0.02198	6.8589
-0.65833	21.458	0.50595	6.7076
-0.65833	21.792	0.82948	6.2869
-0.65833	22.125	1.0243	5.9986
-0.65833	22.458	1.3018	5.7541
-0.65833	22.792	1.3674	5.2794
-0.65833	23.125	0.98767	5.0148
-0.65833	23.458	0.45589	4.7121
-0.65833	23.792	-0.12873	4.3469
-0.65833	24.125	-0.8379	4.2264
-0.65833	24.458	-1.5063	4.4839
-0.65833	24.792	-1.9257	4.8869
-0.65833	25.125	-2.1801	5.134
-0.65833	25.458	-2.3463	5.3292
-0.65833	25.792	-2.1866	5.4201
-0.65833	26.125	-2.007	5.3193
-0.65833	26.458	-1.7194	4.9964
-0.65833	26.792	-1.358	4.6689
-0.65833	27.125	-0.98656	4.2777
-0.65833	27.458	-0.97401	3.673
-0.65833	27.792	-1.3168	3.1858
-0.65833	28.125	-1.3163	2.6514
-0.65833	28.458	-1.3394	2.3409
-0.65833	28.792	-1.2846	1.4392
-0.65833	29.125	-1.1881	0.31774
