x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	0.014427	4.2915
-0.99167	10.125	-0.53997	3.6241
-0.99167	10.458	-1.3581	2.5519
-0.99167	10.792	-1.4047	2.6208
-0.99167	11.125	-0.95245	4.0786
-0.99167	11.458	-0.50459	4.3338
-0.99167	11.792	-0.39167	4.0639
-0.99167	12.125	-0.24623	4.1029
-0.99167	12.458	0.2547	4.5947
-0.99167	12.792	0.56679	4.4297
-0.99167	13.125	0.68325	4.4089
-0.99167	13.458	0.50681	4.6884
-0.99167	13.792	0.49176	4.9184
-0.99167	14.125	0.52878	5.297
-0.99167	14.458	0.421	5.5949
-0.99167	14.792	0.29064	5.8018
-0.99167	15.125	-0.05224	6.011
-0.99167	15.458	-0.22393	5.9955
-0.99167	15.792	-0.81018	5.7807
-0.99167	16.125	-1.2137	5.7799
-0.99167	16.458	-1.4503	5.8849
-0.99167	16.792	-1.3806	5.7177
-0.99167	17.125	-1.3632	5.3997
-0.99167	17.458	-1.2227	5.3023
-0.99167	17.792	-0.838	5.0857
-0.99167	18.125	-0.65922	4.8151
-0.99167	18.458	-0.54815	4.603
-0.99167	18.792	-0.39259	4.4269
-0.99167	19.125	-0.14312	4.1689
-0.99167	19.458	0.13119	4.1391
-0.99167	19.792	0.41104	4.0849
-0.99167	20.125	0.69514	4.0428
-0.99167	20.458	0.76295	4.0025
-0.99167	20.792	1.0125	4.108
-0.99167	21.125	1.1046	3.9299
-0.99167	21.458	0.87365	3.9493
-0.99167	21.792	0.71896	4.1123
-0.99167	22.125	0.58738	4.2371
-0.99167	22.458	0.49964	4.4128
-0.99167	22.792	0.39269	4.351
-0.99167	23.125	-0.07599	4.2253
-0.99167	23.458	-0.52635	4.2065
-0.99167	23.792	-0.89865	4.2605
-0.99167	24.125	-1.1717	4.2839
-0.99167	24.458	-1.4547	4.5746
-0.99167	24.792	-1.6329	4.9378
-0.99167	25.125	-1.9074	5.2641
-0.99167	25.458	-2.2793	5.5469
-0.99167	25.792	-2.2993	5.7759
-0.99167	26.125	-2.2986	5.9427
-0.99167	26.458	-2.2922	5.8472
-0.99167	26.792	-2.0473	5.7389
-0.99167	27.125	-1.5524	5.2988
-0.99167	27.458	-1.0693	4.9758
-0.99167	27.792	-0.93662	4.9727
-0.99167	28.125	-0.84074	4.8043
-0.99167	28.458	-0.79507	4.5135
-0.99167	28.792	-0.64181	3.4353
-0.99167	29.125	-0.55125	1.6067
-0.99167	29.458	0.0024328	-0.23235
-0.65833	9.7917	-0.60868	5.6634
-0.65833	10.125	-0.7933	5.3037
-0.65833	10.458	-1.0741	4.4874
-0.65833	10.792	-1.0046	4.7006
-0.65833	11.125	-0.73287	5.7845
-0.65833	11.458	-0.45671	5.88
-0.65833	11.792	-0.46484	5.431
-0.65833	12.125	-0.26387	5.5581
-0.65833	12.458	-0.0047773	5.6858
-0.65833	12.792	0.3918	5.5286
-0.65833	13.125	0.57002	5.5353
-0.65833	13.458	0.43286	5.5626
-0.65833	13.792	0.38316	5.7288
-0.65833	14.125	0.42758	6.1279
-0.65833	14.458	0.26913	6.5822
-0.65833	14.792	0.066471	7.0128
-0.65833	15.125	-0.13259	7.1492
-0.65833	15.458	-0.19118	7.0748
-0.65833	15.792	-0.76651	6.9104
-0.65833	16.125	-1.2059	6.9049
-0.65833	16.458	-1.3101	6.9569
-0.65833	16.792	-1.1678	6.7738
-0.65833	17.125	-1.1731	6.4063
-0.65833	17.458	-0.95819	6.0928
-0.65833	17.792	-0.60965	5.7244
-0.65833	18.125	-0.44352	5.3338
-0.65833	18.458	-0.3879	5.0762
-0.65833	18.792	-0.24126	4.8512
-0.65833	19.125	0.018639	4.5484
-0.65833	19.458	0.25306	4.6438
-0.65833	19.792	0.44144	4.6337
-0.65833	20.125	0.75489	4.5105
-0.65833	20.458	0.79809	4.4702
-0.65833	20.792	0.85863	4.5673
-0.65833	21.125	0.93834	4.5252
-0.65833	21.458	0.68681	4.6533
