x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	0.25565	3.7604
-0.99167	10.125	-0.28037	2.8873
-0.99167	10.458	-1.2445	3.5357
-0.99167	10.792	-2.0732	4.685
-0.99167	11.125	-2.2111	5.3157
-0.99167	11.458	-1.9983	5.4585
-0.99167	11.792	-1.3719	4.9368
-0.99167	12.125	-0.9896	4.1658
-0.99167	12.458	-0.71948	3.9314
-0.99167	12.792	-0.13807	3.9001
-0.99167	13.125	-0.086928	4.0463
-0.99167	13.458	-0.046887	3.9165
-0.99167	13.792	0.16476	4.0992
-0.99167	14.125	0.25795	4.4293
-0.99167	14.458	0.023516	4.7236
-0.99167	14.792	-0.094775	4.7846
-0.99167	15.125	-0.24627	5.1863
-0.99167	15.458	-0.48218	5.6826
-0.99167	15.792	-0.86073	6.118
-0.99167	16.125	-1.0778	6.2628
-0.99167	16.458	-1.1488	6.3799
-0.99167	16.792	-1.1531	6.0644
-0.99167	17.125	-1.0089	5.8532
-0.99167	17.458	-0.66788	5.6328
-0.99167	17.792	-0.36746	5.7618
-0.99167	18.125	-0.11366	5.4941
-0.99167	18.458	0.15274	4.9924
-0.99167	18.792	0.28123	4.5687
-0.99167	19.125	0.55679	4.2101
-0.99167	19.458	0.70154	3.8523
-0.99167	19.792	0.6333	3.6577
-0.99167	20.125	0.64692	3.5797
-0.99167	20.458	0.64509	3.692
-0.99167	20.792	0.54137	3.6288
-0.99167	21.125	0.35753	3.3578
-0.99167	21.458	0.14947	2.9236
-0.99167	21.792	-0.15727	2.5634
-0.99167	22.125	-0.45515	2.5087
-0.99167	22.458	-0.52693	2.3256
-0.99167	22.792	-0.5242	2.4329
-0.99167	23.125	-0.71997	2.3512
-0.99167	23.458	-0.97634	2.5363
-0.99167	23.792	-1.1677	2.9707
-0.99167	24.125	-1.1795	3.5271
-0.99167	24.458	-1.2301	3.7135
-0.99167	24.792	-1.3254	4.2031
-0.99167	25.125	-1.6332	4.5823
-0.99167	25.458	-1.9572	4.947
-0.99167	25.792	-2.0067	5.0803
-0.99167	26.125	-1.9533	5.126
-0.99167	26.458	-2.1649	5.1263
-0.99167	26.792	-2.2591	4.9207
-0.99167	27.125	-2.2312	4.591
-0.99167	27.458	-2.0557	4.4232
-0.99167	27.792	-1.8997	4.3985
-0.99167	28.125	-1.9385	4.1101
-0.99167	28.458	-2.2051	3.3843
-0.99167	28.792	-2.0954	2.9639
-0.99167	29.125	-1.5446	1.4757
-0.99167	29.458	-0.32576	-0.18766
-0.65833	9.7917	0.63439	7.4101
-0.65833	10.125	-0.54822	6.6504
-0.65833	10.458	-1.2821	6.5009
-0.65833	10.792	-2.0489	6.4641
-0.65833	11.125	-2.1876	6.4838
-0.65833	11.458	-1.9359	6.7874
-0.65833	11.792	-1.5187	6.3681
-0.65833	12.125	-1.0472	5.4923
-0.65833	12.458	-0.61858	5.1928
-0.65833	12.792	-0.094411	5.0563
-0.65833	13.125	0.098545	4.8022
-0.65833	13.458	0.11369	4.5609
-0.65833	13.792	0.05483	4.8332
-0.65833	14.125	-0.080864	5.2262
-0.65833	14.458	-0.21121	5.5088
-0.65833	14.792	-0.35727	5.6723
-0.65833	15.125	-0.40935	6.0667
-0.65833	15.458	-0.57243	6.552
-0.65833	15.792	-0.87623	6.9909
-0.65833	16.125	-1.1817	7.098
-0.65833	16.458	-1.1768	7.2707
-0.65833	16.792	-1.147	7.2154
-0.65833	17.125	-1.0621	7.1398
-0.65833	17.458	-0.60744	7.0423
-0.65833	17.792	-0.21252	6.9599
-0.65833	18.125	0.015346	6.6602
-0.65833	18.458	0.28853	6.1653
-0.65833	18.792	0.45475	5.7096
-0.65833	19.125	0.68583	5.3582
-0.65833	19.458	0.77573	5.0243
-0.65833	19.792	0.83432	4.8408
-0.65833	20.125	1.0398	4.6646
-0.65833	20.458	1.0289	4.6394
-0.65833	20.792	0.77284	4.4657
-0.65833	21.125	0.48424	4.0791
-0.65833	21.458	0.21981	3.557
-0.65833	21.792	0.0027719	3.0162
-0.65833	22.125	-0.22349	2.7927
