x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	0.4302	3.082
-0.99167	10.125	0.89569	2.915
-0.99167	10.458	0.91125	2.1558
-0.99167	10.792	0.8989	2.0008
-0.99167	11.125	0.66902	2.5235
-0.99167	11.458	0.65763	3.0016
-0.99167	11.792	1.0254	2.5906
-0.99167	12.125	1.3673	2.5254
-0.99167	12.458	1.94	2.6231
-0.99167	12.792	2.3277	2.5929
-0.99167	13.125	2.3589	2.5503
-0.99167	13.458	2.0711	2.081
-0.99167	13.792	1.4246	2.4901
-0.99167	14.125	0.88021	2.9872
-0.99167	14.458	0.37981	3.0514
-0.99167	14.792	-0.16096	3.4531
-0.99167	15.125	-0.62393	3.9648
-0.99167	15.458	-0.89204	4.4736
-0.99167	15.792	-1.2174	4.9568
-0.99167	16.125	-1.311	5.1661
-0.99167	16.458	-1.2874	5.4206
-0.99167	16.792	-0.95963	5.5588
-0.99167	17.125	-0.67061	5.762
-0.99167	17.458	-0.29082	5.9751
-0.99167	17.792	0.1164	6.2364
-0.99167	18.125	0.18474	6.0775
-0.99167	18.458	-0.11292	6.1153
-0.99167	18.792	-0.27418	5.9679
-0.99167	19.125	-0.34624	5.8053
-0.99167	19.458	-0.41045	5.6752
-0.99167	19.792	-0.54891	5.4494
-0.99167	20.125	-0.45222	4.9432
-0.99167	20.458	-0.25404	4.7406
-0.99167	20.792	-0.12323	4.3844
-0.99167	21.125	0.014658	3.7461
-0.99167	21.458	-0.066715	3.0392
-0.99167	21.792	-0.12637	2.9152
-0.99167	22.125	-0.026414	3.0771
-0.99167	22.458	-0.17809	3.3264
-0.99167	22.792	-0.46531	3.3855
-0.99167	23.125	-0.74823	3.5076
-0.99167	23.458	-0.86701	3.4856
-0.99167	23.792	-0.91455	3.3248
-0.99167	24.125	-0.83373	3.0746
-0.99167	24.458	-0.49187	2.9568
-0.99167	24.792	0.081484	2.7916
-0.99167	25.125	0.67091	2.3687
-0.99167	25.458	1.1055	1.8196
-0.99167	25.792	1.1997	1.4598
-0.99167	26.125	0.96215	1.1571
-0.99167	26.458	0.46838	1.1435
-0.99167	26.792	-0.28412	0.96736
-0.99167	27.125	-1.1594	0.59284
-0.99167	27.458	-1.8163	0.32632
-0.99167	27.792	-2.2401	0.72145
-0.99167	28.125	-2.482	1.2327
-0.99167	28.458	-2.3065	1.3901
-0.99167	28.792	-1.9176	1.4062
-0.99167	29.125	-1.5008	0.88022
-0.99167	29.458	-0.98044	-0.21731
-0.65833	9.7917	0.1953	3.9047
-0.65833	10.125	0.86744	4.9414
-0.65833	10.458	0.7538	4.4043
-0.65833	10.792	0.65271	3.7999
-0.65833	11.125	0.01989	3.7968
-0.65833	11.458	0.26371	3.8408
-0.65833	11.792	0.93983	3.8609
-0.65833	12.125	1.5418	3.9914
-0.65833	12.458	1.953	4.2676
-0.65833	12.792	2.2423	4.5044
-0.65833	13.125	2.359	4.4185
-0.65833	13.458	1.707	4.3675
-0.65833	13.792	1.1144	4.7863
-0.65833	14.125	0.52958	5.0408
-0.65833	14.458	-0.12421	5.1309
-0.65833	14.792	-0.59057	5.3592
-0.65833	15.125	-0.9129	5.8143
-0.65833	15.458	-1.1644	6.0652
-0.65833	15.792	-1.45	6.3932
-0.65833	16.125	-1.5406	6.4589
-0.65833	16.458	-1.4216	6.5717
-0.65833	16.792	-1.1752	6.6953
-0.65833	17.125	-0.92093	6.6658
-0.65833	17.458	-0.53658	6.7448
