x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	2.7305	3.3931
-0.99167	10.125	3.1724	3.4299
-0.99167	10.458	2.9162	3.0506
-0.99167	10.792	2.7752	4.1887
-0.99167	11.125	1.9218	5.0711
-0.99167	11.458	1.2172	4.8171
-0.99167	11.792	1.0862	4.723
-0.99167	12.125	0.88609	4.7665
-0.99167	12.458	0.45597	4.8164
-0.99167	12.792	-0.034083	4.6505
-0.99167	13.125	-0.24005	4.5072
-0.99167	13.458	-0.80085	4.5157
-0.99167	13.792	-1.3345	4.4815
-0.99167	14.125	-1.4327	4.323
-0.99167	14.458	-1.4857	4.3222
-0.99167	14.792	-1.3523	4.2365
-0.99167	15.125	-1.229	4.0844
-0.99167	15.458	-0.90396	3.7576
-0.99167	15.792	-0.61368	3.4601
-0.99167	16.125	-0.33242	3.2629
-0.99167	16.458	0.0017886	3.0328
-0.99167	16.792	0.35841	3.0276
-0.99167	17.125	0.6512	3.0109
-0.99167	17.458	1.0277	3.0872
-0.99167	17.792	1.4332	3.3442
-0.99167	18.125	1.6762	3.6703
-0.99167	18.458	1.946	3.7804
-0.99167	18.792	2.4638	4.0088
-0.99167	19.125	2.7145	4.1224
-0.99167	19.458	2.7429	4.2948
-0.99167	19.792	2.6949	4.4617
-0.99167	20.125	2.5114	4.495
-0.99167	20.458	2.296	4.8946
-0.99167	20.792	1.7426	4.7932
-0.99167	21.125	1.019	4.9414
-0.99167	21.458	0.33934	5.0733
-0.99167	21.792	-0.29969	4.9049
-0.99167	22.125	-0.83687	4.6544
-0.99167	22.458	-1.048	4.6758
-0.99167	22.792	-1.3791	4.6866
-0.99167	23.125	-1.7003	4.5007
-0.99167	23.458	-1.8104	4.2975
-0.99167	23.792	-2.1433	4.0938
-0.99167	24.125	-2.2816	3.8259
-0.99167	24.458	-2.1979	3.444
-0.99167	24.792	-2.0935	3.1539
-0.99167	25.125	-1.9007	2.6245
-0.99167	25.458	-1.5198	2.0267
-0.99167	25.792	-1.0081	1.3052
-0.99167	26.125	-0.58719	0.75726
-0.99167	26.458	-0.37453	0.16768
-0.99167	26.792	-0.35757	-0.34743
-0.99167	27.125	-0.38515	-0.54605
-0.99167	27.458	-0.3333	-0.49333
-0.99167	27.792	-0.48575	-0.16083
-0.99167	28.125	-0.52424	0.4934
-0.99167	28.458	-0.38354	0.8804
-0.99167	28.792	-0.51645	0.93463
-0.99167	29.125	-0.51421	0.49454
-0.99167	29.458	-0.26384	-0.31402
-0.65833	9.7917	0.35402	7.0882
-0.65833	10.125	1.1457	6.4603
-0.65833	10.458	1.7483	5.6143
-0.65833	10.792	1.8642	6.1852
-0.65833	11.125	1.2882	6.4413
-0.65833	11.458	0.9311	6.2193
-0.65833	11.792	0.87056	6.052
-0.65833	12.125	0.58902	6.0728
-0.65833	12.458	0.34175	6.1951
-0.65833	12.792	0.21086	6.1729
-0.65833	13.125	0.014288	6.2298
-0.65833	13.458	-0.49621	6.0501
-0.65833	13.792	-0.94537	5.6951
-0.65833	14.125	-1.2127	5.3738
-0.65833	14.458	-1.2606	5.0743
-0.65833	14.792	-1.1744	4.8687
-0.65833	15.125	-0.96006	4.6581
-0.65833	15.458	-0.63144	4.2598
-0.65833	15.792	-0.51502	3.8537
-0.65833	16.125	-0.27354	3.5677
-0.65833	16.458	0.12408	3.2329
-0.65833	16.792	0.43622	3.1692
-0.65833	17.125	0.62938	3.1749
-0.65833	17.458	0.93457	3.2601
-0.65833	17.792	1.3718	3.5311
-0.65833	18.125	1.5976	3.898
-0.65833	18.458	1.8056	4.1496
-0.65833	18.792	2.2295	4.3852
-0.65833	19.125	2.5396	4.5597
-0.65833	19.458	2.6719	4.83
-0.65833	19.792	2.6317	5.0966
-0.65833	20.125	2.6088	5.2603
-0.65833	20.458	2.3827	5.7122
-0.65833	20.792	1.8079	5.7618
-0.65833	21.125	1.1314	5.8013
-0.65833	21.458	0.58152	5.9007
-0.65833	21.792	-0.13564	5.8756
-0.65833	22.125	-0.70207	5.6947
-0.65833	22.458	-0.85032	5.6034
-0.65833	22.792	-1.1618	5.5085
-0.65833	23.125	-1.4977	5.3237
-0.65833	23.458	-1.6823	5.2504
-0.65833	23.792	-1.9423	5.0362
-0.65833	24.125	-2.0265	4.6901
-0.65833	24.458	-1.8768	4.2291
-0.65833	24.792	-1.6356	3.7166
-0.65833	25.125	-1.4009	3.1088
-0.65833	25.458	-1.1903	2.3842
-0.65833	25.792	-0.74973	1.56
-0.65833	26.125	-0.38375	0.83186
-0.65833	26.458	-0.20293	0.11999
-0.65833	26.792	-0.17797	-0.40135
-0.65833	27.125	-0.20545	-0.6831
-0.65833	27.458	-0.2414	-0.5116
-0.65833	27.792	-0.39851	-0.20213
-0.65833	28.125	-0.41171	0.53167
-0.65833	28.458	-0.37787	0.97998
-0.65833	28.792	-0.56849	1.2111
-0.65833	29.125	-0.44961	0.66807
-0.65833	29.458	0.084574	-0.24675
-0.325	9.7917	-1.6172	8.4121
-0.325	10.125	-1.0667	7.9495
-0.325	10.458	-0.074731	6.8387
-0.325	10.792	0.49851	6.6543
-0.325	11.125	0.40709	6.4796
-0.325	11.458	0.39755	6.406
-0.325	11.792	0.42497	6.3333
-0.325	12.125	0.20273	6.4368
-0.325	12.458	0.1649	6.8806
-0.325	12.792	0.12844	7.0651
-0.325	13.125	0.17536	7.1652
-0.325	13.458	-0.33149	7.0145
-0.325	13.792	-0.65511	6.5637
-0.325	14.125	-0.80171	5.9673
-0.325	14.458	-0.84432	5.4268
-0.325	14.792	-0.85621	5.086
-0.325	15.125	-0.68955	4.8854
-0.325	15.458	-0.39662	4.5697
-0.325	15.792	-0.33056	4.1941
-0.325	16.125	-0.2205	4.0115
-0.325	16.458	-0.010377	3.6845
-0.325	16.792	0.33003	3.5324
-0.325	17.125	0.61518	3.5792
-0.325	17.458	0.9135	3.7166
-0.325	17.792	1.3019	3.8903
-0.325	18.125	1.5902	4.1446
-0.325	18.458	1.7014	4.4075
-0.325	18.792	1.9723	4.6322
-0.325	19.125	2.2268	4.9148
-0.325	19.458	2.3619	5.1813
-0.325	19.792	2.2811	5.5898
-0.325	20.125	2.431	5.8239
-0.325	20.458	2.2321	6.1874
-0.325	20.792	1.7976	6.4156
-0.325	21.125	1.1458	6.4491
-0.325	21.458	0.56329	6.65
-0.325	21.792	-0.027653	6.8164
-0.325	22.125	-0.49355	6.63
-0.325	22.458	-0.67407	6.4633
-0.325	22.792	-0.88929	6.2675
-0.325	23.125	-1.2839	6.1627
-0.325	23.458	-1.5173	6.1404
-0.325	23.792	-1.6404	5.9175
-0.325	24.125	-1.5754	5.5768
-0.325	24.458	-1.4135	5.1549
-0.325	24.792	-1.014	4.5755
-0.325	25.125	-0.85833	3.8151
-0.325	25.458	-0.73689	3.0412
-0.325	25.792	-0.43962	2.125
-0.325	26.125	-0.15026	1.3589
-0.325	26.458	-0.038886	0.6426
-0.325	26.792	-0.060108	-0.0011842
-0.325	27.125	-0.12597	-0.44296
-0.325	27.458	-0.16823	-0.42256
-0.325	27.792	-0.33206	-0.12618
-0.325	28.125	-0.34506	0.60245
-0.325	28.458	-0.36347	1.2431
-0.325	28.792	-0.30327	1.2503
-0.325	29.125	-0.23129	0.67496
-0.325	29.458	-0.030611	-0.25217
0.0083333	9.7917	-1.8322	7.1067
0.0083333	10.125	-1.1738	6.8363
0.0083333	10.458	-0.32359	6.961
0.0083333	10.792	0.022044	6.6462
0.0083333	11.125	-0.041461	6.4299
0.0083333	11.458	-0.057227	6.524
0.0083333	11.792	0.091271	6.686
0.0083333	12.125	0.055471	6.9184
0.0083333	12.458	0.058129	7.2451
0.0083333	12.792	0.10831	7.607
0.0083333	13.125	0.21402	7.6207
0.0083333	13.458	-0.080203	7.3053
0.0083333	13.792	-0.22829	6.8889
0.0083333	14.125	-0.2966	6.3222
0.0083333	14.458	-0.38293	5.6412
0.0083333	14.792	-0.4289	5.2044
0.0083333	15.125	-0.31742	4.9679
0.0083333	15.458	-0.098968	4.7653
0.0083333	15.792	-0.10498	4.5209
0.0083333	16.125	-0.072781	4.381
0.0083333	16.458	-0.031696	4.105
0.0083333	16.792	0.20061	4.0593
0.0083333	17.125	0.47733	4.1557
0.0083333	17.458	0.83939	4.3549
0.0083333	17.792	1.2134	4.4405
0.0083333	18.125	1.4796	4.4843
0.0083333	18.458	1.5738	4.6958
0.0083333	18.792	1.6626	4.9267
0.0083333	19.125	1.7534	5.2238
0.0083333	19.458	1.8253	5.5775
0.0083333	19.792	1.8392	6.0312
0.0083333	20.125	2.0273	6.3073
0.0083333	20.458	1.8422	6.6987
0.0083333	20.792	1.3957	6.9033
0.0083333	21.125	0.86204	7.029
0.0083333	21.458	0.34179	7.1885
0.0083333	21.792	-0.12379	7.3786
0.0083333	22.125	-0.47495	7.3471
0.0083333	22.458	-0.67662	7.1907
0.0083333	22.792	-0.87925	6.9267
0.0083333	23.125	-1.262	6.9089
0.0083333	23.458	-1.3867	6.7859
0.0083333	23.792	-1.3406	6.4217
0.0083333	24.125	-1.0771	6.0063
0.0083333	24.458	-0.86732	5.5741
0.0083333	24.792	-0.33633	5.0972
0.0083333	25.125	-0.10291	4.3493
0.0083333	25.458	-0.09438	3.7011
0.0083333	25.792	0.082106	2.7843
0.0083333	26.125	0.2157	1.9832
0.0083333	26.458	0.13052	1.3017
0.0083333	26.792	0.01713	0.73106
0.0083333	27.125	-0.13761	0.14864
0.0083333	27.458	-0.13993	-0.13774
0.0083333	27.792	-0.19717	-0.0013331
0.0083333	28.125	-0.27913	0.77394
0.0083333	28.458	-0.24153	1.5129
0.0083333	28.792	-0.13039	1.4613
0.0083333	29.125	-0.11965	0.68305
0.0083333	29.458	-0.32988	-0.27109
0.34167	9.7917	-0.99085	5.1174
0.34167	10.125	-0.56943	5.8718
0.34167	10.458	0.16474	6.8456
0.34167	10.792	0.36676	6.8549
0.34167	11.125	0.062193	6.6924
0.34167	11.458	-0.06496	6.9312
0.34167	11.792	-0.10748	7.0547
0.34167	12.125	-0.10954	7.4349
0.34167	12.458	0.014062	7.6566
0.34167	12.792	0.14525	7.9002
0.34167	13.125	0.30104	7.7261
0.34167	13.458	0.13331	7.3757
0.34167	13.792	0.10048	7.0236
0.34167	14.125	0.066681	6.4974
0.34167	14.458	0.0095864	5.8278
0.34167	14.792	-0.0047279	5.3582
0.34167	15.125	0.079412	5.0411
0.34167	15.458	0.14941	4.7878
0.34167	15.792	0.090991	4.5737
0.34167	16.125	0.021647	4.5323
0.34167	16.458	-0.010341	4.5053
0.34167	16.792	0.069875	4.5729
0.34167	17.125	0.25832	4.6512
0.34167	17.458	0.65467	4.7685
0.34167	17.792	0.99266	4.8692
0.34167	18.125	1.1384	4.9958
0.34167	18.458	1.1435	5.299
