x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	0.15492	3.8282
-0.99167	10.125	-0.62324	4.7614
-0.99167	10.458	-0.93611	5.2636
-0.99167	10.792	-1.0161	5.1639
-0.99167	11.125	-1.0899	4.9031
-0.99167	11.458	-0.97913	4.899
-0.99167	11.792	-0.8525	4.1059
-0.99167	12.125	-0.73983	3.2536
-0.99167	12.458	-0.46268	2.7983
-0.99167	12.792	-0.059076	3.0154
-0.99167	13.125	0.44021	3.3181
-0.99167	13.458	0.64602	3.0599
-0.99167	13.792	0.78946	3.5341
-0.99167	14.125	0.71651	3.934
-0.99167	14.458	0.41584	4.3016
-0.99167	14.792	0.15302	4.6048
-0.99167	15.125	-0.061976	4.7303
-0.99167	15.458	-0.45331	4.7541
-0.99167	15.792	-0.85417	4.8342
-0.99167	16.125	-1.1904	4.8087
-0.99167	16.458	-1.2068	4.4776
-0.99167	16.792	-1.2857	4.3596
-0.99167	17.125	-1.2291	4.3079
-0.99167	17.458	-1.1307	4.0358
-0.99167	17.792	-0.70688	3.7505
-0.99167	18.125	-0.48388	3.6489
-0.99167	18.458	-0.52848	3.5907
-0.99167	18.792	-0.41764	3.6433
-0.99167	19.125	-0.21828	3.562
-0.99167	19.458	-0.046031	3.3164
-0.99167	19.792	0.28066	2.9692
-0.99167	20.125	0.7555	2.6286
-0.99167	20.458	1.1413	2.3176
-0.99167	20.792	1.3433	2.1473
-0.99167	21.125	1.5856	1.9407
-0.99167	21.458	1.6772	1.8924
-0.99167	21.792	1.7542	1.6246
-0.99167	22.125	1.551	1.3821
-0.99167	22.458	1.4136	1.2821
-0.99167	22.792	1.2669	1.1651
-0.99167	23.125	1.2205	0.92219
-0.99167	23.458	1.1434	0.8828
-0.99167	23.792	1.0851	0.96134
-0.99167	24.125	0.85494	0.75123
-0.99167	24.458	0.51541	0.89692
-0.99167	24.792	0.12805	0.91788
-0.99167	25.125	-0.22511	1.0284
-0.99167	25.458	-0.89779	1.2594
-0.99167	25.792	-1.4667	1.7145
-0.99167	26.125	-1.9017	2.0659
-0.99167	26.458	-2.2742	2.4892
-0.99167	26.792	-2.389	2.6852
-0.99167	27.125	-2.3685	2.8889
-0.99167	27.458	-2.2591	2.7846
-0.99167	27.792	-2.4168	2.3962
-0.99167	28.125	-2.5202	2.1464
-0.99167	28.458	-2.6228	1.671
-0.99167	28.792	-2.7808	1.5321
-0.99167	29.125	-2.5558	0.96396
-0.99167	29.458	-1.6914	-0.1009
-0.65833	9.7917	-0.20315	4.7582
-0.65833	10.125	-0.73725	6.0702
-0.65833	10.458	-1.0091	6.4627
-0.65833	10.792	-0.92736	6.7239
-0.65833	11.125	-1.0605	6.5839
-0.65833	11.458	-0.92576	6.5373
-0.65833	11.792	-0.70694	5.9343
-0.65833	12.125	-0.6703	4.8032
-0.65833	12.458	-0.37777	3.8186
-0.65833	12.792	-0.040818	3.6268
-0.65833	13.125	0.41984	3.9188
-0.65833	13.458	0.59467	3.8945
-0.65833	13.792	0.64148	4.5388
-0.65833	14.125	0.54344	5.1138
-0.65833	14.458	0.31373	5.5138
-0.65833	14.792	0.16205	5.583
-0.65833	15.125	-0.051186	5.7341
-0.65833	15.458	-0.38291	5.7659
-0.65833	15.792	-0.77277	5.9098
-0.65833	16.125	-0.96457	5.8742
-0.65833	16.458	-1.0791	5.4804
-0.65833	16.792	-1.109	5.3307
-0.65833	17.125	-1.0166	5.1451
-0.65833	17.458	-0.91084	4.9828
-0.65833	17.792	-0.57622	4.7178
-0.65833	18.125	-0.52463	4.4865
-0.65833	18.458	-0.43496	4.1924
-0.65833	18.792	-0.32997	4.1903
-0.65833	19.125	-0.20357	4.1325
-0.65833	19.458	-0.024374	3.94
-0.65833	19.792	0.37762	3.5182
-0.65833	20.125	0.66851	3.2259
-0.65833	20.458	0.79019	3.0403
-0.65833	20.792	0.94159	3.1428
-0.65833	21.125	1.2066	3.1711
-0.65833	21.458	1.3106	3.3154
-0.65833	21.792	1.3397	3.2161
-0.65833	22.125	1.2457	3.0557
-0.65833	22.458	1.2291	2.9899
-0.65833	22.792	1.1573	3.0083
-0.65833	23.125	1.0385	2.7441
-0.65833	23.458	0.86186	2.5183
-0.65833	23.792	0.85559	2.4393
-0.65833	24.125	0.57171	2.1369
-0.65833	24.458	0.28157	2.0977
-0.65833	24.792	0.12516	1.8825
-0.65833	25.125	-0.31241	1.8266
-0.65833	25.458	-0.90868	1.9596
-0.65833	25.792	-1.4593	2.2262
-0.65833	26.125	-1.8744	2.4807
