x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-3.1882	2.3741
-0.99167	10.125	-2.3616	2.3352
-0.99167	10.458	-1.2465	2.6206
-0.99167	10.792	-1.1061	3.0836
-0.99167	11.125	-1.0485	3.2425
-0.99167	11.458	-0.3561	3.0504
-0.99167	11.792	0.40294	2.7926
-0.99167	12.125	0.95473	2.6456
-0.99167	12.458	1.1965	2.1308
-0.99167	12.792	1.4106	1.8776
-0.99167	13.125	1.3904	1.9846
-0.99167	13.458	1.2115	2.08
-0.99167	13.792	1.0345	2.5437
-0.99167	14.125	0.71729	2.9351
-0.99167	14.458	0.54432	3.3141
-0.99167	14.792	0.47762	3.7301
-0.99167	15.125	0.43958	4.4292
-0.99167	15.458	0.44348	5.0096
-0.99167	15.792	0.21543	5.2944
-0.99167	16.125	0.19151	5.5013
-0.99167	16.458	0.12525	5.7414
-0.99167	16.792	0.10958	5.9579
-0.99167	17.125	-0.031869	6.05
-0.99167	17.458	-0.17375	5.8779
-0.99167	17.792	-0.21448	5.5564
-0.99167	18.125	-0.45613	5.1723
-0.99167	18.458	-0.62243	4.5937
-0.99167	18.792	-0.54619	4.1714
-0.99167	19.125	-0.46137	3.7325
-0.99167	19.458	-0.32354	3.3095
-0.99167	19.792	-0.16732	3.2197
-0.99167	20.125	0.22651	3.017
-0.99167	20.458	0.38976	3.0449
-0.99167	20.792	0.39235	2.9181
-0.99167	21.125	0.41552	2.8134
-0.99167	21.458	0.31659	2.7717
-0.99167	21.792	0.27909	2.8487
-0.99167	22.125	0.18385	2.6845
-0.99167	22.458	0.085593	2.6616
-0.99167	22.792	-0.26506	2.713
-0.99167	23.125	-0.41878	2.5549
-0.99167	23.458	-0.51729	2.7776
-0.99167	23.792	-0.92067	3.0906
-0.99167	24.125	-1.1631	3.3397
-0.99167	24.458	-1.3419	3.5287
-0.99167	24.792	-1.3293	3.892
-0.99167	25.125	-1.4858	4.3349
-0.99167	25.458	-1.9641	4.6954
-0.99167	25.792	-2.0177	4.9667
-0.99167	26.125	-1.9456	5.2531
-0.99167	26.458	-1.9047	5.4248
-0.99167	26.792	-1.6124	5.5525
-0.99167	27.125	-1.2721	5.5765
-0.99167	27.458	-1.1597	5.4483
-0.99167	27.792	-1.3559	5.4221
-0.99167	28.125	-1.6296	4.8125
-0.99167	28.458	-1.7787	3.8545
-0.99167	28.792	-1.6125	2.8975
-0.99167	29.125	-1.2149	1.4367
-0.99167	29.458	-0.34751	-0.19785
-0.65833	9.7917	-2.7922	4.3091
-0.65833	10.125	-2.1274	4.1722
-0.65833	10.458	-0.8039	4.0555
-0.65833	10.792	-0.26471	4.6317
-0.65833	11.125	-0.21264	4.285
-0.65833	11.458	0.36712	4.0408
-0.65833	11.792	0.82275	3.3891
-0.65833	12.125	1.1234	2.9839
-0.65833	12.458	1.332	2.5373
-0.65833	12.792	1.5582	2.6855
-0.65833	13.125	1.4838	3.0874
-0.65833	13.458	1.1338	3.4555
-0.65833	13.792	0.79591	4.0805
-0.65833	14.125	0.29146	4.6358
-0.65833	14.458	-0.0042821	5.1854
-0.65833	14.792	-0.089904	5.5429
-0.65833	15.125	-0.12709	6.2244
-0.65833	15.458	0.022583	6.6172
-0.65833	15.792	-0.10653	6.8249
-0.65833	16.125	-0.14323	7.1177
-0.65833	16.458	-0.15685	7.181
-0.65833	16.792	-0.1066	7.2523
-0.65833	17.125	-0.1304	7.174
-0.65833	17.458	0.064811	6.9407
-0.65833	17.792	0.13931	6.3716
-0.65833	18.125	-0.090017	5.9207
-0.65833	18.458	-0.21313	5.2537
-0.65833	18.792	-0.21421	4.7553
-0.65833	19.125	-0.17381	4.2498
-0.65833	19.458	0.053497	3.8897
-0.65833	19.792	0.24955	3.5987
-0.65833	20.125	0.50115	3.3238
-0.65833	20.458	0.5649	3.3685
-0.65833	20.792	0.54496	3.5081
-0.65833	21.125	0.58028	3.5407
-0.65833	21.458	0.39752	3.5473
-0.65833	21.792	0.20139	3.4565
-0.65833	22.125	0.061782	3.2959
-0.65833	22.458	-0.0021012	3.352
-0.65833	22.792	-0.40533	3.3127
-0.65833	23.125	-0.631	2.9876
-0.65833	23.458	-0.76596	3.151
-0.65833	23.792	-0.99063	3.4814
-0.65833	24.125	-1.2124	3.7086
-0.65833	24.458	-1.3866	3.9303
-0.65833	24.792	-1.3011	4.2058
-0.65833	25.125	-1.4958	4.6941
-0.65833	25.458	-1.874	4.8989
-0.65833	25.792	-1.8007	5.05
-0.65833	26.125	-1.6297	5.1593
-0.65833	26.458	-1.4721	5.3657
-0.65833	26.792	-1.2155	5.5963
-0.65833	27.125	-0.92622	5.6653
-0.65833	27.458	-0.88122	5.4008
-0.65833	27.792	-0.95741	4.9611
-0.65833	28.125	-1.1767	4.2402
-0.65833	28.458	-1.2672	3.0982
-0.65833	28.792	-1.1326	2.2494
-0.65833	29.125	-0.77896	1.1104
-0.65833	29.458	-0.18769	-0.24034
-0.325	9.7917	-2.0911	5.9571
-0.325	10.125	-1.5389	5.5316
-0.325	10.458	-0.067219	5.0669
-0.325	10.792	0.57489	5.3129
-0.325	11.125	0.50768	4.6467
-0.325	11.458	0.6517	4.5197
-0.325	11.792	0.9119	3.752
-0.325	12.125	1.0781	3.4615
-0.325	12.458	1.2189	3.4325
-0.325	12.792	1.3103	3.801
-0.325	13.125	1.3141	4.4846
-0.325	13.458	0.90076	5.0356
-0.325	13.792	0.44868	5.6738
-0.325	14.125	-0.013578	6.2529
-0.325	14.458	-0.366	6.8988
-0.325	14.792	-0.51916	7.2863
-0.325	15.125	-0.51537	7.8467
-0.325	15.458	-0.29588	7.9513
-0.325	15.792	-0.42386	7.9829
-0.325	16.125	-0.42252	8.2055
-0.325	16.458	-0.26404	8.288
-0.325	16.792	-0.11689	8.2763
-0.325	17.125	0.0048066	8.0534
-0.325	17.458	0.3549	7.6043
-0.325	17.792	0.5337	6.8665
-0.325	18.125	0.32004	6.3038
-0.325	18.458	0.22236	5.7385
-0.325	18.792	0.11881	5.3054
-0.325	19.125	0.014978	4.8301
-0.325	19.458	0.26179	4.3086
-0.325	19.792	0.47578	3.9649
-0.325	20.125	0.69694	3.6933
-0.325	20.458	0.82786	3.902
-0.325	20.792	0.78468	4.3283
-0.325	21.125	0.75667	4.3902
-0.325	21.458	0.5443	4.4322
-0.325	21.792	0.33319	4.2458
-0.325	22.125	0.12217	4.1164
-0.325	22.458	-0.019247	4.1155
-0.325	22.792	-0.44769	4.0158
-0.325	23.125	-0.83619	3.7695
-0.325	23.458	-1.0522	3.8513
-0.325	23.792	-1.3103	4.0927
-0.325	24.125	-1.5304	4.2109
-0.325	24.458	-1.4862	4.4681
-0.325	24.792	-1.347	4.679
-0.325	25.125	-1.4699	4.9363
-0.325	25.458	-1.6656	4.9657
-0.325	25.792	-1.5858	5.0573
-0.325	26.125	-1.3093	5.0726
-0.325	26.458	-1.0738	5.2386
-0.325	26.792	-0.81856	5.5208
-0.325	27.125	-0.56022	5.4687
-0.325	27.458	-0.48802	5.0459
-0.325	27.792	-0.4252	4.6537
-0.325	28.125	-0.53534	3.955
-0.325	28.458	-0.73812	2.8842
-0.325	28.792	-0.81413	1.9298
-0.325	29.125	-0.62128	0.86579
-0.325	29.458	-0.33971	-0.32117
0.0083333	9.7917	-1.5085	6.9889
0.0083333	10.125	-0.8473	6.5714
0.0083333	10.458	0.4234	6.0925
0.0083333	10.792	0.60423	5.7327
0.0083333	11.125	0.469	5.1558
0.0083333	11.458	0.7647	4.9701
0.0083333	11.792	0.92196	4.7023
0.0083333	12.125	0.9497	4.6324
0.0083333	12.458	0.86965	4.6851
0.0083333	12.792	0.85543	5.0568
0.0083333	13.125	0.83776	5.6722
0.0083333	13.458	0.46186	6.211
