x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	0.93251	0.88253
-0.99167	10.125	1.3684	3.3091
-0.99167	10.458	1.3764	4.1193
-0.99167	10.792	0.72625	4.3801
-0.99167	11.125	0.27849	4.3901
-0.99167	11.458	0.26492	5.0524
-0.99167	11.792	0.11386	4.9977
-0.99167	12.125	-0.081536	4.6596
-0.99167	12.458	-0.54524	4.6613
-0.99167	12.792	-1.1281	4.9919
-0.99167	13.125	-1.0832	5.2609
-0.99167	13.458	-1.0828	5.0027
-0.99167	13.792	-0.83704	4.7091
-0.99167	14.125	-0.3024	4.3131
-0.99167	14.458	0.13921	4.0343
-0.99167	14.792	0.51076	4.0305
-0.99167	15.125	0.98768	4.1975
-0.99167	15.458	1.1449	4.4324
-0.99167	15.792	0.87124	4.7868
-0.99167	16.125	0.51109	5.2444
-0.99167	16.458	0.2755	5.4402
-0.99167	16.792	0.02896	5.5379
-0.99167	17.125	-0.31771	5.5302
-0.99167	17.458	-0.43876	5.487
-0.99167	17.792	-0.54515	5.1461
-0.99167	18.125	-0.81503	4.8785
-0.99167	18.458	-0.95467	4.5
-0.99167	18.792	-0.78205	4.2048
-0.99167	19.125	-0.53656	3.925
-0.99167	19.458	-0.268	3.5517
-0.99167	19.792	-0.06924	3.2867
-0.99167	20.125	0.22157	2.9922
-0.99167	20.458	0.56702	2.887
-0.99167	20.792	0.76277	2.7637
-0.99167	21.125	0.99638	2.7943
-0.99167	21.458	1.0947	2.8315
-0.99167	21.792	1.0321	3.1006
-0.99167	22.125	1.1205	3.3625
-0.99167	22.458	1.3181	3.5944
-0.99167	22.792	1.2056	3.5594
-0.99167	23.125	0.78292	3.6274
-0.99167	23.458	0.33374	3.6176
-0.99167	23.792	-0.16471	3.6162
-0.99167	24.125	-0.55721	3.7557
-0.99167	24.458	-0.71374	3.9701
-0.99167	24.792	-0.79162	3.8681
-0.99167	25.125	-0.85363	3.8344
-0.99167	25.458	-1.1524	3.8691
-0.99167	25.792	-1.2109	3.8885
-0.99167	26.125	-1.1361	3.7821
-0.99167	26.458	-1.1203	3.5872
-0.99167	26.792	-1.2792	3.2989
-0.99167	27.125	-1.2788	3.231
-0.99167	27.458	-1.4121	2.739
-0.99167	27.792	-1.8018	2.0282
-0.99167	28.125	-1.9398	1.6507
-0.99167	28.458	-2.138	1.1881
-0.99167	28.792	-2.207	0.27514
-0.99167	29.125	-1.7208	-0.39523
-0.99167	29.458	-0.9039	-0.52113
-0.65833	9.7917	0.85387	1.1495
-0.65833	10.125	1.0856	3.4426
-0.65833	10.458	0.78584	5.1473
-0.65833	10.792	0.60705	6.0321
-0.65833	11.125	0.41573	6.3763
-0.65833	11.458	0.29776	6.91
-0.65833	11.792	0.10064	6.9535
-0.65833	12.125	-0.027731	6.6601
-0.65833	12.458	-0.59321	6.5584
-0.65833	12.792	-0.97542	6.6094
-0.65833	13.125	-1.0829	6.5484
-0.65833	13.458	-1.0349	6.1291
-0.65833	13.792	-0.73453	5.6801
-0.65833	14.125	-0.34451	5.3425
-0.65833	14.458	0.067889	4.9004
-0.65833	14.792	0.5427	4.5109
-0.65833	15.125	1.0761	4.5183
-0.65833	15.458	1.2589	4.892
-0.65833	15.792	0.98523	5.4592
-0.65833	16.125	0.77096	5.8884
-0.65833	16.458	0.58727	5.935
-0.65833	16.792	0.36359	6.1009
-0.65833	17.125	0.0042962	6.1956
-0.65833	17.458	-0.056009	6.0979
-0.65833	17.792	-0.20219	5.7945
-0.65833	18.125	-0.47434	5.4806
-0.65833	18.458	-0.50405	5.1725
-0.65833	18.792	-0.34457	4.7607
-0.65833	19.125	-0.13279	4.4192
-0.65833	19.458	0.065738	3.9811
-0.65833	19.792	0.24837	3.6832
-0.65833	20.125	0.5559	3.1889
-0.65833	20.458	0.81246	2.818
-0.65833	20.792	0.87552	2.6535
-0.65833	21.125	1.0666	2.7037
-0.65833	21.458	1.1902	2.962
-0.65833	21.792	1.1071	3.2105
-0.65833	22.125	1.202	3.5118
-0.65833	22.458	1.348	3.9038
-0.65833	22.792	1.1448	4.0474
-0.65833	23.125	0.70124	4.32
-0.65833	23.458	0.24734	4.5013
-0.65833	23.792	-0.2779	4.6893
-0.65833	24.125	-0.7744	4.8008
-0.65833	24.458	-0.92649	4.9424
-0.65833	24.792	-0.80324	4.829
-0.65833	25.125	-0.90088	4.8199
-0.65833	25.458	-1.195	4.6392
-0.65833	25.792	-1.1263	4.3694
-0.65833	26.125	-0.9874	4.21
-0.65833	26.458	-1.0079	3.9974
-0.65833	26.792	-1.0922	3.763
-0.65833	27.125	-1.1063	3.6149
-0.65833	27.458	-1.1403	3.0014
-0.65833	27.792	-1.4181	2.4931
-0.65833	28.125	-1.6121	2.1079
-0.65833	28.458	-1.8719	1.6593
-0.65833	28.792	-1.853	0.64
-0.65833	29.125	-1.2373	-0.013119
-0.65833	29.458	-0.61926	-0.43684
-0.325	9.7917	-0.23845	2.505
-0.325	10.125	0.23931	3.742
-0.325	10.458	0.092289	5.8995
-0.325	10.792	0.34369	6.681
-0.325	11.125	0.46916	7.0428
-0.325	11.458	0.319	7.7976
-0.325	11.792	0.059966	7.9934
-0.325	12.125	-0.14381	7.5185
-0.325	12.458	-0.48971	7.3046
-0.325	12.792	-0.59002	7.2872
-0.325	13.125	-0.63611	7.1814
-0.325	13.458	-0.70084	7.0073
-0.325	13.792	-0.44245	6.604
-0.325	14.125	-0.096769	6.1304
-0.325	14.458	0.21131	5.6401
-0.325	14.792	0.59851	5.209
-0.325	15.125	1.0607	5.0908
-0.325	15.458	1.1884	5.3196
-0.325	15.792	0.88309	5.8578
-0.325	16.125	0.73871	6.1423
-0.325	16.458	0.57733	6.1716
-0.325	16.792	0.33772	6.3097
-0.325	17.125	0.075708	6.4766
-0.325	17.458	0.098804	6.473
-0.325	17.792	0.083122	6.3091
-0.325	18.125	-0.16528	5.9749
-0.325	18.458	-0.16598	5.7105
-0.325	18.792	0.0062797	5.3194
-0.325	19.125	0.22171	5.0167
-0.325	19.458	0.3878	4.635
-0.325	19.792	0.52388	4.2426
-0.325	20.125	0.80136	3.61
-0.325	20.458	1.0679	3.1321
-0.325	20.792	1.1214	2.9308
-0.325	21.125	1.1278	2.7513
-0.325	21.458	1.235	3.0558
-0.325	21.792	1.2042	3.2728
-0.325	22.125	1.2221	3.569
-0.325	22.458	1.2684	3.9868
-0.325	22.792	1.0201	4.4572
-0.325	23.125	0.59442	4.8859
-0.325	23.458	0.22474	5.1069
-0.325	23.792	-0.32672	5.2967
-0.325	24.125	-0.80798	5.4767
-0.325	24.458	-0.87118	5.6932
-0.325	24.792	-0.63987	5.4912
-0.325	25.125	-0.70898	5.3858
-0.325	25.458	-0.94914	5.1394
-0.325	25.792	-0.87116	4.7921
-0.325	26.125	-0.67826	4.6582
-0.325	26.458	-0.67578	4.4289
-0.325	26.792	-0.71252	4.3133
-0.325	27.125	-0.7062	4.0518
-0.325	27.458	-0.74642	3.4123
-0.325	27.792	-1.1183	3.0854
-0.325	28.125	-1.3056	2.7477
-0.325	28.458	-1.596	2.4439
-0.325	28.792	-1.3606	1.5861
-0.325	29.125	-0.8418	0.56741
-0.325	29.458	-0.33131	-0.29272
0.0083333	9.7917	-0.4313	5.1301
0.0083333	10.125	-0.22714	5.4983
0.0083333	10.458	-0.036113	6.5229
0.0083333	10.792	0.42329	6.9244
0.0083333	11.125	0.32785	7.2708
0.0083333	11.458	0.07191	7.7906
0.0083333	11.792	-0.28242	7.7956
0.0083333	12.125	-0.50689	7.5721
0.0083333	12.458	-0.51691	7.5829
0.0083333	12.792	-0.37954	7.5915
0.0083333	13.125	-0.27044	7.374
0.0083333	13.458	-0.31434	7.2701
0.0083333	13.792	-0.061416	7.0918
0.0083333	14.125	0.24912	6.5815
0.0083333	14.458	0.47989	6.0828
0.0083333	14.792	0.77538	5.7308
0.0083333	15.125	1.0462	5.5269
0.0083333	15.458	1.0898	5.5717
0.0083333	15.792	0.74628	5.8813
0.0083333	16.125	0.57127	6.1328
0.0083333	16.458	0.34014	6.2585
0.0083333	16.792	0.18255	6.3176
0.0083333	17.125	0.0034588	6.5497
0.0083333	17.458	0.072244	6.6169
0.0083333	17.792	0.14338	6.5804
0.0083333	18.125	0.056483	6.4605
0.0083333	18.458	0.013302	6.2108
0.0083333	18.792	0.1655	5.9931
0.0083333	19.125	0.37695	5.8271
0.0083333	19.458	0.54237	5.3861
0.0083333	19.792	0.7475	4.9374
0.0083333	20.125	1.0542	4.2831
0.0083333	20.458	1.2228	3.7346
0.0083333	20.792	1.2522	3.425
0.0083333	21.125	1.301	3.2329
0.0083333	21.458	1.3118	3.2938
0.0083333	21.792	1.1899	3.5277
0.0083333	22.125	1.0397	3.9521
0.0083333	22.458	1.0419	4.2956
0.0083333	22.792	0.76874	4.7056
0.0083333	23.125	0.39671	5.0574
0.0083333	23.458	0.15014	5.2755
0.0083333	23.792	-0.28317	5.5732
0.0083333	24.125	-0.71633	5.8215
0.0083333	24.458	-0.7091	6.066
0.0083333	24.792	-0.53549	5.984
0.0083333	25.125	-0.56205	5.758
0.0083333	25.458	-0.74455	5.4653
0.0083333	25.792	-0.64903	5.1582
0.0083333	26.125	-0.47796	5.0029
0.0083333	26.458	-0.49114	4.8461
0.0083333	26.792	-0.44949	4.6976
0.0083333	27.125	-0.26644	4.4502
0.0083333	27.458	-0.13641	3.7186
0.0083333	27.792	-0.30937	3.1698
0.0083333	28.125	-0.54362	3.0264
0.0083333	28.458	-0.7918	2.7356
0.0083333	28.792	-0.55786	1.9318
0.0083333	29.125	-0.39865	0.70999
0.0083333	29.458	-0.22486	-0.28553
0.34167	9.7917	-0.066597	6.9337
0.34167	10.125	-0.11524	7.1066
0.34167	10.458	0.12204	6.9996
0.34167	10.792	0.28832	6.9605
0.34167	11.125	-0.017325	7.2894
0.34167	11.458	-0.32638	7.4785
0.34167	11.792	-0.59227	7.4743
0.34167	12.125	-0.68101	7.5484
0.34167	12.458	-0.55473	7.7462
0.34167	12.792	-0.20312	7.7719
0.34167	13.125	0.040532	7.4857
0.34167	13.458	0.030156	7.3002
0.34167	13.792	0.28015	7.167
0.34167	14.125	0.51199	6.8373
0.34167	14.458	0.66946	6.4282
0.34167	14.792	0.88308	6.1532
0.34167	15.125	1.0501	5.9504
0.34167	15.458	1.025	5.8188
0.34167	15.792	0.69807	5.9313
0.34167	16.125	0.43083	6.1226
0.34167	16.458	0.14574	6.3452
0.34167	16.792	-0.052213	6.3433
0.34167	17.125	-0.24313	6.5384
0.34167	17.458	-0.19724	6.7253
0.34167	17.792	-0.014395	6.8277
0.34167	18.125	0.010967	6.848
0.34167	18.458	0.0078108	6.6965
0.34167	18.792	0.16419	6.5894
0.34167	19.125	0.46991	6.489
0.34167	19.458	0.76173	6.1193
0.34167	19.792	0.96216	5.5856
0.34167	20.125	1.2955	5.0284
0.34167	20.458	1.3704	4.4915
0.34167	20.792	1.331	4.164
0.34167	21.125	1.1957	3.9086
0.34167	21.458	1.0032	3.7351
0.34167	21.792	0.74381	3.9045
0.34167	22.125	0.52864	4.2424
0.34167	22.458	0.55233	4.5282
0.34167	22.792	0.39462	4.7825
0.34167	23.125	0.15225	5.1383
0.34167	23.458	-0.064133	5.4063
0.34167	23.792	-0.3025	5.6015
0.34167	24.125	-0.60856	5.8408
0.34167	24.458	-0.60524	6.169
0.34167	24.792	-0.39731	6.1545
0.34167	25.125	-0.40194	5.9893
0.34167	25.458	-0.49285	5.601
0.34167	25.792	-0.45034	5.2999
0.34167	26.125	-0.37061	5.0951
0.34167	26.458	-0.38155	4.8624
0.34167	26.792	-0.2638	4.7872
0.34167	27.125	0.060892	4.5742
0.34167	27.458	0.1212	3.9015
0.34167	27.792	0.11484	3.2219
0.34167	28.125	0.13517	3.053
0.34167	28.458	0.12914	2.6012
0.34167	28.792	0.045787	1.6724
0.34167	29.125	-0.17743	0.20736
0.34167	29.458	-0.16922	-0.49665
0.675	9.7917	-0.0082572	7.6478
0.675	10.125	0.30287	7.4295
0.675	10.458	0.56216	7.0097
0.675	10.792	0.17452	6.724
0.675	11.125	-0.33399	6.8921
0.675	11.458	-0.63926	7.0478
0.675	11.792	-0.89886	7.1959
0.675	12.125	-0.92444	7.4148
0.675	12.458	-0.69437	7.6585
0.675	12.792	-0.15159	7.8079
0.675	13.125	0.17671	7.596
0.675	13.458	0.20613	7.4064
0.675	13.792	0.44709	7.3136
0.675	14.125	0.69783	7.1628
0.675	14.458	0.92985	6.7966
0.675	14.792	1.0737	6.4795
0.675	15.125	1.199	6.1737
0.675	15.458	1.1219	6.0374
0.675	15.792	0.70707	6.0705
0.675	16.125	0.30985	6.1894
0.675	16.458	-0.031422	6.2848
0.675	16.792	-0.32477	6.3397
0.675	17.125	-0.55613	6.5255
0.675	17.458	-0.52128	6.8173
0.675	17.792	-0.24723	7.0432
0.675	18.125	-0.15835	7.1279
0.675	18.458	-0.04355	7.0551
