x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-1.7652	4.8462
-0.99167	10.125	-1.4965	6.2586
-0.99167	10.458	-0.27139	6.6094
-0.99167	10.792	0.43148	5.7631
-0.99167	11.125	0.1061	3.6741
-0.99167	11.458	-0.54486	1.9543
-0.99167	11.792	-0.84876	2.2071
-0.99167	12.125	-0.84015	3.6703
-0.99167	12.458	-0.97554	4.2673
-0.99167	12.792	-0.97746	4.3377
-0.99167	13.125	-0.96902	3.7113
-0.99167	13.458	-0.81829	3.1365
-0.99167	13.792	-0.53552	3.2683
-0.99167	14.125	-0.18247	3.57
-0.99167	14.458	0.011196	3.5883
-0.99167	14.792	0.099397	3.4849
-0.99167	15.125	0.37453	3.577
-0.99167	15.458	0.64807	3.4607
-0.99167	15.792	0.46606	3.4936
-0.99167	16.125	0.38975	3.5759
-0.99167	16.458	0.4807	3.5015
-0.99167	16.792	0.55704	3.3511
-0.99167	17.125	0.67795	3.1797
-0.99167	17.458	0.78769	2.8298
-0.99167	17.792	0.89403	2.6731
-0.99167	18.125	1.0764	2.6665
-0.99167	18.458	1.0259	2.9487
-0.99167	18.792	0.7593	3.2014
-0.99167	19.125	0.57761	3.3667
-0.99167	19.458	0.37608	3.607
-0.99167	19.792	0.10587	3.8163
-0.99167	20.125	-0.12095	4.1135
-0.99167	20.458	-0.62676	4.6469
-0.99167	20.792	-1.1996	5.5218
-0.99167	21.125	-1.512	5.8071
-0.99167	21.458	-1.795	5.957
-0.99167	21.792	-1.8873	6.0798
-0.99167	22.125	-1.7564	6.1016
-0.99167	22.458	-1.443	6.0431
-0.99167	22.792	-0.87627	5.7979
-0.99167	23.125	-0.5774	5.6127
-0.99167	23.458	-0.078518	5.2865
-0.99167	23.792	0.51777	5.0394
-0.99167	24.125	0.78433	4.9044
-0.99167	24.458	0.72342	4.8492
-0.99167	24.792	0.64397	4.9059
-0.99167	25.125	0.4668	4.8071
-0.99167	25.458	-0.10635	4.7506
-0.99167	25.792	-0.61957	4.6782
-0.99167	26.125	-0.86329	4.4438
-0.99167	26.458	-1.2664	4.3287
-0.99167	26.792	-1.6512	3.9644
-0.99167	27.125	-1.9578	3.5769
-0.99167	27.458	-2.2653	3.0369
-0.99167	27.792	-2.6806	2.5886
-0.99167	28.125	-2.7173	2.2844
-0.99167	28.458	-2.4605	2.2294
-0.99167	28.792	-2.0282	2.1101
-0.99167	29.125	-1.5936	0.93489
-0.99167	29.458	-0.94414	-0.24601
-0.65833	9.7917	-2.0376	5.8117
-0.65833	10.125	-1.3735	7.8132
-0.65833	10.458	-0.39408	8.0754
-0.65833	10.792	-0.1288	6.5809
-0.65833	11.125	-0.22629	3.74
-0.65833	11.458	-0.54285	1.7233
-0.65833	11.792	-0.8046	2.6685
-0.65833	12.125	-0.81273	4.9707
-0.65833	12.458	-0.95636	5.8212
-0.65833	12.792	-0.81741	5.5178
-0.65833	13.125	-0.83987	4.4749
-0.65833	13.458	-0.93624	4.0749
-0.65833	13.792	-0.69548	4.1318
-0.65833	14.125	-0.29751	4.3666
-0.65833	14.458	-0.066401	4.4252
-0.65833	14.792	0.058288	4.3543
-0.65833	15.125	0.36437	4.3823
-0.65833	15.458	0.55194	4.3713
-0.65833	15.792	0.33991	4.5663
-0.65833	16.125	0.28763	4.6508
-0.65833	16.458	0.32132	4.7349
-0.65833	16.792	0.3656	4.7059
-0.65833	17.125	0.45058	4.6738
-0.65833	17.458	0.64899	4.4177
-0.65833	17.792	0.80429	4.2388
-0.65833	18.125	0.87913	4.2481
-0.65833	18.458	0.75581	4.4205
-0.65833	18.792	0.52597	4.5637
-0.65833	19.125	0.2913	4.7394
-0.65833	19.458	0.087998	5.0213
-0.65833	19.792	-0.1608	5.1775
-0.65833	20.125	-0.35059	5.4895
-0.65833	20.458	-0.88623	5.9754
-0.65833	20.792	-1.3591	6.3644
-0.65833	21.125	-1.5723	6.5101
-0.65833	21.458	-1.8529	6.6806
-0.65833	21.792	-2.0546	6.7829
-0.65833	22.125	-1.9366	6.8006
-0.65833	22.458	-1.4312	6.7923
-0.65833	22.792	-0.85099	6.4961
-0.65833	23.125	-0.49839	6.0948
-0.65833	23.458	0.0026608	5.7546
-0.65833	23.792	0.51663	5.5839
-0.65833	24.125	0.7616	5.6412
-0.65833	24.458	0.75383	5.6277
-0.65833	24.792	0.77447	5.6544
-0.65833	25.125	0.64748	5.6242
-0.65833	25.458	0.070403	5.5869
-0.65833	25.792	-0.34071	5.3552
-0.65833	26.125	-0.65554	5.0527
-0.65833	26.458	-1.0559	4.7859
-0.65833	26.792	-1.389	4.3506
-0.65833	27.125	-1.5101	3.8952
-0.65833	27.458	-1.8625	3.2902
-0.65833	27.792	-2.3114	2.6456
-0.65833	28.125	-2.2937	2.2816
-0.65833	28.458	-2.1139	2.1531
-0.65833	28.792	-1.7385	1.9695
-0.65833	29.125	-1.1648	1.069
-0.65833	29.458	-0.5549	-0.1583
-0.325	9.7917	-1.3746	6.0375
-0.325	10.125	-0.64627	7.5776
-0.325	10.458	-0.24479	7.8778
-0.325	10.792	-0.37344	6.7092
-0.325	11.125	-0.39989	4.586
-0.325	11.458	-0.45273	2.9962
-0.325	11.792	-0.64355	3.9698
-0.325	12.125	-0.6613	5.6695
-0.325	12.458	-0.7155	6.3335
-0.325	12.792	-0.51371	5.9117
-0.325	13.125	-0.43508	5.2281
-0.325	13.458	-0.62522	4.9105
-0.325	13.792	-0.53498	5.0196
-0.325	14.125	-0.18866	5.0969
-0.325	14.458	0.0013527	5.2501
-0.325	14.792	0.071383	5.2832
-0.325	15.125	0.24515	5.3231
-0.325	15.458	0.32042	5.2796
-0.325	15.792	0.19687	5.3895
-0.325	16.125	0.22181	5.4428
-0.325	16.458	0.25565	5.557
-0.325	16.792	0.30978	5.6391
-0.325	17.125	0.36179	5.7147
-0.325	17.458	0.49349	5.7291
-0.325	17.792	0.61872	5.6
-0.325	18.125	0.64305	5.7837
-0.325	18.458	0.54586	5.8763
-0.325	18.792	0.27919	6.0103
-0.325	19.125	-0.067698	6.1027
-0.325	19.458	-0.28404	6.2224
-0.325	19.792	-0.43253	6.2135
-0.325	20.125	-0.49182	6.4596
-0.325	20.458	-0.83249	6.8313
-0.325	20.792	-1.2503	6.8406
-0.325	21.125	-1.4934	6.8864
-0.325	21.458	-1.7027	6.9132
-0.325	21.792	-1.8548	6.9878
-0.325	22.125	-1.6965	7.0402
-0.325	22.458	-1.1324	7.0466
-0.325	22.792	-0.66348	6.8247
-0.325	23.125	-0.40243	6.5186
-0.325	23.458	-0.031629	6.2571
-0.325	23.792	0.45946	6.2008
-0.325	24.125	0.74872	6.1907
-0.325	24.458	0.84187	6.1507
-0.325	24.792	0.98294	6.255
-0.325	25.125	0.80131	6.3484
-0.325	25.458	0.2398	6.2269
-0.325	25.792	-0.13004	5.9646
-0.325	26.125	-0.51586	5.6847
-0.325	26.458	-0.82875	5.3604
-0.325	26.792	-1.1007	4.848
-0.325	27.125	-1.1816	4.3442
-0.325	27.458	-1.4977	3.7769
-0.325	27.792	-1.9824	2.953
-0.325	28.125	-1.9793	2.42
-0.325	28.458	-1.7721	2.1341
-0.325	28.792	-1.1933	1.8787
-0.325	29.125	-0.6092	1.2156
-0.325	29.458	-0.20474	-0.14423
0.0083333	9.7917	-0.26069	5.7215
0.0083333	10.125	0.076917	7.1135
0.0083333	10.458	0.49374	7.8551
0.0083333	10.792	0.025037	7.0161
0.0083333	11.125	-0.40696	6.0016
0.0083333	11.458	-0.44514	5.6394
0.0083333	11.792	-0.51022	5.967
0.0083333	12.125	-0.45898	6.4338
0.0083333	12.458	-0.29928	6.5129
0.0083333	12.792	-0.16373	6.3428
0.0083333	13.125	-0.079933	6.046
0.0083333	13.458	-0.26571	5.8413
0.0083333	13.792	-0.24465	5.7496
0.0083333	14.125	-0.072033	5.7219
