x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-0.91203	2.0967
-0.99167	10.125	0.91993	3.8271
-0.99167	10.458	1.5012	4.1221
-0.99167	10.792	1.5444	4.2544
-0.99167	11.125	1.39	4.8895
-0.99167	11.458	0.89454	4.7596
-0.99167	11.792	0.40241	4.5515
-0.99167	12.125	0.32487	3.8306
-0.99167	12.458	0.080609	3.7741
-0.99167	12.792	-0.42135	3.6716
-0.99167	13.125	-0.78816	3.9895
-0.99167	13.458	-1.1999	3.8517
-0.99167	13.792	-1.2013	4.1196
-0.99167	14.125	-1.0221	4.2588
-0.99167	14.458	-0.7436	4.2255
-0.99167	14.792	-0.3223	4.5121
-0.99167	15.125	0.30937	4.7887
-0.99167	15.458	0.78698	5.0713
-0.99167	15.792	0.90075	5.4265
-0.99167	16.125	0.83947	5.7801
-0.99167	16.458	0.74845	6.0353
-0.99167	16.792	0.4771	6.2077
-0.99167	17.125	0.20969	6.1752
-0.99167	17.458	-0.078163	6.113
-0.99167	17.792	-0.22202	6.1739
-0.99167	18.125	-0.43878	6.1315
-0.99167	18.458	-0.70442	5.7593
-0.99167	18.792	-0.77002	5.3666
-0.99167	19.125	-0.62652	4.867
-0.99167	19.458	-0.56623	4.4851
-0.99167	19.792	-0.53304	4.1779
-0.99167	20.125	-0.27142	3.9071
-0.99167	20.458	-0.20765	3.5579
-0.99167	20.792	-0.32619	3.3228
-0.99167	21.125	-0.096819	3.1806
-0.99167	21.458	0.39122	3.0306
-0.99167	21.792	0.76979	3.1643
-0.99167	22.125	1.1068	3.3169
-0.99167	22.458	1.5919	3.4239
-0.99167	22.792	1.7421	3.3999
-0.99167	23.125	1.7901	3.6071
-0.99167	23.458	1.5867	3.8166
-0.99167	23.792	1.109	3.9163
-0.99167	24.125	0.49505	4.1755
-0.99167	24.458	0.14592	4.186
-0.99167	24.792	-0.063706	4.3758
-0.99167	25.125	-0.46502	4.3704
-0.99167	25.458	-1.0089	4.4925
-0.99167	25.792	-1.3666	4.3391
-0.99167	26.125	-1.508	4.2262
-0.99167	26.458	-1.65	4.1353
-0.99167	26.792	-1.7527	4.1823
-0.99167	27.125	-1.7554	4.0526
-0.99167	27.458	-1.7186	3.744
-0.99167	27.792	-1.707	3.273
-0.99167	28.125	-1.8886	2.8172
