x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-1.8581	2.466
-0.99167	10.125	-0.61008	3.578
-0.99167	10.458	0.1362	4.2555
-0.99167	10.792	0.57632	5.0071
-0.99167	11.125	0.88624	5.8903
-0.99167	11.458	0.62105	5.4677
-0.99167	11.792	0.38124	4.2077
-0.99167	12.125	0.070667	4.9312
-0.99167	12.458	-0.015909	5.7535
-0.99167	12.792	-0.33116	5.9168
-0.99167	13.125	-0.86971	5.7718
-0.99167	13.458	-1.5543	5.3661
-0.99167	13.792	-1.9529	4.8126
-0.99167	14.125	-1.9213	4.1873
-0.99167	14.458	-1.6317	3.7773
-0.99167	14.792	-1.443	3.3058
-0.99167	15.125	-0.85758	3.0531
-0.99167	15.458	-0.45916	2.8262
-0.99167	15.792	0.062707	2.5823
-0.99167	16.125	0.70952	2.3729
-0.99167	16.458	1.3216	2.125
-0.99167	16.792	1.6107	2.296
-0.99167	17.125	1.595	2.4356
-0.99167	17.458	1.1453	2.6981
-0.99167	17.792	1.1414	2.7629
-0.99167	18.125	0.7623	2.8978
-0.99167	18.458	0.048576	2.8697
-0.99167	18.792	-0.33058	2.7191
-0.99167	19.125	-0.36316	2.6517
-0.99167	19.458	-0.37412	2.509
-0.99167	19.792	-0.30481	2.0598
-0.99167	20.125	-0.15685	1.7926
-0.99167	20.458	-0.28665	1.7089
-0.99167	20.792	-0.41282	2.6815
-0.99167	21.125	-0.37182	3.296
-0.99167	21.458	-0.2197	3.4119
-0.99167	21.792	0.081688	3.4341
-0.99167	22.125	0.089479	3.7239
-0.99167	22.458	0.062792	3.9868
-0.99167	22.792	-0.1176	4.0356
-0.99167	23.125	-0.33782	4.0125
-0.99167	23.458	-0.50752	4.1528
-0.99167	23.792	-0.77273	4.0469
-0.99167	24.125	-0.85895	3.5859
-0.99167	24.458	-0.89195	2.9838
-0.99167	24.792	-0.8887	2.5313
-0.99167	25.125	-0.95553	2.1319
-0.99167	25.458	-1.1333	1.6874
-0.99167	25.792	-1.0709	1.3401
-0.99167	26.125	-1.0335	1.3901
-0.99167	26.458	-0.98407	1.6974
-0.99167	26.792	-0.95017	2.1448
-0.99167	27.125	-0.93554	2.3873
-0.99167	27.458	-0.80991	2.8033
-0.99167	27.792	-1.0382	2.8657
-0.99167	28.125	-1.4213	2.6012
-0.99167	28.458	-1.972	2.0221
-0.99167	28.792	-2.0648	1.1132
-0.99167	29.125	-1.6245	0.50363
-0.99167	29.458	-0.46393	-0.31908
-0.65833	9.7917	-1.8855	4.2496
-0.65833	10.125	-0.83329	5.7026
-0.65833	10.458	0.43525	6.0675
-0.65833	10.792	0.78591	6.8105
-0.65833	11.125	0.84085	6.6721
-0.65833	11.458	0.3507	6.1278
-0.65833	11.792	0.13447	5.31
-0.65833	12.125	-0.14041	6.0903
-0.65833	12.458	-0.23975	6.6812
-0.65833	12.792	-0.33107	6.853
-0.65833	13.125	-0.86758	6.5603
-0.65833	13.458	-1.4847	6.0522
-0.65833	13.792	-1.7095	5.8709
-0.65833	14.125	-1.6239	5.2654
-0.65833	14.458	-1.3397	4.8203
-0.65833	14.792	-1.0895	4.1256
-0.65833	15.125	-0.6176	3.6779
-0.65833	15.458	-0.25171	3.3261
-0.65833	15.792	0.35934	3.0332
-0.65833	16.125	0.94035	2.7313
-0.65833	16.458	1.3287	2.4408
-0.65833	16.792	1.5123	2.5922
-0.65833	17.125	1.5834	2.7414
-0.65833	17.458	1.3276	3.0527
-0.65833	17.792	1.2441	3.5206
-0.65833	18.125	0.76577	3.9618
