x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-0.87286	3.6454
-0.99167	10.125	-0.14438	3.8911
-0.99167	10.458	0.84829	3.8506
-0.99167	10.792	0.86863	3.1041
-0.99167	11.125	1.1942	2.3395
-0.99167	11.458	1.5975	2.3162
-0.99167	11.792	1.2287	2.7353
-0.99167	12.125	0.8447	2.853
-0.99167	12.458	0.6069	2.7377
-0.99167	12.792	0.2974	2.1956
-0.99167	13.125	-0.10694	1.6769
-0.99167	13.458	-0.39139	1.0791
-0.99167	13.792	-0.59364	2.1154
-0.99167	14.125	-1.1246	3.14
-0.99167	14.458	-1.5948	3.9793
-0.99167	14.792	-1.7822	4.6769
-0.99167	15.125	-1.502	4.9109
-0.99167	15.458	-1.0508	4.6323
-0.99167	15.792	-0.74917	4.2796
-0.99167	16.125	-0.56879	4.1325
-0.99167	16.458	-0.26219	4.151
-0.99167	16.792	0.081007	3.9799
-0.99167	17.125	0.17107	3.8717
-0.99167	17.458	0.44898	3.6226
-0.99167	17.792	0.61598	3.7602
-0.99167	18.125	0.36959	3.8401
-0.99167	18.458	0.030033	3.9021
-0.99167	18.792	-0.48427	4.1669
-0.99167	19.125	-0.78867	4.5702
-0.99167	19.458	-1.0642	5.0106
-0.99167	19.792	-0.93853	4.953
-0.99167	20.125	-0.55714	4.7431
-0.99167	20.458	-0.18436	4.3586
-0.99167	20.792	0.088936	3.6807
-0.99167	21.125	0.24127	3.1079
-0.99167	21.458	0.1876	2.8429
-0.99167	21.792	0.0077977	3.2853
-0.99167	22.125	-0.17808	3.591
-0.99167	22.458	-0.25714	3.7869
-0.99167	22.792	-0.43946	4.2382
-0.99167	23.125	-0.53874	4.7646
-0.99167	23.458	-0.37934	5.1018
-0.99167	23.792	-0.14526	5.0676
-0.99167	24.125	0.070922	4.8239
-0.99167	24.458	0.4244	4.4898
-0.99167	24.792	0.72469	4.1949
-0.99167	25.125	0.61381	3.909
-0.99167	25.458	0.0056308	3.6959
-0.99167	25.792	-0.47717	3.7304
-0.99167	26.125	-1.0635	3.7782
-0.99167	26.458	-1.6482	3.6655
-0.99167	26.792	-2.1254	3.4256
-0.99167	27.125	-2.1865	3.1887
-0.99167	27.458	-2.1711	2.7655
-0.99167	27.792	-2.2614	2.0082
-0.99167	28.125	-2.3596	1.342
-0.99167	28.458	-2.3445	0.9754
-0.99167	28.792	-2.0897	0.93776
-0.99167	29.125	-1.514	0.62839
-0.99167	29.458	-1.174	-0.24436
-0.65833	9.7917	-2.1184	5.2597
-0.65833	10.125	-0.8831	5.525
-0.65833	10.458	0.40362	5.0255
-0.65833	10.792	0.84671	4.0983
-0.65833	11.125	0.94025	3.9661
-0.65833	11.458	1.1626	4.0224
-0.65833	11.792	0.87512	4.4528
-0.65833	12.125	0.63088	4.4056
-0.65833	12.458	0.5682	4.336
-0.65833	12.792	0.038672	3.6995
-0.65833	13.125	-0.36575	2.6764
-0.65833	13.458	-0.7427	1.9973
-0.65833	13.792	-1.0068	3.1026
-0.65833	14.125	-1.3292	4.4341
-0.65833	14.458	-1.6987	5.3341
-0.65833	14.792	-1.8091	5.7657
-0.65833	15.125	-1.6213	5.9028
-0.65833	15.458	-1.2567	5.5647
-0.65833	15.792	-0.91724	5.1282
-0.65833	16.125	-0.57082	4.6953
-0.65833	16.458	-0.22384	4.6675
-0.65833	16.792	0.0070974	4.6163
-0.65833	17.125	0.034548	4.627
-0.65833	17.458	0.19585	4.5045
-0.65833	17.792	0.32456	4.59
-0.65833	18.125	0.13117	4.6582
-0.65833	18.458	-0.17209	4.8243
-0.65833	18.792	-0.75761	5.282
-0.65833	19.125	-1.0754	5.7488
-0.65833	19.458	-1.187	6.0345
-0.65833	19.792	-0.88087	6.0237
-0.65833	20.125	-0.3573	5.8859
-0.65833	20.458	-0.012353	5.4615
-0.65833	20.792	0.30046	4.5882
-0.65833	21.125	0.40875	3.7506
-0.65833	21.458	0.26845	3.3388
-0.65833	21.792	0.1879	3.6625
-0.65833	22.125	-0.048297	4.1327
-0.65833	22.458	-0.20197	4.3171
-0.65833	22.792	-0.45785	4.5514
-0.65833	23.125	-0.54573	4.8
-0.65833	23.458	-0.31775	4.9229
-0.65833	23.792	-0.10531	4.9815
-0.65833	24.125	0.1565	4.9605
-0.65833	24.458	0.36881	4.7002
-0.65833	24.792	0.55911	4.4165
-0.65833	25.125	0.37591	4.2644
-0.65833	25.458	-0.20127	4.2404
-0.65833	25.792	-0.6731	4.1476
-0.65833	26.125	-1.1836	4.1191
-0.65833	26.458	-1.5713	3.9538
-0.65833	26.792	-1.8065	3.7633
-0.65833	27.125	-1.8161	3.474
-0.65833	27.458	-1.7942	3.0114
-0.65833	27.792	-1.9302	2.3744
-0.65833	28.125	-1.9439	1.6814
-0.65833	28.458	-1.9164	1.4205
-0.65833	28.792	-1.8781	1.4942
-0.65833	29.125	-1.3655	0.94711
-0.65833	29.458	-1.0049	-0.15697
-0.325	9.7917	-1.5019	6.0229
-0.325	10.125	-0.6617	6.4718
-0.325	10.458	0.49293	6.196
-0.325	10.792	0.93732	5.57
-0.325	11.125	0.96738	5.532
-0.325	11.458	0.99146	5.7041
-0.325	11.792	0.72464	5.8419
-0.325	12.125	0.64883	5.6452
-0.325	12.458	0.54365	5.5348
-0.325	12.792	0.11745	4.9443
-0.325	13.125	-0.22011	4.0945
-0.325	13.458	-0.75254	3.5838
