x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-4.191	0.29189
-0.99167	10.125	-2.1736	0.50342
-0.99167	10.458	0.31461	1.5071
-0.99167	10.792	1.5556	2.3274
-0.99167	11.125	1.2029	3.2149
-0.99167	11.458	0.87234	3.6152
-0.99167	11.792	0.68023	4.1348
-0.99167	12.125	0.49801	4.4514
-0.99167	12.458	0.29469	4.4763
-0.99167	12.792	-0.029916	4.3372
-0.99167	13.125	-0.24317	4.7024
-0.99167	13.458	-0.83467	4.8635
-0.99167	13.792	-1.1471	4.7912
-0.99167	14.125	-1.2584	4.199
-0.99167	14.458	-1.1513	4.0037
-0.99167	14.792	-0.89058	3.7217
-0.99167	15.125	-0.29092	3.3615
-0.99167	15.458	0.24834	3.0036
-0.99167	15.792	0.53333	2.5244
-0.99167	16.125	0.94859	2.2538
-0.99167	16.458	1.2399	1.927
-0.99167	16.792	1.3467	1.7465
-0.99167	17.125	1.5797	1.7179
-0.99167	17.458	1.6193	1.7815
-0.99167	17.792	1.742	1.7755
-0.99167	18.125	1.7129	1.9376
-0.99167	18.458	1.5973	2.3821
-0.99167	18.792	1.514	2.6781
-0.99167	19.125	1.359	2.9443
-0.99167	19.458	1.2721	3.4767
-0.99167	19.792	1.0956	4.2365
-0.99167	20.125	1.0038	4.6568
-0.99167	20.458	0.081879	5.1686
-0.99167	20.792	-1.0262	6.1068
-0.99167	21.125	-1.6407	6.8228
-0.99167	21.458	-2.0286	7.3337
-0.99167	21.792	-1.9434	7.5943
-0.99167	22.125	-1.7851	7.3177
-0.99167	22.458	-1.6553	7.0289
-0.99167	22.792	-1.642	6.6149
-0.99167	23.125	-1.7457	6.2889
-0.99167	23.458	-1.7781	6.026
-0.99167	23.792	-1.7546	5.6634
-0.99167	24.125	-1.7596	5.1604
-0.99167	24.458	-1.6429	4.7328
-0.99167	24.792	-1.3792	4.6198
-0.99167	25.125	-1.1827	4.4885
-0.99167	25.458	-1.0398	4.5063
-0.99167	25.792	-0.84334	4.4651
-0.99167	26.125	-0.54138	4.2053
-0.99167	26.458	-0.28403	4.0786
-0.99167	26.792	-0.43136	3.941
-0.99167	27.125	-0.4352	3.7937
-0.99167	27.458	-0.63669	3.7053
-0.99167	27.792	-1.1686	3.4108
-0.99167	28.125	-1.679	2.9298
-0.99167	28.458	-2.0603	2.321
-0.99167	28.792	-1.9966	1.8012
-0.99167	29.125	-1.5606	0.67001
-0.99167	29.458	-0.95588	-0.30951
-0.65833	9.7917	-1.5014	2.8295
-0.65833	10.125	-0.2582	2.8622
-0.65833	10.458	1.0298	3.7745
-0.65833	10.792	1.4185	4.5261
-0.65833	11.125	0.99555	4.6921
-0.65833	11.458	0.52897	4.8469
-0.65833	11.792	0.41547	5.2961
-0.65833	12.125	0.36587	5.7361
-0.65833	12.458	0.29139	5.8459
-0.65833	12.792	0.063162	5.6257
-0.65833	13.125	-0.16176	5.8159
-0.65833	13.458	-0.63073	5.8874
-0.65833	13.792	-0.85056	5.7859
-0.65833	14.125	-0.92888	5.3968
-0.65833	14.458	-0.8033	5.0339
-0.65833	14.792	-0.53031	4.556
