x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-0.73413	3.3092
-0.99167	10.125	-0.93034	4.4158
-0.99167	10.458	-0.75293	3.8111
-0.99167	10.792	-0.54154	2.9383
-0.99167	11.125	0.21132	3.2588
-0.99167	11.458	0.73783	3.2855
-0.99167	11.792	1.4797	2.9096
-0.99167	12.125	1.9686	3.1655
-0.99167	12.458	2.0035	3.9827
-0.99167	12.792	1.7479	4.4634
-0.99167	13.125	1.4232	4.4037
-0.99167	13.458	0.82569	4.1146
-0.99167	13.792	0.044581	4.5507
-0.99167	14.125	-0.64998	5.1198
-0.99167	14.458	-0.8508	5.2994
-0.99167	14.792	-1.2517	5.3682
-0.99167	15.125	-1.4344	5.2124
-0.99167	15.458	-1.2495	4.756
-0.99167	15.792	-1.0824	4.5107
-0.99167	16.125	-0.83956	4.4551
-0.99167	16.458	-0.39177	4.3278
-0.99167	16.792	0.27348	4.0229
-0.99167	17.125	0.95621	3.8012
-0.99167	17.458	1.513	3.5174
-0.99167	17.792	2.0043	3.4944
-0.99167	18.125	2.1546	3.701
-0.99167	18.458	1.93	3.9713
-0.99167	18.792	1.4414	4.623
-0.99167	19.125	0.82676	4.9689
-0.99167	19.458	0.15428	5.2198
-0.99167	19.792	-0.31894	5.3738
-0.99167	20.125	-0.68519	5.3298
-0.99167	20.458	-1.4084	5.4323
-0.99167	20.792	-1.9943	5.2246
-0.99167	21.125	-1.8977	4.7916
-0.99167	21.458	-1.3283	4.4878
-0.99167	21.792	-0.7421	3.8871
-0.99167	22.125	0.2419	3.4628
-0.99167	22.458	1.2996	3.0132
-0.99167	22.792	1.7948	2.7952
-0.99167	23.125	1.7964	2.6105
-0.99167	23.458	1.4762	2.7052
-0.99167	23.792	0.72689	2.8411
-0.99167	24.125	-0.19522	2.9519
-0.99167	24.458	-1.0024	3.1945
-0.99167	24.792	-1.5264	3.357
-0.99167	25.125	-2.0255	3.4538
-0.99167	25.458	-2.4666	3.2766
-0.99167	25.792	-2.5	2.9922
-0.99167	26.125	-2.1042	2.3222
-0.99167	26.458	-1.7215	1.6521
-0.99167	26.792	-1.3283	1.1198
-0.99167	27.125	-1.0456	0.70863
-0.99167	27.458	-0.875	0.26105
-0.99167	27.792	-0.93856	0.06556
-0.99167	28.125	-0.96317	-0.10806
-0.99167	28.458	-0.88951	-0.34963
-0.99167	28.792	-0.83734	-0.52603
-0.99167	29.125	-0.75134	-0.74438
-0.99167	29.458	-0.51818	-0.63954
-0.65833	9.7917	0.0076748	5.1533
-0.65833	10.125	-0.23601	5.7299
-0.65833	10.458	0.01424	5.0515
-0.65833	10.792	0.47564	3.8527
-0.65833	11.125	0.56274	3.6361
-0.65833	11.458	0.8075	3.6404
-0.65833	11.792	1.5315	3.643
-0.65833	12.125	1.7732	4.2192
-0.65833	12.458	1.6508	5.4109
-0.65833	12.792	1.4891	5.9722
-0.65833	13.125	1.3094	6.0411
