x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-4.0145	4.5784
-0.99167	10.125	-3.9923	4.2888
-0.99167	10.458	-3.6467	4.092
-0.99167	10.792	-2.5114	3.7188
-0.99167	11.125	-1.8729	3.8695
-0.99167	11.458	-1.2416	3.5225
-0.99167	11.792	-0.51658	2.9435
-0.99167	12.125	0.26775	2.8531
-0.99167	12.458	0.95208	3.1401
-0.99167	12.792	1.5496	3.4041
-0.99167	13.125	1.8572	3.5851
-0.99167	13.458	1.6359	3.8308
-0.99167	13.792	1.2632	4.4545
-0.99167	14.125	0.76611	4.9869
-0.99167	14.458	0.28635	5.0476
-0.99167	14.792	-0.3487	4.9275
-0.99167	15.125	-0.74625	4.92
-0.99167	15.458	-0.92487	4.9254
-0.99167	15.792	-1.2414	4.6602
-0.99167	16.125	-1.2597	4.4105
-0.99167	16.458	-1.0528	4.2491
-0.99167	16.792	-0.70636	4.1855
-0.99167	17.125	-0.41823	4.179
-0.99167	17.458	0.052867	4.4204
-0.99167	17.792	0.58817	4.254
-0.99167	18.125	0.82068	4.1848
-0.99167	18.458	0.65098	4.8403
-0.99167	18.792	0.37392	5.3535
-0.99167	19.125	-0.10301	5.7122
-0.99167	19.458	-0.57531	6.1904
-0.99167	19.792	-0.75938	6.388
-0.99167	20.125	-0.92773	6.5669
-0.99167	20.458	-1.3853	6.5453
-0.99167	20.792	-1.8189	6.6079
-0.99167	21.125	-1.8962	6.6377
-0.99167	21.458	-1.7707	6.6764
-0.99167	21.792	-1.4652	6.4172
-0.99167	22.125	-1.0799	6.0505
-0.99167	22.458	-0.47665	5.58
-0.99167	22.792	-0.22027	5.1945
-0.99167	23.125	-0.26945	4.9516
-0.99167	23.458	-0.10356	4.8127
-0.99167	23.792	0.18651	4.5395
-0.99167	24.125	0.42803	4.1286
-0.99167	24.458	0.46023	3.7843
-0.99167	24.792	0.48859	3.353
-0.99167	25.125	0.17246	3.3404
-0.99167	25.458	-0.50921	3.4343
-0.99167	25.792	-1.1228	3.5894
-0.99167	26.125	-1.4401	3.7043
-0.99167	26.458	-1.5337	3.6114
-0.99167	26.792	-1.5985	3.4221
-0.99167	27.125	-1.5177	3.3638
-0.99167	27.458	-1.5873	3.3769
-0.99167	27.792	-2.0333	3.2574
-0.99167	28.125	-2.0619	3.0874
-0.99167	28.458	-2.067	3.0262
-0.99167	28.792	-1.9356	2.3611
-0.99167	29.125	-1.5402	1.0682
-0.99167	29.458	-0.65817	-0.21831
-0.65833	9.7917	-4.3292	5.5099
-0.65833	10.125	-4.3432	5.3694
-0.65833	10.458	-3.5708	5.5658
-0.65833	10.792	-2.2546	5.4594
-0.65833	11.125	-1.5447	5.1537
-0.65833	11.458	-1.0271	4.4048
-0.65833	11.792	-0.59764	3.6785
-0.65833	12.125	0.19593	3.6581
-0.65833	12.458	0.71512	4.0195
-0.65833	12.792	1.2648	4.12
-0.65833	13.125	1.5697	4.1628
-0.65833	13.458	1.5148	4.6496
-0.65833	13.792	1.2609	5.6735
-0.65833	14.125	0.67102	6.1512
-0.65833	14.458	0.16174	6.3943
-0.65833	14.792	-0.37886	6.3012
-0.65833	15.125	-0.60667	6.2443
-0.65833	15.458	-0.77715	6.3267
-0.65833	15.792	-1.209	6.106
-0.65833	16.125	-1.2394	5.8151
-0.65833	16.458	-1.0845	5.5466
-0.65833	16.792	-0.77398	5.4184
-0.65833	17.125	-0.53864	5.1955
-0.65833	17.458	-0.10752	5.2521
-0.65833	17.792	0.45869	4.998
-0.65833	18.125	0.71719	4.9642
-0.65833	18.458	0.78831	5.3626
-0.65833	18.792	0.48204	5.7498
-0.65833	19.125	-0.049722	6.1256
-0.65833	19.458	-0.53982	6.5347
-0.65833	19.792	-0.60331	6.7225
-0.65833	20.125	-0.77168	6.7985
-0.65833	20.458	-1.1811	6.7648
-0.65833	20.792	-1.7374	6.5886
-0.65833	21.125	-1.8805	6.6276
-0.65833	21.458	-1.874	6.7053
-0.65833	21.792	-1.5733	6.3763
-0.65833	22.125	-1.0425	6.2137
-0.65833	22.458	-0.47514	5.867
-0.65833	22.792	-0.28536	5.5155
-0.65833	23.125	-0.13806	5.3645
-0.65833	23.458	0.0049188	5.1775
-0.65833	23.792	0.22398	4.9425
-0.65833	24.125	0.40247	4.5797
-0.65833	24.458	0.4632	4.3434
-0.65833	24.792	0.45241	4.0093
-0.65833	25.125	0.23757	3.8859
-0.65833	25.458	-0.34641	3.9173
-0.65833	25.792	-0.87868	3.7996
-0.65833	26.125	-1.2717	3.7822
-0.65833	26.458	-1.3404	3.7145
-0.65833	26.792	-1.319	3.508
-0.65833	27.125	-1.2373	3.4618
-0.65833	27.458	-1.3536	3.4114
-0.65833	27.792	-1.5244	3.3207
-0.65833	28.125	-1.6821	3.2786
-0.65833	28.458	-1.6447	3.2451
-0.65833	28.792	-1.5236	2.5509
-0.65833	29.125	-1.2701	1.0674
-0.65833	29.458	-0.64081	-0.20743
-0.325	9.7917	-2.8352	5.3089
-0.325	10.125	-3.0707	5.9444
-0.325	10.458	-2.3428	6.0982
-0.325	10.792	-1.4866	5.535
-0.325	11.125	-1.152	5.5695
-0.325	11.458	-0.5826	5.4106
-0.325	11.792	-0.13316	4.6232
-0.325	12.125	0.38604	4.4408
-0.325	12.458	0.6344	4.7721
-0.325	12.792	1.1857	4.7063
-0.325	13.125	1.274	5.0511
-0.325	13.458	1.0783	5.5454
-0.325	13.792	0.89327	6.5077
-0.325	14.125	0.44317	6.8435
-0.325	14.458	0.035878	7.0459
-0.325	14.792	-0.31897	7.1342
-0.325	15.125	-0.45734	7.3329
-0.325	15.458	-0.65854	7.4305
-0.325	15.792	-1.0798	7.1512
-0.325	16.125	-1.1077	6.8774
-0.325	16.458	-0.93613	6.4809
-0.325	16.792	-0.66709	6.3287
-0.325	17.125	-0.40897	6.0027
-0.325	17.458	0.029406	5.9013
-0.325	17.792	0.45027	5.8424
-0.325	18.125	0.55653	5.7754
-0.325	18.458	0.67415	5.8251
-0.325	18.792	0.47298	5.84
-0.325	19.125	0.085235	6.0546
-0.325	19.458	-0.31243	6.3851
-0.325	19.792	-0.54311	6.5344
-0.325	20.125	-0.69866	6.5663
-0.325	20.458	-1.0427	6.612
-0.325	20.792	-1.5252	6.4226
-0.325	21.125	-1.7556	6.3651
-0.325	21.458	-1.8764	6.3463
-0.325	21.792	-1.6486	6.1768
-0.325	22.125	-1.1656	6.0614
-0.325	22.458	-0.59864	5.8513
-0.325	22.792	-0.40935	5.7789
-0.325	23.125	-0.067488	5.6533
-0.325	23.458	0.094486	5.5622
-0.325	23.792	0.17919	5.295
-0.325	24.125	0.29496	5.0137
-0.325	24.458	0.37163	4.8822
-0.325	24.792	0.52796	4.6338
-0.325	25.125	0.39354	4.3214
-0.325	25.458	-0.097435	4.2347
-0.325	25.792	-0.65022	4.1487
-0.325	26.125	-1.0714	4.0137
-0.325	26.458	-1.1084	3.8657
-0.325	26.792	-0.98701	3.7545
-0.325	27.125	-0.77699	3.6053
-0.325	27.458	-0.80038	3.3962
-0.325	27.792	-0.98376	3.3331
-0.325	28.125	-1.1461	3.4267
-0.325	28.458	-1.1807	3.367
-0.325	28.792	-1.2289	2.7868
-0.325	29.125	-1.0827	1.2799
-0.325	29.458	-0.8405	-0.18608
0.0083333	9.7917	-1.0463	5.8298
0.0083333	10.125	-1.3197	6.8345
0.0083333	10.458	-0.63378	6.7255
0.0083333	10.792	-0.34206	6.2391
0.0083333	11.125	-0.41648	6.1244
0.0083333	11.458	-0.19704	5.9413
0.0083333	11.792	0.18741	5.5057
0.0083333	12.125	0.54396	5.3792
0.0083333	12.458	0.63036	5.4094
0.0083333	12.792	0.91539	5.4056
0.0083333	13.125	0.90631	5.7141
0.0083333	13.458	0.67562	6.1497
0.0083333	13.792	0.39492	6.7544
0.0083333	14.125	0.060346	7.1322
0.0083333	14.458	-0.18968	7.361
0.0083333	14.792	-0.33538	7.588
0.0083333	15.125	-0.34097	7.7601
0.0083333	15.458	-0.46927	7.7827
0.0083333	15.792	-0.90392	7.6553
0.0083333	16.125	-0.85393	7.5277
0.0083333	16.458	-0.68658	7.2001
0.0083333	16.792	-0.36288	6.9545
0.0083333	17.125	-0.10395	6.6485
0.0083333	17.458	0.25029	6.3066
0.0083333	17.792	0.56001	6.2903
0.0083333	18.125	0.63213	6.2683
0.0083333	18.458	0.56013	6.1839
0.0083333	18.792	0.39429	5.9248
0.0083333	19.125	0.12546	5.9151
0.0083333	19.458	-0.2758	5.9932
0.0083333	19.792	-0.52273	6.1373
0.0083333	20.125	-0.67949	6.1727
0.0083333	20.458	-1.0669	6.1155
0.0083333	20.792	-1.4406	6.0589
0.0083333	21.125	-1.5475	6.0649
0.0083333	21.458	-1.7077	5.9297
0.0083333	21.792	-1.6182	5.8315
0.0083333	22.125	-1.2834	5.7446
0.0083333	22.458	-0.67656	5.637
0.0083333	22.792	-0.30011	5.6867
0.0083333	23.125	-0.03512	5.66
0.0083333	23.458	0.16088	5.6735
0.0083333	23.792	0.28264	5.5711
0.0083333	24.125	0.47724	5.4737
0.0083333	24.458	0.55268	5.3702
0.0083333	24.792	0.69028	5.162
0.0083333	25.125	0.49467	4.814
