x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-2.0791	0.52431
-0.99167	10.125	-2.0767	2.2939
-0.99167	10.458	-1.38	4.725
-0.99167	10.792	-0.96782	5.451
-0.99167	11.125	-1.052	4.6796
-0.99167	11.458	-1.2842	4.0994
-0.99167	11.792	-1.033	3.453
-0.99167	12.125	-0.85234	3.584
-0.99167	12.458	-0.41043	3.5598
-0.99167	12.792	0.21665	3.4884
-0.99167	13.125	0.66705	3.3145
-0.99167	13.458	0.93544	3.0576
-0.99167	13.792	1.081	2.6616
-0.99167	14.125	1.1882	2.4038
-0.99167	14.458	1.1764	2.42
-0.99167	14.792	1.1542	2.4372
-0.99167	15.125	1.0664	2.5111
-0.99167	15.458	1.0613	2.7855
-0.99167	15.792	0.86216	3.059
-0.99167	16.125	0.63674	3.3567
-0.99167	16.458	0.52116	3.5155
-0.99167	16.792	0.4377	3.7059
-0.99167	17.125	0.43874	3.8964
-0.99167	17.458	0.51008	4.1459
-0.99167	17.792	0.60259	4.2981
-0.99167	18.125	0.59082	4.34
-0.99167	18.458	0.529	4.3544
-0.99167	18.792	0.33089	4.4409
-0.99167	19.125	0.055568	4.733
-0.99167	19.458	-0.3796	4.9575
-0.99167	19.792	-0.75206	4.9144
-0.99167	20.125	-0.87373	5.1202
-0.99167	20.458	-1.2171	5.2373
-0.99167	20.792	-1.5598	5.4434
-0.99167	21.125	-1.6579	5.7075
-0.99167	21.458	-1.5049	5.7405
-0.99167	21.792	-1.2181	5.8137
-0.99167	22.125	-0.66087	5.843
-0.99167	22.458	-0.13372	5.8246
-0.99167	22.792	-0.036141	5.9422
-0.99167	23.125	-0.25934	6.1648
-0.99167	23.458	-0.4091	6.2321
-0.99167	23.792	-0.55645	6.248
-0.99167	24.125	-0.72242	6.4092
-0.99167	24.458	-0.84067	6.5612
-0.99167	24.792	-0.90635	6.7007
-0.99167	25.125	-1.1882	6.6329
-0.99167	25.458	-1.8506	6.5058
-0.99167	25.792	-2.1638	6.2241
-0.99167	26.125	-2.2199	5.6717
-0.99167	26.458	-2.1705	5.1217
-0.99167	26.792	-1.9342	4.7547
-0.99167	27.125	-1.8292	4.314
-0.99167	27.458	-1.7423	3.6954
-0.99167	27.792	-1.7324	3.2381
-0.99167	28.125	-1.688	3.0052
-0.99167	28.458	-1.7219	2.4546
-0.99167	28.792	-1.4534	1.8623
-0.99167	29.125	-1.147	0.76155
-0.99167	29.458	-0.46901	-0.32257
-0.65833	9.7917	-1.0132	2.139
-0.65833	10.125	-1.4766	3.9458
-0.65833	10.458	-1.0939	6.0673
-0.65833	10.792	-0.51984	6.201
-0.65833	11.125	-0.77083	5.0647
-0.65833	11.458	-1.1233	4.2132
-0.65833	11.792	-0.83688	3.7154
-0.65833	12.125	-0.56605	3.9634
-0.65833	12.458	-0.13144	4.2556
-0.65833	12.792	0.33777	4.2641
-0.65833	13.125	0.82029	4.1415
-0.65833	13.458	1.0026	4.1751
-0.65833	13.792	1.0936	4.0888
-0.65833	14.125	1.1271	3.922
-0.65833	14.458	1.064	3.9823
-0.65833	14.792	1.0207	3.9936
-0.65833	15.125	0.99016	4.0354
-0.65833	15.458	0.9561	4.387
-0.65833	15.792	0.77923	4.5652
-0.65833	16.125	0.49151	4.8757
-0.65833	16.458	0.34051	5.0336
-0.65833	16.792	0.254	5.1352
-0.65833	17.125	0.15133	5.3495
-0.65833	17.458	0.26034	5.5479
-0.65833	17.792	0.48446	5.6863
-0.65833	18.125	0.44679	5.7204
-0.65833	18.458	0.36968	5.801
-0.65833	18.792	0.24194	5.824
-0.65833	19.125	-0.063865	5.9448
-0.65833	19.458	-0.50684	6.0767
-0.65833	19.792	-0.82234	6.0291
-0.65833	20.125	-0.90375	6.1589
-0.65833	20.458	-1.364	6.1609
-0.65833	20.792	-1.6628	6.3379
-0.65833	21.125	-1.7307	6.3872
-0.65833	21.458	-1.6226	6.3677
-0.65833	21.792	-1.2715	6.4142
-0.65833	22.125	-0.755	6.3859
-0.65833	22.458	-0.28651	6.2825
-0.65833	22.792	-0.10641	6.3774
-0.65833	23.125	-0.2411	6.6331
-0.65833	23.458	-0.43644	6.6524
-0.65833	23.792	-0.65328	6.6574
-0.65833	24.125	-0.87589	6.7297
-0.65833	24.458	-0.92813	6.8179
-0.65833	24.792	-0.90412	6.9794
-0.65833	25.125	-1.1038	6.8279
-0.65833	25.458	-1.5975	6.69
-0.65833	25.792	-1.8265	6.4115
-0.65833	26.125	-1.8905	5.9755
-0.65833	26.458	-1.7397	5.5097
-0.65833	26.792	-1.4908	5.0791
-0.65833	27.125	-1.3016	4.5279
-0.65833	27.458	-1.2158	3.8501
-0.65833	27.792	-1.0963	3.3518
-0.65833	28.125	-0.9688	3.0766
-0.65833	28.458	-0.93235	2.5305
-0.65833	28.792	-0.81028	1.8404
-0.65833	29.125	-0.80616	0.9568
-0.65833	29.458	-0.39745	-0.22847
-0.325	9.7917	-0.20298	3.107
-0.325	10.125	-0.77873	4.8568
-0.325	10.458	-0.6408	6.112
-0.325	10.792	-0.41126	5.7506
-0.325	11.125	-0.62618	4.8006
-0.325	11.458	-0.89099	4.3047
-0.325	11.792	-0.58062	3.9981
-0.325	12.125	-0.33527	4.4445
-0.325	12.458	0.049185	4.719
-0.325	12.792	0.4779	4.8872
-0.325	13.125	0.775	4.9548
-0.325	13.458	0.88678	5.2196
-0.325	13.792	0.87202	5.3686
-0.325	14.125	0.81028	5.4911
-0.325	14.458	0.69013	5.6493
-0.325	14.792	0.74052	5.6625
-0.325	15.125	0.79006	5.7528
-0.325	15.458	0.7322	6.1263
-0.325	15.792	0.6143	6.1201
-0.325	16.125	0.34713	6.3136
-0.325	16.458	0.19788	6.5055
-0.325	16.792	0.089924	6.5751
-0.325	17.125	-0.016694	6.7295
-0.325	17.458	0.1053	6.7298
-0.325	17.792	0.33824	6.7194
-0.325	18.125	0.27531	6.635
-0.325	18.458	0.11046	6.8151
-0.325	18.792	-0.074233	6.9448
-0.325	19.125	-0.26809	6.9718
-0.325	19.458	-0.57132	6.9344
-0.325	19.792	-0.67208	6.9037
-0.325	20.125	-0.68787	6.8176
-0.325	20.458	-1.0046	6.7068
-0.325	20.792	-1.2499	6.5907
-0.325	21.125	-1.3437	6.6172
-0.325	21.458	-1.2427	6.6406
-0.325	21.792	-0.96551	6.6985
-0.325	22.125	-0.63397	6.6642
-0.325	22.458	-0.26625	6.5873
-0.325	22.792	-0.15902	6.563
-0.325	23.125	-0.36732	6.605
-0.325	23.458	-0.4884	6.5703
-0.325	23.792	-0.70444	6.5838
-0.325	24.125	-0.96822	6.6098
-0.325	24.458	-1.126	6.7215
-0.325	24.792	-0.93161	6.9081
-0.325	25.125	-1.0655	6.8733
-0.325	25.458	-1.4214	6.71
-0.325	25.792	-1.5348	6.5179
-0.325	26.125	-1.5097	6.2186
-0.325	26.458	-1.3151	5.749
-0.325	26.792	-0.99092	5.2943
-0.325	27.125	-0.62358	4.7961
-0.325	27.458	-0.49133	4.26
-0.325	27.792	-0.3883	3.6363
-0.325	28.125	-0.25034	3.1513
-0.325	28.458	-0.25148	2.5901
-0.325	28.792	-0.31238	1.8016
-0.325	29.125	-0.46838	0.85216
-0.325	29.458	-0.27844	-0.27223
0.0083333	9.7917	0.5393	4.1548
0.0083333	10.125	0.27721	5.5552
0.0083333	10.458	0.14983	6.0786
0.0083333	10.792	-0.026823	5.4818
0.0083333	11.125	-0.18254	5.0174
0.0083333	11.458	-0.28924	4.7183
0.0083333	11.792	-0.21915	4.6169
0.0083333	12.125	-0.1431	5.0725
0.0083333	12.458	-0.020563	5.3455
0.0083333	12.792	0.28467	5.3738
0.0083333	13.125	0.45687	5.5941
0.0083333	13.458	0.39178	5.8957
0.0083333	13.792	0.41151	6.1947
0.0083333	14.125	0.42461	6.5556
0.0083333	14.458	0.39777	6.8053
0.0083333	14.792	0.44236	7.0246
0.0083333	15.125	0.56141	7.2392
0.0083333	15.458	0.64416	7.464
0.0083333	15.792	0.52434	7.4391
0.0083333	16.125	0.29566	7.5185
0.0083333	16.458	0.13139	7.5787
0.0083333	16.792	0.031816	7.4805
0.0083333	17.125	-0.072013	7.3823
0.0083333	17.458	0.089537	7.2915
0.0083333	17.792	0.31417	7.1558
0.0083333	18.125	0.17233	7.0983
0.0083333	18.458	-0.091921	7.3702
0.0083333	18.792	-0.26448	7.6027
0.0083333	19.125	-0.33771	7.6144
0.0083333	19.458	-0.41134	7.4904
0.0083333	19.792	-0.37852	7.2126
0.0083333	20.125	-0.34938	7.0298
0.0083333	20.458	-0.55896	6.9169
0.0083333	20.792	-0.74382	6.7586
0.0083333	21.125	-0.82303	6.6978
0.0083333	21.458	-0.87261	6.6978
0.0083333	21.792	-0.72858	6.7734
0.0083333	22.125	-0.44	6.6428
0.0083333	22.458	-0.12384	6.4539
0.0083333	22.792	-0.1251	6.4132
0.0083333	23.125	-0.35909	6.299
0.0083333	23.458	-0.53213	6.1983
0.0083333	23.792	-0.81607	6.1717
0.0083333	24.125	-1.1077	6.2978
0.0083333	24.458	-1.2723	6.4114
0.0083333	24.792	-1.0802	6.6267
0.0083333	25.125	-1.1288	6.7598
0.0083333	25.458	-1.3191	6.7491
0.0083333	25.792	-1.2723	6.5806
0.0083333	26.125	-1.1454	6.3513
0.0083333	26.458	-0.85766	5.8499
0.0083333	26.792	-0.47755	5.3705
0.0083333	27.125	-0.051072	4.9892
0.0083333	27.458	0.22592	4.6156
0.0083333	27.792	0.30194	3.9359
0.0083333	28.125	0.44176	3.2969
0.0083333	28.458	0.33711	2.7202
0.0083333	28.792	0.072707	1.9766
0.0083333	29.125	0.065301	0.7379
0.0083333	29.458	0.07802	-0.35836
0.34167	9.7917	0.33987	5.3625
0.34167	10.125	0.492	5.8265
0.34167	10.458	0.34957	5.9536
0.34167	10.792	0.26828	5.5267
0.34167	11.125	0.18616	5.5374
0.34167	11.458	0.067458	5.3915
0.34167	11.792	0.0060535	5.2087
0.34167	12.125	0.0039704	5.3861
0.34167	12.458	-0.017683	5.5751
0.34167	12.792	0.1736	5.6219
0.34167	13.125	0.19364	5.8332
0.34167	13.458	-0.0065955	6.1269
0.34167	13.792	-0.16682	6.4463
0.34167	14.125	-0.1447	6.8692
0.34167	14.458	-0.10873	7.2801
0.34167	14.792	-0.035214	7.6826
0.34167	15.125	0.19729	7.9191
0.34167	15.458	0.44055	8.041
0.34167	15.792	0.33692	8.0773
0.34167	16.125	0.22604	8.1463
0.34167	16.458	0.12031	8.0682
0.34167	16.792	0.10799	7.8378
0.34167	17.125	0.039303	7.7009
0.34167	17.458	0.11106	7.4347
0.34167	17.792	0.15504	7.2476
0.34167	18.125	-0.062973	7.2343
0.34167	18.458	-0.26952	7.4495
0.34167	18.792	-0.34389	7.7205
0.34167	19.125	-0.30841	7.7028
0.34167	19.458	-0.26615	7.554
0.34167	19.792	-0.14208	7.3685
0.34167	20.125	-0.056631	7.2598
0.34167	20.458	-0.21158	7.0758
0.34167	20.792	-0.35625	6.889
0.34167	21.125	-0.42413	6.7571
0.34167	21.458	-0.49993	6.6561
0.34167	21.792	-0.41441	6.6256
0.34167	22.125	-0.25497	6.4463
0.34167	22.458	-0.026079	6.2074
0.34167	22.792	-0.17525	6.1537
0.34167	23.125	-0.499	5.882
0.34167	23.458	-0.84247	5.6734
0.34167	23.792	-1.1053	5.6038
0.34167	24.125	-1.3452	5.8239
0.34167	24.458	-1.4508	5.995
0.34167	24.792	-1.1511	6.3359
0.34167	25.125	-1.1565	6.5808
0.34167	25.458	-1.2777	6.8137
0.34167	25.792	-1.0495	6.7412
0.34167	26.125	-0.69748	6.5309
0.34167	26.458	-0.32292	6.034
0.34167	26.792	0.053836	5.5147
0.34167	27.125	0.54727	5.0595
0.34167	27.458	0.87869	4.5463
0.34167	27.792	0.93798	3.8336
0.34167	28.125	0.97801	3.3239
0.34167	28.458	0.84997	2.8497
